query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在$抖音$中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9908453361690045,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9553186757003321,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8722975630097352,"open_orders_bought(app, order_status, filter_detail_slot)",0.7084794627848727,"open_logistics_receive(app, filter_type)",0.7077685289622502,"open_special_page(app, page_type)",0.6977588170601545,"open_customer_service(app, order_slot, store_slot)",0.6882912640889078,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6866908991245143,"search_delivery_time(app, search_info_slot, address_slot)",0.6700387292417764,delete_search_history(app),0.6687673762923526
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在$抖音$中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9841809035837651,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6716045853023325,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6647469399018419,"open_orders_bought(app, order_status, filter_detail_slot)",0.5041982643280669,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.481892457387319,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.4817187766688181,"open_customer_service(app, order_slot, store_slot)",0.47884085987782765,delete_search_history(app),0.47630641217821623,"call_order_courier(app, search_info_slot)",0.466991876912798,"open_invoice_page(app, page_type)",0.4649943025206645
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在$抖音$中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9679653929173947,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7833230901273884,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.6894467612357269,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6825480425813936,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6466878367906275,"open_orders_bought(app, order_status, filter_detail_slot)",0.5269626795990228,"open_special_page(app, page_type)",0.5190481564828486,"open_customer_service(app, order_slot, store_slot)",0.514580003293827,"open_logistics_receive(app, filter_type)",0.5034644286758323,"add_into_favorite_goods(app, search_info_slot)",0.5002795667970759
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在$抖音$中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9675808945298195,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5903664336150158,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5891143164974418,"open_orders_bought(app, order_status, filter_detail_slot)",0.48191120758862255,"open_customer_service(app, order_slot, store_slot)",0.4700448752221868,"open_logistics_receive(app, filter_type)",0.46363397998644973,"open_special_page(app, page_type)",0.4527808734261769,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.44953798496942127,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.43685934706997787,"add_into_favorite_goods(app, search_info_slot)",0.43503753390053423
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在$抖音$中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9799968922138215,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6313628621941079,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5753247521263328,"open_orders_bought(app, order_status, filter_detail_slot)",0.4643659061214423,"open_customer_service(app, order_slot, store_slot)",0.45206016831372237,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.45153842488150203,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.4465548080898515,"open_invoice_page(app, page_type)",0.44324699238962145,open_search_history(app),0.44118267432796054,"open_order_tracking_number(app, search_info_slot)",0.4397151991579175
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在$抖音$中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9400000000000001,"open_logistics_receive(app, filter_type)",0.4092850118667413,"open_orders_bought(app, order_status, filter_detail_slot)",0.4039995581953753,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.3968158806315763,"open_customer_service(app, order_slot, store_slot)",0.38309095034915003,"open_cart_content(app, filter_type, filter_detail_slot)",0.37572175708367617,"open_goods_page(app, search_info_slot, page_type)",0.37551675450173355,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.3656034414593218,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.36345116172302444,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.3616251453532633
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在$抖音$中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9927439042925835,"open_cart_content(app, filter_type, filter_detail_slot)",0.6250416475333286,"search_cart_content(app, search_info_slot)",0.5355520686711587,"open_logistics_receive(app, filter_type)",0.421622881357732,"open_goods_page(app, search_info_slot, page_type)",0.4193567268158096,"open_orders_bought(app, order_status, filter_detail_slot)",0.41724304283311126,"open_customer_service(app, order_slot, store_slot)",0.40863257754870497,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.40794059642515607,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.40581661755253773,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.40466754394389975
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在$抖音$中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9923245818912984,"open_cart_content(app, filter_type, filter_detail_slot)",0.6515613368275369,"search_cart_content(app, search_info_slot)",0.5612908296358484,"open_logistics_receive(app, filter_type)",0.4645216645310459,"open_goods_page(app, search_info_slot, page_type)",0.4633921879566102,"open_orders_bought(app, order_status, filter_detail_slot)",0.4590068399635572,"open_customer_service(app, order_slot, store_slot)",0.45147536323760934,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.44904335378462085,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.4471418268371209,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.44344795073734344
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在$抖音$中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9747568951547146,"open_cart_content(app, filter_type, filter_detail_slot)",0.6515613368275369,"search_cart_content(app, search_info_slot)",0.5612908296358484,"open_logistics_receive(app, filter_type)",0.46096185535293194,"open_goods_page(app, search_info_slot, page_type)",0.4467334124482064,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.44639991174803795,"open_orders_bought(app, order_status, filter_detail_slot)",0.4453227832642812,"open_customer_service(app, order_slot, store_slot)",0.4426795952150721,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.4343067935991868,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.43260868428999194
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在$抖音$中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9977281974256039,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6424131372105133,"open_cart_content(app, filter_type, filter_detail_slot)",0.45056028474655263,"search_cart_content(app, search_info_slot)",0.3705751083727197,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.335742772252987,"open_logistics_receive(app, filter_type)",0.32551689791010996,"open_goods_page(app, search_info_slot, page_type)",0.3246808062965302,"open_orders_bought(app, order_status, filter_detail_slot)",0.32275729238774936,"open_customer_service(app, order_slot, store_slot)",0.3187720532125645,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.3108193447286996
