user_input,ground_truth_output,model_output,overall_correct,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1,rouge_2,rouge_l,gt_categories,model_categories,category_correct,gt_app_names,model_app_names,app_name_correct,delay_seconds
YoYo，帮我查一下抖音视频里怎么每天签到赚积分。,<Plan>#签到#在$抖音$中签到赚积分</Plan><Finish>,<Plan>#签到#在$抖音$中查看签到赚积分</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9565,0.9355,0.9730,['签到'],['签到'],1,['抖音'],['抖音'],1,0.8424
在抖音极速版里怎么找到赚钱任务签到领金币的入口？,<Plan>#签到#在$抖音极速版$中找到赚钱任务签到领金币的入口</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币的入口</Plan><Finish>,0,0.9583,0.9362,0.9130,0.8889,0.9552,0.9286,0.9583,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.1801
在抖音极速版签到领积分的流程麻烦说一下。,<Plan>#签到#在$抖音极速版$中签到领取积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看签到领积分的流程</Plan><Finish>,0,0.8864,0.8140,0.7381,0.6829,0.8929,0.8333,0.9286,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.0831
YoYo，快手的任务中心签到是不是每天都能领红包？,<Plan>#签到#在$快手$中查看任务中心是否每天都能领红包</Plan><Finish>,<Plan>#签到#在$快手$中查看任务中心签到</Plan><Finish>,0,0.9487,0.9211,0.8919,0.8611,0.8421,0.8378,0.8706,['签到'],['签到'],1,['快手'],['快手'],1,0.8422
去快手极速版里哪里可以找到去赚钱签到领金币的功能？,<Plan>#签到#在$快手极速版$中找到去赚钱签到领金币的功能</Plan><Finish>,<Plan>#签到#在$快手极速版$中查看签到领金币功能</Plan><Finish>,0,0.9535,0.9048,0.8537,0.8000,0.8852,0.8462,0.9111,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,0.9801
拼多多怎么签到啊？,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,<Plan>#签到#在$拼多多$中查看签到</Plan><Finish>,0,0.9444,0.9143,0.8824,0.8485,0.9500,0.9310,0.9714,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.7319
在淘宝商城连续签到能拿到多少淘金币？,<Plan>#签到#在$淘宝$中连续签到拿淘金币</Plan><Finish>,<Plan>#签到#在$淘宝$中查看连续签到能拿到多少淘金币</Plan><Finish>,0,0.8667,0.7955,0.7442,0.6905,0.9057,0.8333,0.9286,['签到'],['签到'],1,['淘宝'],['淘宝'],1,1.0829
有没有办法在淘宝上连续签到领大红包？,<Plan>#签到#在$淘宝$中连续签到领大红包</Plan><Finish>,<Plan>#签到#在$淘宝$中查看连续签到领大红包</Plan><Finish>,0,0.9512,0.9250,0.8974,0.8684,0.9615,0.9412,0.9750,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9516
京东APP里每天签到领京豆是在哪个入口啊？,<Plan>#签到#在$京东$中打开每天签到领京豆入口</Plan><Finish>,<Plan>#签到#在$京东$中查看每天签到领京豆</Plan><Finish>,0,0.9500,0.8974,0.8421,0.7838,0.8846,0.8571,0.9268,['签到'],['签到'],1,['京东'],['京东'],1,0.9512
去天猫帮我看看哪里能领现金优惠。,<Plan>#签到#在$天猫$中搜索现金优惠领取</Plan><Finish>,<Plan>#签到#在$天猫$中查看现金优惠</Plan><Finish>,0,0.9459,0.8889,0.8286,0.7647,0.8846,0.8485,0.9211,['签到'],['签到'],1,['天猫'],['天猫'],1,0.7306
去天猫商城帮我领取一个福气红包。,<Plan>#签到#在$天猫$中领取福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中领取福气红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['天猫'],['天猫'],1,0.7580
YOYO，我在闲鱼签到领鱼币的入口在哪？,<Plan>#签到#在$闲鱼$中打开签到</Plan><Finish>,<Plan>#签到#在$闲鱼$中查看签到领鱼币的入口</Plan><Finish>,0,0.8049,0.7500,0.6923,0.6579,0.8085,0.7813,0.8684,['签到'],['签到'],1,['闲鱼'],['闲鱼'],1,1.0816
火山小视频里怎么签到领火苗啊？,<Plan>#签到#在$抖音火山版$中签到领取火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中查看签到领火苗</Plan><Finish>,0,0.9512,0.9000,0.8462,0.7895,0.9412,0.8986,0.9630,['签到'],['签到'],1,['抖音火山版'],['抖音火山版'],1,0.9789
快点告诉我阿里巴巴APP里签到领元宝的入口在哪里！,<Plan>#签到#在$阿里巴巴$中查看签到领元宝的入口</Plan><Finish>,<Plan>#签到#在$阿里巴巴$中查看签到领元宝的入口</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['阿里巴巴'],['阿里巴巴'],1,0.9503
快提醒我每天在唯品会签到！,<Plan>#签到#在$唯品会$中打开签到</Plan><Finish>,<Plan>#签到#在$唯品会$中每天签到</Plan><Finish>,0,0.9444,0.9143,0.8824,0.8485,0.9091,0.9000,0.9444,['签到'],['签到'],1,['唯品会'],['唯品会'],1,0.8401
得物每天签到有什么奖励吗？,<Plan>#签到#在$得物$中查看每天签到奖励</Plan><Finish>,<Plan>#签到#在$得物$中查看签到奖励</Plan><Finish>,0,1.0000,0.9722,0.9429,0.9118,0.9583,0.9375,0.9737,['签到'],['签到'],1,['得物'],['得物'],1,0.8406
在dy的商城关注列表里查一下“海尔官方旗舰店”还在不在。,<Plan>#收藏#在$抖音$中搜索关注列表中的海尔官方旗舰店</Plan><Finish>,<Plan>#收藏#在$抖音$中查看海尔官方旗舰店的关注状态</Plan><Finish>,0,0.9111,0.8182,0.7442,0.6905,0.8788,0.7901,0.8352,['收藏'],['收藏'],1,['抖音'],['抖音'],1,0.8585
YoYo助手，我在抖音收藏过几个杯子，能帮我找出来吗？,<Plan>#收藏#在$抖音$中打开收藏夹查找杯子</Plan><Finish>,<Plan>#收藏#在$抖音$中查看收藏的杯子</Plan><Finish>,0,0.9474,0.8649,0.8056,0.7714,0.8800,0.8182,0.8974,['收藏'],['收藏'],1,['抖音'],['抖音'],1,0.7798
在抖音极速版里帮我找一下有没有收藏三只松鼠这个店铺。,<Plan>#收藏#在$抖音极速版$中查看收藏的三只松鼠店铺</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中查看收藏三只松鼠店铺</Plan><Finish>,0,1.0000,0.9767,0.9524,0.9268,0.9836,0.9610,0.9888,['收藏'],['收藏'],1,['抖音极速版'],['抖音极速版'],1,0.9918
我想在抖音极速版里查看我之前收藏的商品，能帮我吗？,<Plan>#收藏#在$抖音极速版$中查看我之前收藏的商品</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中查看收藏的商品</Plan><Finish>,0,1.0000,0.9750,0.9487,0.9211,0.9474,0.9315,0.9647,['收藏'],['收藏'],1,['抖音极速版'],['抖音极速版'],1,0.7778
YoYo，我想在快手里查看我之前收藏的好物，能教我怎么操作吗？,<Plan>#收藏#在$快手$中查看之前收藏的好物</Plan><Finish>,<Plan>#收藏#在$快手$中查看收藏的好物</Plan><Finish>,0,1.0000,0.9730,0.9444,0.9143,0.9600,0.9394,0.9744,['收藏'],['收藏'],1,['快手'],['快手'],1,0.7473
