query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
帮我打开抖音极速版，在商城里搜一下运动鞋。,在抖音中的商城搜索运动鞋,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9914549285066735,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.930152621826255,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9246736721700599,"open_goods_page(app, search_info_slot, page_type)",0.8790434980392456,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8198695712429578,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7921700895170314,"add_into_favorite_goods(app, search_info_slot)",0.28520309982648123,"manage_order_logistics_status(app, search_info_slot, action_type)",0.28442365402928005,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.2730666544510211,"search_delivery_time(app, search_info_slot, address_slot)",0.2723159370840875
我想在抖音短视频里找找有没有卖蓝牙耳机的。,在抖音短视频中的商城查找蓝牙耳机,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9903037532145992,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9534193958655979,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9204535577246888,"add_into_favorite_goods(app, search_info_slot)",0.8965102646477362,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8801635889041479,"open_orders_bought(app, order_status, filter_detail_slot)",0.8068972555590721,"delete_favorite_goods(app, search_info_slot)",0.7792579306119805,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7769340371784195,"open_goods_page(app, search_info_slot, page_type)",0.29,"manage_order_logistics_status(app, search_info_slot, action_type)",0.2830794478270666
在抖音短视频里打开连衣裙的评论。,在抖音短视频中的商城打开连衣裙的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.48412951777942687,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.4581509396831279,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.38044278287389766,"add_into_favorite_goods(app, search_info_slot)",0.375607394638271,"delete_favorite_goods(app, search_info_slot)",0.3632167526635865,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.1581499518407715,"open_special_page(app, page_type)",0.14471422891895963,apply_price_protection(app),0.11230163564581148,"manage_order_logistics_status(app, search_info_slot, action_type)",0.07893656702153341
帮我看看dy商城里卫衣的评论都是怎么说的。,在dy中的商城查看卫衣的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.59208602551831,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.520866087329831,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.462074597610261,"add_into_favorite_goods(app, search_info_slot)",0.4291098705379976,"delete_favorite_goods(app, search_info_slot)",0.4229905253391179,"open_special_page(app, page_type)",0.2003120201990679,"open_order_tracking_number(app, search_info_slot)",0.1951610531245256,"search_delivery_time(app, search_info_slot, address_slot)",0.19208473754862732,"open_cart_content(app, filter_type, filter_detail_slot)",0.1468176777833344
在抖音短视频里帮我打开运动鞋的规格页面。,在抖音短视频中的商城打开运动鞋的规格页面,"open_goods_page(app, search_info_slot, page_type)","open_special_page(app, page_type)",0.9792168564618093,"open_goods_page(app, search_info_slot, page_type)",0.954827823638916,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8288500560922493,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7930970650836068,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7238351596058498,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6753745310712521,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.1665000267357317,apply_price_protection(app),0.12764195083501806,"add_into_favorite_goods(app, search_info_slot)",0.09013388685380123,"manage_order_logistics_status(app, search_info_slot, action_type)",0.08971924005296951
你能帮我查一下抖音极速版商城里连衣裙都有哪些规格吗？,在抖音中的商城查看连衣裙的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6951906882536805,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6101192657827039,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5689335806195417,"open_cart_content(app, filter_type, filter_detail_slot)",0.5073225114590363,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5023992923247589,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.4928044873991393,"open_orders_bought(app, order_status, filter_detail_slot)",0.48141488803752475,"open_special_page(app, page_type)",0.24648196584782237,"search_delivery_time(app, search_info_slot, address_slot)",0.23743130818820984
帮我打开抖音商城里运动鞋的搜索参数。,在抖音中的商城查看运动鞋的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7207845703993434,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6378729261480082,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5878826724908316,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.5384615337046564,"open_special_page(app, page_type)",0.534038907082711,"call_order_courier(app, search_info_slot)",0.5200173267545299,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5100539555360637,"open_order_tracking_number(app, search_info_slot)",0.5083807075538727,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.500591285410108
YoYo，在抖音短视频的商城中能搜到蓝牙耳机的参数信息吗？,在抖音短视频中的商城搜索蓝牙耳机的参数信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8420880108681557,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7994331078237464,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7991106206071984,"add_into_favorite_goods(app, search_info_slot)",0.7836944466625713,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7187709741932446,"delete_favorite_goods(app, search_info_slot)",0.7153025749799388,"manage_order_logistics_status(app, search_info_slot, action_type)",0.28442365402928005,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.2730666544510211,"search_delivery_time(app, search_info_slot, address_slot)",0.2723159370840875
帮我打开抖音商城里那件白色连衣裙的详情页。,在抖音中的商城打开白色连衣裙的详情页,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"open_special_page(app, page_type)",0.8494924076571648,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7632242026701466,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7452650071971014,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.65899945021483,"add_into_favorite_goods(app, search_info_slot)",0.637108263829586,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6036130872425287,"delete_favorite_goods(app, search_info_slot)",0.5797956814371577,"open_orders_bought(app, order_status, filter_detail_slot)",0.5757341091535981,apply_price_protection(app),0.19661761153290777
在抖音极速里面搜索一下安慕希的详情能给我打开吗？,在抖音中的商城打开安慕希的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999785423279,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8058657810489421,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7802007140172852,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6304789330909539,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.6265920979875538,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.5898209209299853,"open_customer_service(app, order_slot, store_slot)",0.5597264044703626,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5550065846429657,"add_into_favorite_goods(app, search_info_slot)",0.5471875900652119,"add_into_favorite_stores(app, search_info_slot)",0.5414120530077631
