query,origin_instruct,app,ground_truth_tool
yoyo可以麻烦帮我在抖音商城搜一下科比的冠军签名球衣嘛,在抖音的商城中搜索<搜索内容>,抖音,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音商城里的那个，你帮我打开呗,在抖音的商城中打开<搜索内容>的评论,抖音,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
喂，yoyo，抖音商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音的商城中打开<搜索内容>的规格,抖音,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
yoyo，抖音商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音的商城中打开<搜索内容>的参数,抖音,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
帮我打开抖音商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音的商城中打开<搜索内容>的详情,抖音,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
yoyo，抖音商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音的商城中查看<搜索内容>送达<地址>的时间,抖音,"[
    {
        ""name"": ""search_delivery_time(app, search_info_slot, address_slot)"",
        ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""
    }
]"
嘿，yoyo，把抖音商城里的苹果iPhone15给我加到购物车去。,在抖音的商城中加入购物车<搜索内容>,抖音,[]
yoyo，抖音商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音的商城中加入购物车<规格>的<搜索内容>,抖音,[]
抖音商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音的商城中加入购物车<数量>的<搜索内容>,抖音,[]
yoyo，完美日记的口红，你在抖音商城里给我加进购物车，地址就选北京市朝阳区,在抖音的商城中加入购物车<搜索内容>送至<地址>,抖音,[]
yoyo，3支装的花西子眉笔，抖音商城购物车帮我加上，送到上海市静安区哦,在抖音的商城中加入购物车<规格><数量>的<搜索内容>送至<地址>,抖音,[]
帮我在抖音商城下单华为Mate60 Pro，应该没问题吧？,在抖音的商城中下单<搜索内容>,抖音,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
