query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
帮我打开抖音极速版，在商城里搜一下运动鞋。,在抖音中的商城搜索运动鞋,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",6.180788227940604,"open_goods_page(app, search_info_slot, page_type)",6.172005403196939,"manage_order_logistics_status(app, search_info_slot, action_type)",6.024567295864062,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",6.001727131963541,"add_into_favorite_goods(app, search_info_slot)",5.902277446786431,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",5.885305927124797,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",5.740697383242758,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",5.735668798320985,"call_order_courier(app, search_info_slot)",5.549218942174791,"search_delivery_time(app, search_info_slot, address_slot)",5.526347474600661
我想在抖音短视频里找找有没有卖蓝牙耳机的。,在抖音短视频中的商城查找蓝牙耳机,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","open_goods_page(app, search_info_slot, page_type)",4.724962867208367,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",4.674133481226775,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",4.576279225482816,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",4.543193484291065,"add_into_favorite_goods(app, search_info_slot)",4.493400783295757,"open_customer_service(app, order_slot, store_slot)",4.396024551018556,"add_into_favorite_stores(app, search_info_slot)",4.353664199543728,"open_special_page(app, page_type)",4.3510647087285585,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",4.347683595085967
在抖音短视频里打开连衣裙的评论。,在抖音短视频中的商城打开连衣裙的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",16.828334481226854,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",9.166286109908913,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",8.18960491269629,"open_special_page(app, page_type)",7.7256429025049,apply_price_protection(app),5.62232009275506,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",4.576279225482816,"add_into_favorite_goods(app, search_info_slot)",4.493400783295757,"open_customer_service(app, order_slot, store_slot)",4.396024551018556,"add_into_favorite_stores(app, search_info_slot)",4.353664199543728
帮我看看dy商城里卫衣的评论都是怎么说的。,在dy中的商城查看卫衣的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",11.157860128925279,"open_special_page(app, page_type)",7.510409369812496,"open_order_tracking_number(app, search_info_slot)",7.443666783660805,"search_delivery_time(app, search_info_slot, address_slot)",7.200621883200421,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",7.06023523650409,"call_order_courier(app, search_info_slot)",5.200268064644272,"open_orders_bought(app, order_status, filter_detail_slot)",4.96341535381087,"open_cart_content(app, filter_type, filter_detail_slot)",4.870426056906112,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",4.017406515974274,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",3.9523724082756098
在抖音短视频里帮我打开运动鞋的规格页面。,在抖音短视频中的商城打开运动鞋的规格页面,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",14.833245902165855,"open_special_page(app, page_type)",12.090248566981717,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",9.85929956729903,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",9.166286109908913,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",8.488774532753153,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",8.18960491269629,apply_price_protection(app),5.62232009275506,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684,"add_into_favorite_goods(app, search_info_slot)",4.493400783295757,"open_customer_service(app, order_slot, store_slot)",4.396024551018556
你能帮我查一下抖音极速版商城里连衣裙都有哪些规格吗？,在抖音中的商城查看连衣裙的规格,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",9.85929956729903,"open_goods_page(app, search_info_slot, page_type)",9.848707003950093,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",8.488774532753153,"open_special_page(app, page_type)",8.08968964146014,"open_order_tracking_number(app, search_info_slot)",7.907923226148283,"search_delivery_time(app, search_info_slot, address_slot)",7.8134073542866584,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",7.426873694327644,"call_order_courier(app, search_info_slot)",5.684162032335094,"open_orders_bought(app, order_status, filter_detail_slot)",4.96341535381087,"open_cart_content(app, filter_type, filter_detail_slot)",4.870426056906112
帮我打开抖音商城里运动鞋的搜索参数。,在抖音中的商城查看运动鞋的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",11.843795583011094,"open_special_page(app, page_type)",8.08968964146014,"open_order_tracking_number(app, search_info_slot)",7.907923226148283,"search_delivery_time(app, search_info_slot, address_slot)",7.8134073542866584,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",7.426873694327644,"call_order_courier(app, search_info_slot)",5.684162032335094,"open_orders_bought(app, order_status, filter_detail_slot)",4.96341535381087,"open_cart_content(app, filter_type, filter_detail_slot)",4.870426056906112,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",4.674133481226775,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684
YoYo，在抖音短视频的商城中能搜到蓝牙耳机的参数信息吗？,在抖音短视频中的商城搜索蓝牙耳机的参数信息,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",6.180788227940604,"open_goods_page(app, search_info_slot, page_type)",6.172005403196939,"manage_order_logistics_status(app, search_info_slot, action_type)",6.024567295864062,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",6.001727131963541,"add_into_favorite_goods(app, search_info_slot)",5.902277446786431,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",5.885305927124797,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",5.740697383242758,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",5.735668798320985,"call_order_courier(app, search_info_slot)",5.549218942174791,"search_delivery_time(app, search_info_slot, address_slot)",5.526347474600661
帮我打开抖音商城里那件白色连衣裙的详情页。,在抖音中的商城打开白色连衣裙的详情页,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",9.709501765424129,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",9.166286109908913,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",8.18960491269629,"open_special_page(app, page_type)",7.7256429025049,apply_price_protection(app),5.62232009275506,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",4.576279225482816,"add_into_favorite_goods(app, search_info_slot)",4.493400783295757,"open_customer_service(app, order_slot, store_slot)",4.396024551018556,"add_into_favorite_stores(app, search_info_slot)",4.353664199543728
在抖音极速里面搜索一下安慕希的详情能给我打开吗？,在抖音中的商城打开安慕希的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",16.828334481226854,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",9.166286109908913,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",8.18960491269629,"open_special_page(app, page_type)",7.7256429025049,apply_price_protection(app),5.62232009275506,"manage_order_logistics_status(app, search_info_slot, action_type)",4.586226496416684,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",4.576279225482816,"add_into_favorite_goods(app, search_info_slot)",4.493400783295757,"open_customer_service(app, order_slot, store_slot)",4.396024551018556,"add_into_favorite_stores(app, search_info_slot)",4.353664199543728
