query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03200204813108039,"open_goods_page(app, search_info_slot, page_type)",0.031099324975891997,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.031054405392392875,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.030798389007344232,"add_into_favorite_stores(app, search_info_slot)",0.029551337359792925,"open_logistics_receive(app, filter_type)",0.0293236301369863,"open_customer_service(app, order_slot, store_slot)",0.02919863597612958,"open_orders_bought(app, order_status, filter_detail_slot)",0.0288981288981289,"add_into_favorite_goods(app, search_info_slot)",0.0288981288981289,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028381642512077296
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.03278688524590164,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03200204813108039,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.030798389007344232,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.0304147465437788,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.029877369007803793,"open_customer_service(app, order_slot, store_slot)",0.02919863597612958,"add_into_favorite_stores(app, search_info_slot)",0.028782894736842105,"open_special_page(app, page_type)",0.028665028665028666,"add_into_favorite_goods(app, search_info_slot)",0.028665028665028666,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.026973565905412694
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.03252247488101534,"open_goods_page(app, search_info_slot, page_type)",0.032266458495966696,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03200204813108039,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.030776515151515152,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.030330882352941176,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028577260665441927,"add_into_favorite_goods(app, search_info_slot)",0.028083267871170464,"add_into_favorite_stores(app, search_info_slot)",0.027972027972027972,open_search_history(app),0.02758751902587519,delete_search_history(app),0.02758751902587519
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.03278688524590164,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03125763125763126,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.031054405392392875,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.031054405392392875,"open_logistics_receive(app, filter_type)",0.0293236301369863,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.02919863597612958,"add_into_favorite_goods(app, search_info_slot)",0.029138513513513514,open_camera_search(app),0.02904040404040404,"open_customer_service(app, order_slot, store_slot)",0.028790389395194696,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.028068137824235385
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03200204813108039,"open_goods_page(app, search_info_slot, page_type)",0.031544957774465976,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03125763125763126,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.031054405392392875,"add_into_favorite_stores(app, search_info_slot)",0.029551337359792925,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.02919863597612958,"open_special_page(app, page_type)",0.028665028665028666,"open_customer_service(app, order_slot, store_slot)",0.028594771241830064,"add_into_favorite_goods(app, search_info_slot)",0.028438886647841874,open_camera_search(app),0.02817460317460317
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.03278688524590164,"open_logistics_receive(app, filter_type)",0.03225806451612903,"open_orders_bought(app, order_status, filter_detail_slot)",0.030798389007344232,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.030117753623188408,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029957522915269395,"open_order_tracking_number(app, search_info_slot)",0.029437229437229435,open_search_history(app),0.0293236301369863,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.027884615384615386,open_camera_search(app),0.02782608695652174,"manage_order_logistics_status(app, search_info_slot, action_type)",0.027809742999616416
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"open_cart_content(app, filter_type, filter_detail_slot)",0.03225806451612903,"search_cart_content(app, search_info_slot)",0.03149801587301587,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.03057889822595705,"open_goods_page(app, search_info_slot, page_type)",0.02964426877470356,"open_logistics_receive(app, filter_type)",0.0293236301369863,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029211087420042643,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.029211087420042643,open_camera_search(app),0.028665028665028666,"add_into_favorite_stores(app, search_info_slot)",0.028371628371628373
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"open_cart_content(app, filter_type, filter_detail_slot)",0.031754032258064516,"search_cart_content(app, search_info_slot)",0.031746031746031744,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.031054405392392875,"open_goods_page(app, search_info_slot, page_type)",0.029877369007803793,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.02964426877470356,"open_logistics_receive(app, filter_type)",0.0293236301369863,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.02857142857142857,open_camera_search(app),0.02821939586645469,"add_into_favorite_stores(app, search_info_slot)",0.028205128205128206
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"search_cart_content(app, search_info_slot)",0.03125763125763126,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.031054405392392875,"open_cart_content(app, filter_type, filter_detail_slot)",0.031054405392392875,"open_goods_page(app, search_info_slot, page_type)",0.02946912242686891,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029437229437229435,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.02919863597612958,"add_into_favorite_goods(app, search_info_slot)",0.028782894736842105,"add_into_favorite_stores(app, search_info_slot)",0.028693528693528692,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028577260665441927
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.03225806451612903,"open_cart_content(app, filter_type, filter_detail_slot)",0.03125763125763126,"search_cart_content(app, search_info_slot)",0.030776515151515152,"open_logistics_receive(app, filter_type)",0.02964426877470356,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.029211087420042643,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029083245521601686,"open_goods_page(app, search_info_slot, page_type)",0.02900988017658188,"search_delivery_time(app, search_info_slot, address_slot)",0.028958333333333336,"add_into_favorite_stores(app, search_info_slot)",0.028693528693528692
