query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9908425720066955,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9594247825290962,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.947033619124155,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9229851022942911,"open_customer_service(app, order_slot, store_slot)",0.9025068286552039,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8678229852900458,"open_logistics_receive(app, filter_type)",0.8527952629327774,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8498281818461176,"search_in_favorite_goods(app, search_info_slot)",0.8408735855989273,"search_in_favorite_stores(app, search_info_slot)",0.8230859958956496
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7214030350061573,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6611031516356612,"open_customer_service(app, order_slot, store_slot)",0.5802408427182846,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5777036436134525,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5735719445620469,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5705867386494108,"search_in_favorite_goods(app, search_info_slot)",0.5569139410297423,"open_logistics_receive(app, filter_type)",0.5477988290756273,"search_in_favorite_stores(app, search_info_slot)",0.5297985761892146
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9168482714371259,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9095262929274608,"open_logistics_receive(app, filter_type)",0.772132308138655,"open_logistics_send(app, filter_type)",0.7720978238161044,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6181934856019979,"search_in_favorite_goods(app, search_info_slot)",0.5647996523793448,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5629201895498095,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5615687858896891,"open_customer_service(app, order_slot, store_slot)",0.558851222806712
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7169403919150982,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6909008394071343,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5412920413153567,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5154112438289091,"open_customer_service(app, order_slot, store_slot)",0.5103934685513887,"open_logistics_receive(app, filter_type)",0.48131777746518667,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.4804809107584298,"search_in_favorite_goods(app, search_info_slot)",0.4798041179845061,"add_into_favorite_stores(app, search_info_slot)",0.4725473868552528
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7528865618888168,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7333908980651498,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.648521037072401,"search_in_favorite_goods(app, search_info_slot)",0.6040534948618694,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5937603234508937,"add_into_favorite_stores(app, search_info_slot)",0.5930341209318393,"open_customer_service(app, order_slot, store_slot)",0.5882690051756319,"search_in_favorite_stores(app, search_info_slot)",0.5802801109921203,"add_into_favorite_goods(app, search_info_slot)",0.552255651051267
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5789676533947601,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.541866378614012,"open_logistics_receive(app, filter_type)",0.5216318822676357,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.4958103475784453,"open_customer_service(app, order_slot, store_slot)",0.48190522806538355,"open_goods_page(app, search_info_slot, page_type)",0.4743371076362375,"open_orders_bought(app, order_status, filter_detail_slot)",0.45157156239595164,"open_order_tracking_number(app, search_info_slot)",0.44356380785787974,"open_logistics_send(app, filter_type)",0.4414357070573811
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7923769764707814,"open_goods_page(app, search_info_slot, page_type)",0.7534193566025127,"add_into_favorite_goods(app, search_info_slot)",0.7478830749147993,"search_cart_content(app, search_info_slot)",0.6244296192834016,"open_cart_content(app, filter_type, filter_detail_slot)",0.6099495050239438,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6071216557614751,"add_into_favorite_stores(app, search_info_slot)",0.594568380520799,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5477351019231895,"manage_order_logistics_status(app, search_info_slot, action_type)",0.5306409924530864
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8212686443964841,"open_goods_page(app, search_info_slot, page_type)",0.8116044483250305,"add_into_favorite_goods(app, search_info_slot)",0.742083276136378,"search_cart_content(app, search_info_slot)",0.6134781604241346,"open_cart_content(app, filter_type, filter_detail_slot)",0.6091632505035098,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6051671274922674,"add_into_favorite_stores(app, search_info_slot)",0.5910545364999044,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5754675104052062,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.562382212159867
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8336026037375333,"open_goods_page(app, search_info_slot, page_type)",0.8180410645073578,"add_into_favorite_goods(app, search_info_slot)",0.7365950741605556,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6255219199679678,"add_into_favorite_stores(app, search_info_slot)",0.6141682044648397,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6103498472601409,"open_cart_content(app, filter_type, filter_detail_slot)",0.6042183746671375,"search_cart_content(app, search_info_slot)",0.6032475595902418,"search_in_favorite_goods(app, search_info_slot)",0.5802038411340127
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8818661319574653,"open_goods_page(app, search_info_slot, page_type)",0.7219486035794636,"search_delivery_time(app, search_info_slot, address_slot)",0.554725390536345,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5282419637223652,"add_into_favorite_goods(app, search_info_slot)",0.5226620724304096,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.4780256234297083,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.4698743646862385,"search_in_favorite_stores(app, search_info_slot)",0.45577251030567034,"search_in_favorite_goods(app, search_info_slot)",0.45402542455366435
