query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.000000021457672,"open_logistics_receive(app, filter_type)",0.9220914899763987,"call_order_courier(app, search_info_slot)",0.8559843113978948,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8355733882297254,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8018079970618722,"manage_order_logistics_status(app, search_info_slot, action_type)",0.7975644809346729,"open_order_tracking_number(app, search_info_slot)",0.7934463845138656,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.772024831699088,"open_orders_bought(app, order_status, filter_detail_slot)",0.11620977673833828,"open_logistics_send(app, filter_type)",0.11361415751140042
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.975859842300415,"open_goods_page(app, search_info_slot, page_type)",0.9091591730388916,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8538471499768554,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8518047995513804,"search_cart_content(app, search_info_slot)",0.8429214724331658,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.842236586829925,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8356753584161225,"add_into_favorite_stores(app, search_info_slot)",0.8231218214063191,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8054922846785566,"add_into_favorite_goods(app, search_info_slot)",0.8015796236002141
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9815685367584228,"open_goods_page(app, search_info_slot, page_type)",0.8950294982694015,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8890271984007612,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8324150029283469,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8320743670130545,"add_into_favorite_goods(app, search_info_slot)",0.827189965665399,"add_into_favorite_stores(app, search_info_slot)",0.8271104493025636,"search_cart_content(app, search_info_slot)",0.8230342716894501,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8098483799862115,"open_customer_service(app, order_slot, store_slot)",0.7831708129754318
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9948947048187256,"open_goods_page(app, search_info_slot, page_type)",0.9377982669995526,"search_cart_content(app, search_info_slot)",0.8773277208294172,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8724210364011322,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8720394372328106,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8557075858607545,"add_into_favorite_goods(app, search_info_slot)",0.8430700448670897,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8364358041327297,"add_into_favorite_stores(app, search_info_slot)",0.8284393130402995,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.13826296459729573
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.000000021457672,"open_goods_page(app, search_info_slot, page_type)",0.9070934215334989,"search_cart_content(app, search_info_slot)",0.8645146155406106,"open_cart_content(app, filter_type, filter_detail_slot)",0.859964176553607,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8375342891314527,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8311296925150023,"add_into_favorite_stores(app, search_info_slot)",0.8102036887560264,"add_into_favorite_goods(app, search_info_slot)",0.805999621571948,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7963912324449343,open_camera_search(app),0.7953174632752282
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.000000021457672,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9537235154075759,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8492495801401578,"open_logistics_receive(app, filter_type)",0.8185332932872157,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8066002118388822,"manage_order_logistics_status(app, search_info_slot, action_type)",0.7889660861927399,"open_customer_service(app, order_slot, store_slot)",0.7635454920489784,"add_into_favorite_stores(app, search_info_slot)",0.7559187739506388,"search_order(app, search_info_slot, order_status)",0.7326389649256694,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.195847173072643
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.000000021457672,"open_goods_page(app, search_info_slot, page_type)",0.9065015565975634,"search_cart_content(app, search_info_slot)",0.8687925391233425,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8580821258277086,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8497012216789507,"open_cart_content(app, filter_type, filter_detail_slot)",0.8411166755556143,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8385079174663624,"add_into_favorite_stores(app, search_info_slot)",0.8323523599788322,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8248054670878069,"add_into_favorite_goods(app, search_info_slot)",0.8027315666054822
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.000000021457672,"open_goods_page(app, search_info_slot, page_type)",0.8979444438275352,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8962594933060399,"search_cart_content(app, search_info_slot)",0.8042578046561538,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8001959687735951,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7842942083784479,"open_cart_content(app, filter_type, filter_detail_slot)",0.7818397274040505,"add_into_favorite_stores(app, search_info_slot)",0.7719586985652885,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7684226125205238,"add_into_favorite_goods(app, search_info_slot)",0.7619619966911964
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.000000021457672,"open_goods_page(app, search_info_slot, page_type)",0.9125443577427415,"search_cart_content(app, search_info_slot)",0.8416393451726895,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8391968567116045,"open_cart_content(app, filter_type, filter_detail_slot)",0.823590645015148,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8210263526292868,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8143391280796132,"add_into_favorite_stores(app, search_info_slot)",0.805387874333538,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7931190418787615,"open_special_page(app, page_type)",0.7781333714639593
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.000000021457672,"open_goods_page(app, search_info_slot, page_type)",0.8841799922035064,"search_cart_content(app, search_info_slot)",0.849134953729813,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8212380240271387,"open_cart_content(app, filter_type, filter_detail_slot)",0.8203694620025503,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8180580414156686,"add_into_favorite_stores(app, search_info_slot)",0.8053110843816468,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8023224225050282,"add_into_favorite_goods(app, search_info_slot)",0.8015218219788935,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7865990908615107
