query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9623805783541762,"open_goods_page(app, search_info_slot, page_type)",0.9505712413787841,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9459778126291045,"add_into_favorite_stores(app, search_info_slot)",0.9325807831599497,"add_into_favorite_goods(app, search_info_slot)",0.9288010702779456,"open_customer_service(app, order_slot, store_slot)",0.9235085934823792,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9066229063550044,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8928006831838521,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8872165850245236,"open_special_page(app, page_type)",0.861586094539974
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000023841857,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8724193270414593,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8504629672510972,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8431184671058476,"open_customer_service(app, order_slot, store_slot)",0.8371216074649066,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8301916723065389,"add_into_favorite_stores(app, search_info_slot)",0.8255103582706308,"open_order_tracking_number(app, search_info_slot)",0.8026272806720883,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7985961839535113,"open_orders_bought(app, order_status, filter_detail_slot)",0.7949460589728362
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9933903837203979,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9573345412067606,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9023221401748658,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7605674140468736,"open_customer_service(app, order_slot, store_slot)",0.736331217143646,"add_into_favorite_stores(app, search_info_slot)",0.7266807757621376,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.13321031160998675,"open_logistics_receive(app, filter_type)",0.12359836542692036,"open_logistics_send(app, filter_type)",0.10261233773128677,"open_orders_bought(app, order_status, filter_detail_slot)",0.09557481584859644
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000023841857,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8238705371122553,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7968831340172833,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7799053055899468,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7764432961904761,"open_customer_service(app, order_slot, store_slot)",0.774548866028137,"open_orders_bought(app, order_status, filter_detail_slot)",0.7538822177522345,"add_into_favorite_stores(app, search_info_slot)",0.7534448509753571,"add_into_favorite_goods(app, search_info_slot)",0.7526988919976447,"open_order_tracking_number(app, search_info_slot)",0.7406516615075995
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9963755631446838,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.902489689956004,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8940952394705012,"add_into_favorite_stores(app, search_info_slot)",0.8899952178538666,"open_customer_service(app, order_slot, store_slot)",0.8664353268092344,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.862468216674985,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8574035699331519,"add_into_favorite_goods(app, search_info_slot)",0.854120128989527,"search_in_favorite_stores(app, search_info_slot)",0.8396351668061238,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8370276709303788
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000023841857,"open_logistics_receive(app, filter_type)",0.7748241525480848,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.748261287180791,"open_logistics_send(app, filter_type)",0.727464920971305,"open_orders_bought(app, order_status, filter_detail_slot)",0.7220619492607363,"call_order_courier(app, search_info_slot)",0.7040840768370815,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6923436996073142,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.690517785253633,open_search_history(app),0.07267579420066626,"open_customer_service(app, order_slot, store_slot)",0.0716439450676287
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000023841857,"search_cart_content(app, search_info_slot)",0.8477378938072564,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8410552742399118,"open_cart_content(app, filter_type, filter_detail_slot)",0.8365850406139943,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8317214386483434,"open_goods_page(app, search_info_slot, page_type)",0.8307911905141077,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8292665835607654,"add_into_favorite_stores(app, search_info_slot)",0.8268281556191532,"add_into_favorite_goods(app, search_info_slot)",0.815379720220605,"open_customer_service(app, order_slot, store_slot)",0.8115676214588984
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000023841857,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8683412054319017,"open_goods_page(app, search_info_slot, page_type)",0.8612608695523952,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8603570430044462,"search_cart_content(app, search_info_slot)",0.8572734369256009,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8566400802060034,"open_cart_content(app, filter_type, filter_detail_slot)",0.8526321750949448,"add_into_favorite_stores(app, search_info_slot)",0.8509614793475919,"open_customer_service(app, order_slot, store_slot)",0.8445321151659537,"add_into_favorite_goods(app, search_info_slot)",0.8400694207212918
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000023841857,"search_cart_content(app, search_info_slot)",0.8937200082756985,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8720618465680712,"open_cart_content(app, filter_type, filter_detail_slot)",0.8640576106380051,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8587395517591764,"add_into_favorite_stores(app, search_info_slot)",0.8552103964504056,"add_into_favorite_goods(app, search_info_slot)",0.8487158493063442,"open_goods_page(app, search_info_slot, page_type)",0.8433515811460232,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.830034414522257,"open_customer_service(app, order_slot, store_slot)",0.8293012806818534
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000023841857,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8944061309903153,"add_into_favorite_stores(app, search_info_slot)",0.7871042638952649,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7746547250301788,"search_cart_content(app, search_info_slot)",0.773254856103432,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7626892524155751,"open_customer_service(app, order_slot, store_slot)",0.760928183297623,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7557776492125124,"search_in_favorite_stores(app, search_info_slot)",0.7550265996352619,"search_delivery_time(app, search_info_slot, address_slot)",0.7490795440338216
