query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9876362343686198,"add_into_favorite_goods(app, search_info_slot)",0.9644964979427733,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9570218359964747,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9475013873829305,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9343560950735679,"search_in_favorite_stores(app, search_info_slot)",0.9291058051001135,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.928617750772551,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9042193636332585,open_camera_search(app),0.8910661956777792,"open_goods_page(app, search_info_slot, page_type)",0.8818654782394353
在抖音的商城中快速找到“智能手表”,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9959333386671521,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.962392637317322,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9483207636898278,"add_into_favorite_goods(app, search_info_slot)",0.9442309862688321,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9383130064143045,"search_in_favorite_stores(app, search_info_slot)",0.926303043789228,"open_goods_page(app, search_info_slot, page_type)",0.9068382048606872,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9018978096130356,open_camera_search(app),0.8787909564136848,"search_cart_content(app, search_info_slot)",0.8614652123458804
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",open_camera_search(app),1.0000000262260438,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9414106772036807,"search_in_favorite_stores(app, search_info_slot)",0.9404097851027386,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9395666132400649,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8996649754556151,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8964909277484973,"add_into_favorite_goods(app, search_info_slot)",0.871440987310801,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8619909699220202,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.848578107997729,"search_order(app, search_info_slot, order_status)",0.8412354225410723
在抖音上搜索一下商城店铺，关键词是户外露营装备。,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9724719536080089,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9589159750938415,"search_in_favorite_stores(app, search_info_slot)",0.951140642529471,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9436015454113074,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9008794786984801,"add_into_favorite_goods(app, search_info_slot)",0.8906877277234192,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8770628344711298,"open_goods_page(app, search_info_slot, page_type)",0.8624016853964004,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.06074857953906764,"open_favorite_stores(app, filter_type)",0.0384690348458469
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9648252780224623,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8847720743877544,"search_in_favorite_stores(app, search_info_slot)",0.8712388967836288,"add_into_favorite_goods(app, search_info_slot)",0.8629246058897638,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8544220261790941,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8309707579130435,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8290416342878698,open_camera_search(app),0.811513988434594,"search_order(app, search_info_slot, order_status)",0.8078783388160516
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9528859908367934,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8908904724338244,"search_in_favorite_stores(app, search_info_slot)",0.8845360373819259,"add_into_favorite_goods(app, search_info_slot)",0.834567100091424,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8300873162014141,"open_goods_page(app, search_info_slot, page_type)",0.8252764163059202,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8223541719580053,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.809439146599356,"search_order(app, search_info_slot, order_status)",0.8084324235938837
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9370473593760348,"search_in_favorite_stores(app, search_info_slot)",0.8957356789195173,"add_into_favorite_goods(app, search_info_slot)",0.8853029927911092,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8810248206962908,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8585211248885461,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.839350338108534,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8204759633287253,"open_goods_page(app, search_info_slot, page_type)",0.809463416740805,"open_favorite_stores(app, filter_type)",0.03933201327322963
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",1.0000000262260438,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9754929438924589,"add_into_favorite_goods(app, search_info_slot)",0.7905759473523107,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7874701672168511,"search_in_favorite_stores(app, search_info_slot)",0.7786781453707684,"open_goods_page(app, search_info_slot, page_type)",0.7769805351307745,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7705711787693441,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.054505903233239845,"open_orders_bought(app, order_status, filter_detail_slot)",0.03359573577899504,"open_logistics_receive(app, filter_type)",0.03347858040727808
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9376898266766311,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9219188997222209,"search_in_favorite_stores(app, search_info_slot)",0.9009695137799908,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8854802937434814,"add_into_favorite_goods(app, search_info_slot)",0.8739778414777807,open_camera_search(app),0.8457451067180225,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8413436169310896,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8390126656186111,"search_order(app, search_info_slot, order_status)",0.819068498819248
在抖音上搜一下人气最高的瑜伽装备店铺。,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.944696376599793,"search_in_favorite_stores(app, search_info_slot)",0.9390830704625367,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9144524356681687,"add_into_favorite_goods(app, search_info_slot)",0.8860415795539573,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8682141955983945,"search_order(app, search_info_slot, order_status)",0.8644393289653559,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8556298309103108,"open_goods_page(app, search_info_slot, page_type)",0.8511420986296164,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8307368166530054
