query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
帮我打开抖音极速版，在商城里搜一下运动鞋。,在抖音中的商城搜索运动鞋,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9686736361631303,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.96276329795855,"open_goods_page(app, search_info_slot, page_type)",0.9545359128713607,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9419904261073558,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9349134968495858,"manage_order_logistics_status(app, search_info_slot, action_type)",0.9311364691818874,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.8939165742875377,"call_order_courier(app, search_info_slot)",0.8869941803006615,"open_order_tracking_number(app, search_info_slot)",0.8868425574692503,"add_into_favorite_goods(app, search_info_slot)",0.8261055305318767
我想在抖音短视频里找找有没有卖蓝牙耳机的。,在抖音短视频中的商城查找蓝牙耳机,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9634605918599204,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9616268642282446,"open_goods_page(app, search_info_slot, page_type)",0.9570035228133201,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9567039122805683,"manage_order_logistics_status(app, search_info_slot, action_type)",0.9406854227161735,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9308327287370568,"open_special_page(app, page_type)",0.9306525932823212,"add_into_favorite_stores(app, search_info_slot)",0.9102137304989389,"open_customer_service(app, order_slot, store_slot)",0.8995631977491118,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.8954023476002574
在抖音短视频里打开连衣裙的评论。,在抖音短视频中的商城打开连衣裙的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9404323661327362,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5852294118311211,"open_special_page(app, page_type)",0.5759322564255245,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5711124182898668,"search_delivery_time(app, search_info_slot, address_slot)",0.37381394403970053,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.3727023376803865,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.36530790207293096,"call_order_courier(app, search_info_slot)",0.35281543499993145,"manage_order_logistics_status(app, search_info_slot, action_type)",0.33882892858031366,apply_price_protection(app),0.325287496353385
帮我看看dy商城里卫衣的评论都是怎么说的。,在dy中的商城查看卫衣的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9352129736542701,"open_special_page(app, page_type)",0.7166794087212549,"search_delivery_time(app, search_info_slot, address_slot)",0.6893430862984925,"open_order_tracking_number(app, search_info_slot)",0.6673088128029105,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6381616245640245,"call_order_courier(app, search_info_slot)",0.5621228905826283,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.4430478530073676,"open_cart_content(app, filter_type, filter_detail_slot)",0.4252649977172445,"manage_order_logistics_status(app, search_info_slot, action_type)",0.4174508104057022,"open_orders_bought(app, order_status, filter_detail_slot)",0.41489093502816965
在抖音短视频里帮我打开运动鞋的规格页面。,在抖音短视频中的商城打开运动鞋的规格页面,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9234729373455047,"open_special_page(app, page_type)",0.875023442677105,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7173846096919112,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6367249397253029,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5941837968960972,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5862626498203776,apply_price_protection(app),0.3697215127635006,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.35999276867599617,"open_order_tracking_number(app, search_info_slot)",0.35686972772423153,"manage_order_logistics_status(app, search_info_slot, action_type)",0.35093144015373806
你能帮我查一下抖音极速版商城里连衣裙都有哪些规格吗？,在抖音中的商城查看连衣裙的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9987089598178863,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9319429364568929,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8801012409625937,"open_order_tracking_number(app, search_info_slot)",0.8438507240416797,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8186280849781901,"open_special_page(app, page_type)",0.7139477631454165,"search_delivery_time(app, search_info_slot, address_slot)",0.6877320650968838,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5507308202132855,"add_into_favorite_goods(app, search_info_slot)",0.548610854045867,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5277974761599878
帮我打开抖音商城里运动鞋的搜索参数。,在抖音中的商城查看运动鞋的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9418251106142997,"open_order_tracking_number(app, search_info_slot)",0.7096385781777087,"open_special_page(app, page_type)",0.7069951269823274,"search_delivery_time(app, search_info_slot, address_slot)",0.6611596574840106,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5467762615614661,"call_order_courier(app, search_info_slot)",0.5335302817617603,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.47992052874814756,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.46910603077889157,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.45229834066785896,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.44890964676392264
YoYo，在抖音短视频的商城中能搜到蓝牙耳机的参数信息吗？,在抖音短视频中的商城搜索蓝牙耳机的参数信息,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9976732926019578,"open_goods_page(app, search_info_slot, page_type)",0.9870029354095459,"add_into_favorite_goods(app, search_info_slot)",0.9822949275093014,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9662393514348836,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.938154141781379,"manage_order_logistics_status(app, search_info_slot, action_type)",0.9363780718411129,"call_order_courier(app, search_info_slot)",0.9158693673400368,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9128266184768169,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.7909516887546817,"search_delivery_time(app, search_info_slot, address_slot)",0.78877719707115
帮我打开抖音商城里那件白色连衣裙的详情页。,在抖音中的商城打开白色连衣裙的详情页,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9743384534120559,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.962022744557951,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.877984421008487,"open_special_page(app, page_type)",0.7338864300671155,apply_price_protection(app),0.5695130816815259,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5543678291735521,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.5354142272981315,"call_order_courier(app, search_info_slot)",0.5326119625467072,"manage_order_logistics_status(app, search_info_slot, action_type)",0.5152033770027576,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.49970941278718417
在抖音极速里面搜索一下安慕希的详情能给我打开吗？,在抖音中的商城打开安慕希的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9541614913940429,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5928701163437172,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5580108554322389,"open_special_page(app, page_type)",0.526982828522826,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.3864019288402071,"manage_order_logistics_status(app, search_info_slot, action_type)",0.3683378098511991,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.3576691645136124,apply_price_protection(app),0.325287496353385,"search_delivery_time(app, search_info_slot, address_slot)",0.3176659812310915,"call_order_courier(app, search_info_slot)",0.3164421997146493
