query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9595277310618824,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9592895986801258,"open_goods_page(app, search_info_slot, page_type)",0.9480281925201416,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9439301511624857,"add_into_favorite_stores(app, search_info_slot)",0.9394805802423956,"add_into_favorite_goods(app, search_info_slot)",0.9380455461501609,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9373906755992389,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9087160197629711,"search_cart_content(app, search_info_slot)",0.9071343509704354,"open_customer_service(app, order_slot, store_slot)",0.903627559821247
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9560590100242281,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9490544652938843,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.890251814006922,"add_into_favorite_goods(app, search_info_slot)",0.8854948979082058,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8842774615501734,"add_into_favorite_stores(app, search_info_slot)",0.8730668503914643,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8703500925100381,"search_cart_content(app, search_info_slot)",0.8676978403408935,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8661477348598776,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8620891513574085
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.939053939010109,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9194936015755673,"open_goods_page(app, search_info_slot, page_type)",0.9156962265322915,"add_into_favorite_goods(app, search_info_slot)",0.8385399660278572,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8298244961216795,"search_cart_content(app, search_info_slot)",0.8249922409304163,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8237932246440343,"add_into_favorite_stores(app, search_info_slot)",0.8233876352643809,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8102087363205129,"search_delivery_time(app, search_info_slot, address_slot)",0.809930142991342
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9405277343713261,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8547407090241486,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8490271176316659,"add_into_favorite_goods(app, search_info_slot)",0.8310850493812936,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8210907208243657,open_camera_search(app),0.8095409668614639,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8070933621853111,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7919315230499141,"search_cart_content(app, search_info_slot)",0.7894516140280711,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.11
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.986552823971426,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9483519566331999,"add_into_favorite_stores(app, search_info_slot)",0.9313010610847807,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9292086762374655,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9276355906685555,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.92489724592006,"add_into_favorite_goods(app, search_info_slot)",0.9169982316575866,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9044643619192809,"search_cart_content(app, search_info_slot)",0.9031920504251154,open_camera_search(app),0.9028099225184079
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9125031964869592,"open_logistics_receive(app, filter_type)",0.8359099811050434,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.822366331395556,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8141044649955897,"manage_order_logistics_status(app, search_info_slot, action_type)",0.7997300153694827,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7830699965513774,"open_orders_bought(app, order_status, filter_detail_slot)",0.7678716412940131,"call_order_courier(app, search_info_slot)",0.7567237646967977,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.11,"open_customer_service(app, order_slot, store_slot)",0.025229810311946706
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.954395888916924,"search_cart_content(app, search_info_slot)",0.9054111433386997,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8956731154030269,"open_cart_content(app, filter_type, filter_detail_slot)",0.8837846283537575,"add_into_favorite_goods(app, search_info_slot)",0.8791051240442377,"add_into_favorite_stores(app, search_info_slot)",0.8597161137174029,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8518716377862583,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8508443076214766,open_camera_search(app),0.8414818182643429,"open_goods_page(app, search_info_slot, page_type)",0.8383538446352635
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9345306740922474,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.921894569546551,"search_cart_content(app, search_info_slot)",0.9005597424864963,"add_into_favorite_goods(app, search_info_slot)",0.8869989843843561,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8725213689454685,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8717358548245405,"open_goods_page(app, search_info_slot, page_type)",0.8702150902674352,"add_into_favorite_stores(app, search_info_slot)",0.8531554900716204,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8508423963827393,open_camera_search(app),0.8500183358844295
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9943371656807805,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9255352135303764,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.908282313405237,"search_cart_content(app, search_info_slot)",0.9007586061099226,"add_into_favorite_stores(app, search_info_slot)",0.8991820987964099,"open_cart_content(app, filter_type, filter_detail_slot)",0.8859122510116609,"add_into_favorite_goods(app, search_info_slot)",0.8702615396324314,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.863727614632883,"open_goods_page(app, search_info_slot, page_type)",0.8549868662257164,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8519837051899254
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9627900817371147,"search_cart_content(app, search_info_slot)",0.9185328434296477,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9115158447170454,"add_into_favorite_stores(app, search_info_slot)",0.9021920618115887,"add_into_favorite_goods(app, search_info_slot)",0.8857954449782989,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8757112344146414,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8753210193642911,"open_cart_content(app, filter_type, filter_detail_slot)",0.8642832698745859,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8619842107848622,"open_goods_page(app, search_info_slot, page_type)",0.8613756523428637
