大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-搜索,抖音,帮我打开抖音极速版，在商城里搜一下运动鞋。,在抖音中的商城搜索运动鞋,在抖音的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,我想在抖音短视频里找找有没有卖蓝牙耳机的。,在抖音短视频中的商城查找蓝牙耳机,在抖音的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,在抖音短视频里打开连衣裙的评论。,在抖音短视频中的商城打开连衣裙的评论,在抖音的商城中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,帮我看看dy商城里卫衣的评论都是怎么说的。,在dy中的商城查看卫衣的评论,在抖音的商城中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,在抖音短视频里帮我打开运动鞋的规格页面。,在抖音短视频中的商城打开运动鞋的规格页面,在抖音的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,你能帮我查一下抖音极速版商城里连衣裙都有哪些规格吗？,在抖音中的商城查看连衣裙的规格,在抖音的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,帮我打开抖音商城里运动鞋的搜索参数。,在抖音中的商城查看运动鞋的参数,在抖音的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,YoYo，在抖音短视频的商城中能搜到蓝牙耳机的参数信息吗？,在抖音短视频中的商城搜索蓝牙耳机的参数信息,在抖音的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,帮我打开抖音商城里那件白色连衣裙的详情页。,在抖音中的商城打开白色连衣裙的详情页,在抖音的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-打开,抖音,在抖音极速里面搜索一下安慕希的详情能给我打开吗？,在抖音中的商城打开安慕希的详情,在抖音的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
购物-搜索,抖音,我在抖音商城里搜索一下运动鞋，送到朝阳区建国路88号SOHO现代城3号楼1205室，要看看多久能到。,在抖音中的商城搜索运动鞋送达朝阳区建国路88号SOHO现代城3号楼1205室的时间,在抖音的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
购物-搜索,抖音,帮我查一下在抖音极速版里买的iPhone手机壳，地址是杭州市西湖区文三路159号华星时代广场B座503，什么时候能送到。,在抖音中的商城查看iPhone手机壳送达杭州市西湖区文三路159号华星时代广场B座503的时间,在抖音的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
购物-购物车,抖音,在抖音短视频里把搜索到的蓝牙耳机加入购物车。,在抖音短视频中的商城把蓝牙耳机加入购物车,在抖音的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,帮我把抖音商城中搜索到的保温杯加入购物车。,在抖音中的商城把保温杯加入购物车,在抖音的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,帮我把抖音商城里那款粉色手机壳加入购物车。,在抖音中的商城把粉色手机壳加入购物车,在抖音的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,在抖音短视频里把搜索到的男士加绒卫衣加入购物车L码。,在抖音短视频中的商城把L码的男士加绒卫衣加入购物车,在抖音的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,在抖音商城里帮我把3件男士卫衣加入购物车。,在抖音中的商城把3件男士卫衣加入购物车,在抖音的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
购物-购物车,抖音,YoYo，快帮我把抖音商城里的那款无线蓝牙耳机加2个到购物车。,在抖音中的商城把2个无线蓝牙耳机加入购物车,在抖音的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
