query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9730557084645666,"add_into_favorite_stores(app, search_info_slot)",0.9538710652991574,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9511432107730906,"open_goods_page(app, search_info_slot, page_type)",0.9385159063339233,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9314344553078107,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9164874193533148,"add_into_favorite_goods(app, search_info_slot)",0.9104407125463472,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8977612360403847,"open_customer_service(app, order_slot, store_slot)",0.8961342132694812,open_camera_search(app),0.8924413580208519
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9280144751713263,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9013812670580471,"add_into_favorite_stores(app, search_info_slot)",0.8995535834283229,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8915506045156658,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8895542206718084,"add_into_favorite_goods(app, search_info_slot)",0.8846725919503957,"open_customer_service(app, order_slot, store_slot)",0.8646798238853949,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8633479112089923,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8627116457962868
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9808661389350891,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9708078471206596,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9468914954751668,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8668743944304109,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8595191749365854,"add_into_favorite_stores(app, search_info_slot)",0.8374250041626513,"add_into_favorite_goods(app, search_info_slot)",0.8353028401519828,"search_cart_content(app, search_info_slot)",0.8346351232383461,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8283085655164244,"open_logistics_receive(app, filter_type)",0.08456730266052447
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8892274293246651,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8722393420499996,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.871239750098464,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8696431316677355,"add_into_favorite_goods(app, search_info_slot)",0.8597829455515806,open_camera_search(app),0.8540743205287357,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8420206478749027,"add_into_favorite_stores(app, search_info_slot)",0.8382085000706907,"open_customer_service(app, order_slot, store_slot)",0.8335034852367279
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9718400883674622,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.930854360038402,"add_into_favorite_stores(app, search_info_slot)",0.9250857269002195,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9172279742521481,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9055635723414803,"add_into_favorite_goods(app, search_info_slot)",0.8958547228953306,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8936322018616171,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8929220012341251,open_camera_search(app),0.8815661880710025,"search_cart_content(app, search_info_slot)",0.8748010782716777
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.8604882993231014,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8409534508087512,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8305995004088105,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8103920481578948,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8070017082300425,"open_orders_bought(app, order_status, filter_detail_slot)",0.8049679359187245,"add_into_favorite_stores(app, search_info_slot)",0.7849357696869317,open_camera_search(app),0.7844026747279986,open_search_history(app),0.049725543400455846
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"open_cart_content(app, filter_type, filter_detail_slot)",0.9165431702568243,"search_cart_content(app, search_info_slot)",0.8996522546607012,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8824302106209589,"add_into_favorite_stores(app, search_info_slot)",0.8400926505332054,open_camera_search(app),0.8396911166003884,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8378593575466371,"open_goods_page(app, search_info_slot, page_type)",0.8360146074043461,"add_into_favorite_goods(app, search_info_slot)",0.835081297931196,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.829633813312835
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.903376702631428,"search_cart_content(app, search_info_slot)",0.9003424898283148,"open_cart_content(app, filter_type, filter_detail_slot)",0.8995713315873718,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8539627181177226,"add_into_favorite_stores(app, search_info_slot)",0.8532280329246996,"add_into_favorite_goods(app, search_info_slot)",0.8516806101914074,"open_goods_page(app, search_info_slot, page_type)",0.8514581991834661,open_camera_search(app),0.8502662898012577,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8407072975384814
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8968590539345286,"search_cart_content(app, search_info_slot)",0.8856126323835516,"add_into_favorite_stores(app, search_info_slot)",0.8851920965691088,"open_cart_content(app, filter_type, filter_detail_slot)",0.8812769375711059,"add_into_favorite_goods(app, search_info_slot)",0.8612676000710155,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.860410864566527,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8522484289293376,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8468676270377657,"open_goods_page(app, search_info_slot, page_type)",0.8414151145620367
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9142111510588451,"add_into_favorite_stores(app, search_info_slot)",0.8481444786993898,"open_cart_content(app, filter_type, filter_detail_slot)",0.8475943230565018,"search_cart_content(app, search_info_slot)",0.8429910059685788,"search_delivery_time(app, search_info_slot, address_slot)",0.8328883367108049,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8167858791116355,"open_logistics_receive(app, filter_type)",0.8165448720271509,"add_into_favorite_goods(app, search_info_slot)",0.8152741883254224,open_camera_search(app),0.8110324267214719
