query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9998501145839691,"open_logistics_receive(app, filter_type)",0.8153673284256534,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8047343701569908,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7978469263022521,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7558207949554606,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7472872799814135,"open_goods_page(app, search_info_slot, page_type)",0.7366533933277873,"call_order_courier(app, search_info_slot)",0.7288099485800253,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.7269169145575829,"open_customer_service(app, order_slot, store_slot)",0.7236059138757818
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9700486415624618,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.931072940995215,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7943048880991577,"add_into_favorite_goods(app, search_info_slot)",0.688182223612552,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6461520509605689,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6362981644955776,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6362912264960099,"open_customer_service(app, order_slot, store_slot)",0.6271866024079711,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6198194489196365,"search_in_favorite_goods(app, search_info_slot)",0.6080072070264718
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999904632568,"open_goods_page(app, search_info_slot, page_type)",0.9716304370335562,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9146136010829925,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.7427501797284862,"open_order_tracking_number(app, search_info_slot)",0.7278319839780562,"add_into_favorite_goods(app, search_info_slot)",0.6901541908692786,"open_cart_content(app, filter_type, filter_detail_slot)",0.6381280592948853,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6372320002417444,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6289740284361534,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6288347840269094
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9518423134088516,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9179736644364648,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8083055091639596,"add_into_favorite_goods(app, search_info_slot)",0.6741577805129042,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6054167207925996,"open_cart_content(app, filter_type, filter_detail_slot)",0.5955314582546032,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5953166634746441,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5937232954963709,"search_cart_content(app, search_info_slot)",0.5849735410394143,"open_customer_service(app, order_slot, store_slot)",0.5825818855838241
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9727062785625458,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.927750205060372,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8271147246872345,"add_into_favorite_goods(app, search_info_slot)",0.6742057538355736,"open_logistics_receive(app, filter_type)",0.6710132451497395,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6658250788425235,"manage_order_logistics_status(app, search_info_slot, action_type)",0.6584141498947671,"open_cart_content(app, filter_type, filter_detail_slot)",0.6497974572555592,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6454015322806628,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6387787841290731
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9847564452886581,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7951784747644711,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7738601420383384,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.756018338664289,"open_logistics_receive(app, filter_type)",0.7191349092373173,"open_customer_service(app, order_slot, store_slot)",0.7137719987055204,"search_order(app, search_info_slot, order_status)",0.704777962787337,"open_goods_page(app, search_info_slot, page_type)",0.6994222355725163,"add_into_favorite_stores(app, search_info_slot)",0.6878855300661322,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6719236391613125
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9676006639003754,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.939220692240604,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7816071454281206,"add_into_favorite_goods(app, search_info_slot)",0.6799877202313425,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6552362779424252,"open_cart_content(app, filter_type, filter_detail_slot)",0.6360360019916176,"add_into_favorite_stores(app, search_info_slot)",0.6297408089799017,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6239529303412945,"open_customer_service(app, order_slot, store_slot)",0.615825079021466,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6151483966828304
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999904632568,"open_goods_page(app, search_info_slot, page_type)",0.9656501419506499,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9058970729839133,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6401409262219415,"open_customer_service(app, order_slot, store_slot)",0.6387575051786709,"add_into_favorite_goods(app, search_info_slot)",0.6380509644546691,"add_into_favorite_stores(app, search_info_slot)",0.631533043420514,"open_cart_content(app, filter_type, filter_detail_slot)",0.6242953271562852,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6190201847071292,"manage_order_logistics_status(app, search_info_slot, action_type)",0.6140960742184626
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9954668188095093,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9670482328583396,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8002736072883533,"add_into_favorite_goods(app, search_info_slot)",0.7354913390946708,"add_into_favorite_stores(app, search_info_slot)",0.7089847535365734,"open_cart_content(app, filter_type, filter_detail_slot)",0.6441881266317524,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6108584287182777,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6090248519813007,"open_customer_service(app, order_slot, store_slot)",0.6053621107235406,"search_cart_content(app, search_info_slot)",0.6035607848691382
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9704410636425018,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9363372480416756,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7991589050164967,"manage_order_logistics_status(app, search_info_slot, action_type)",0.6679475289026572,"open_cart_content(app, filter_type, filter_detail_slot)",0.6647153444301857,"add_into_favorite_goods(app, search_info_slot)",0.6633783324477023,"search_cart_content(app, search_info_slot)",0.6343047931836368,"open_logistics_receive(app, filter_type)",0.6299483403483397,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6293150886223445,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.6261767385229182
