user_prompt_task,ground_truth,model_output,is_perfect_match,fn_accuracy,required_param_recall,param_f1,param_bleu_1,param_bleu_2,param_bleu_3,param_bleu_4,param_rouge_1,param_rouge_2,param_rouge_l,delay_seconds
在淘宝中查看半年前收藏的宝贝,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""半年前"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '淘宝', 'filter_type': '半年前'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,1.1152
在抖音极速版中执行签到操作,"[['1', 'sign_in(app=""抖音极速版"", page_type=""无"")']]","[[""1"", ""sign_in(app='抖音极速版')""]]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6514
在淘宝中查看已签收的快递,"[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '淘宝', 'filter_type': '已签收'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2569
在唯品会中查看收藏的宝贝,"[['1', 'open_favorite_goods(app=""唯品会"", order_type=""无"", filter_type=""无"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '唯品会'}}]",0.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.9239
在阿里巴巴中查看货的物流信息,"[['1', 'open_logistics_receive(app=""阿里巴巴"", filter_type=""无"")']]","[{'name': 'open_logistics_receive', 'parameters': {'app': '阿里巴巴'}}]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8307
在阿里巴巴中显示收藏里买过的东西,"[['1', 'open_favorite_goods(app=""阿里巴巴"", order_type=""无"", filter_type=""买过"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '阿里巴巴', 'filter_type': '买过'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.1150
在淘宝中查看特别关注的店铺,"[['1', 'open_favorite_stores(app=""淘宝"", filter_type=""特别关注"")']]","[{'name': 'open_favorite_stores', 'parameters': {'app': '淘宝', 'filter_type': '特别关注'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1421
在唯品会中查看收藏中的卡通卫衣,"[['1', 'search_in_favorite_goods(app=""唯品会"", search_info=""卡通卫衣"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '唯品会'}}]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9228
在阿里巴巴中查看收藏里的有机肥料,"[['1', 'search_in_favorite_goods(app=""阿里巴巴"", search_info=""有机肥料"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '阿里巴巴', 'filter_type': '无', 'order_type': '无'}}]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4341
在天猫中查看DIY手工材料并按价格从低到高排序,"[['1', 'search_goods(app=""天猫"", search_info=""DIY手工材料"", order_type=""价格从低到高"")']]","[{'name': 'search_goods', 'parameters': {'app': '天猫', 'search_info': 'DIY手工材料', 'order_type': '价格从低到高'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.6140
在京东中查看待评价订单,"[['1', 'open_orders_bought(app=""京东"", order_status=""待评价"")']]","[{'name': 'open_orders_bought', 'parameters': {'app': '京东', 'order_status': '待评价'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1419
在快手中联系官方客服,"[['1', 'open_customer_service(app=""快手"")']]","[{'name': 'open_customer_service', 'parameters': {'app': '快手'}}]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8019
在天猫中打开收藏夹按最近收藏的顺序排列,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""最近收藏在前"", filter_type=""无"")']]","[{'name': 'open_favorite_goods', 'parameters': {'app': '天猫', 'order_type': '最近收藏在前'}}]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,1.2553
