query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9693350223625592,"add_into_favorite_stores(app, search_info_slot)",0.9538710652991574,"add_into_favorite_goods(app, search_info_slot)",0.949395506953238,"open_goods_page(app, search_info_slot, page_type)",0.9469098496437073,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.944583761748258,"open_customer_service(app, order_slot, store_slot)",0.9420303857929797,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9294228657172036,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9090160783573191,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9036571029443627,"sign_in(app, page_type)",0.8820462750217618
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9085381859244159,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8647535026714789,"open_customer_service(app, order_slot, store_slot)",0.864372502336933,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8569070825449551,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8557775656515301,"add_into_favorite_stores(app, search_info_slot)",0.8533618314713832,"open_order_tracking_number(app, search_info_slot)",0.8288693187088316,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8234162511779425,"open_orders_bought(app, order_status, filter_detail_slot)",0.8181050031328457
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9929007339477539,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9708078471206596,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9169530956834493,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.770155665888083,"open_customer_service(app, order_slot, store_slot)",0.7546225610792765,"add_into_favorite_stores(app, search_info_slot)",0.7457807170532764,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.09114389741735936,"open_logistics_receive(app, filter_type)",0.08456730266052447,"open_logistics_send(app, filter_type)",0.07020844160561726,"open_orders_bought(app, order_status, filter_detail_slot)",0.06539329505430283
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8521123322787668,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.813658228234692,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.810009805869338,"open_customer_service(app, order_slot, store_slot)",0.7991580372196075,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7870191134754443,"add_into_favorite_stores(app, search_info_slot)",0.777867737932324,"add_into_favorite_goods(app, search_info_slot)",0.7767933720728819,"open_orders_bought(app, order_status, filter_detail_slot)",0.7760482382625264,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7667076783313187
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9961071062088013,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9275388511958506,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9270874169630245,"add_into_favorite_stores(app, search_info_slot)",0.9245329534245725,"open_customer_service(app, order_slot, store_slot)",0.8978509312015411,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8972213498409902,"add_into_favorite_goods(app, search_info_slot)",0.885727297701544,"search_in_favorite_stores(app, search_info_slot)",0.875414111774629,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8739764489475512,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8666635922108403
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.8022264279852108,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.777298372397649,"open_logistics_send(app, filter_type)",0.7603584949915682,"open_orders_bought(app, order_status, filter_detail_slot)",0.7458944281329274,"call_order_courier(app, search_info_slot)",0.7294512620421839,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7192404849138498,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7170517580420197,open_search_history(app),0.04972554340045586,"open_customer_service(app, order_slot, store_slot)",0.04901954136206174
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8755940608294671,"search_cart_content(app, search_info_slot)",0.8683517099219318,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8657115351665712,"open_goods_page(app, search_info_slot, page_type)",0.863841870282764,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8629773407288386,"add_into_favorite_stores(app, search_info_slot)",0.8613605414633811,"open_cart_content(app, filter_type, filter_detail_slot)",0.8540462696983526,"add_into_favorite_goods(app, search_info_slot)",0.8487064428896921,"open_customer_service(app, order_slot, store_slot)",0.8439887877818417
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.901850815032683,"open_goods_page(app, search_info_slot, page_type)",0.8931615425748846,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8930568736443064,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8891907321100322,"add_into_favorite_stores(app, search_info_slot)",0.8842883113403796,"search_cart_content(app, search_info_slot)",0.8765661374227667,"open_customer_service(app, order_slot, store_slot)",0.8760795194725898,"add_into_favorite_goods(app, search_info_slot)",0.8723309373970654,"open_cart_content(app, filter_type, filter_detail_slot)",0.8691928707032776
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_cart_content(app, search_info_slot)",0.9157125011579657,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9058470680462939,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8913195770630381,"add_into_favorite_stores(app, search_info_slot)",0.8888519409676073,"add_into_favorite_goods(app, search_info_slot)",0.8816178178902294,"open_cart_content(app, filter_type, filter_detail_slot)",0.8814646325975036,"open_goods_page(app, search_info_slot, page_type)",0.8739256335897466,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8606142984514323,"open_customer_service(app, order_slot, store_slot)",0.8597204882721808
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9142674178435131,"add_into_favorite_stores(app, search_info_slot)",0.825803704163257,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8118209444042096,"search_cart_content(app, search_info_slot)",0.8013584728951535,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7987904023889182,"open_customer_service(app, order_slot, store_slot)",0.7968286413636132,"search_in_favorite_stores(app, search_info_slot)",0.7944551597198123,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7894520768822405,"search_delivery_time(app, search_info_slot, address_slot)",0.7846797423886003
