query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9788100144655077,"add_into_favorite_goods(app, search_info_slot)",0.9684711490600219,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9646752613837385,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9564311538031668,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9465259572959052,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9366636540665008,"search_in_favorite_stores(app, search_info_slot)",0.9259712631698266,"open_goods_page(app, search_info_slot, page_type)",0.9032674365202982,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.886468181124192,open_camera_search(app),0.8864265373587049
在抖音的商城中快速找到“智能手表”,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9537011001632727,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9157515458215026,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9104390580627666,"add_into_favorite_goods(app, search_info_slot)",0.9100877738865883,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8921123108212968,"search_cart_content(app, search_info_slot)",0.8880167555809021,"search_in_favorite_stores(app, search_info_slot)",0.8842238985602533,"open_goods_page(app, search_info_slot, page_type)",0.8793296209859967,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8514947179965006,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8367628307009398
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",open_camera_search(app),0.9999999952316284,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9465048975936801,"search_in_favorite_stores(app, search_info_slot)",0.931746012023744,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9276029986954721,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8779019607208511,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8704266624054463,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8583384415274447,"add_into_favorite_goods(app, search_info_slot)",0.8500022474063177,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8405644195026016,"search_order(app, search_info_slot, order_status)",0.8280474914160649
在抖音上搜索一下商城店铺，关键词是户外露营装备。,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9649730062315809,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9432025504112244,"search_in_favorite_stores(app, search_info_slot)",0.9290010827850534,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9110563131046242,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8778792724512109,"add_into_favorite_goods(app, search_info_slot)",0.8580483993598785,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8564294384216027,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8369742601119152,"open_goods_page(app, search_info_slot, page_type)",0.8221330469295877,"search_cart_content(app, search_info_slot)",0.7869359965234914
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999952316284,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9357573012439013,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8257523338884414,"search_in_favorite_stores(app, search_info_slot)",0.8102889199451293,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7888155201971105,"add_into_favorite_goods(app, search_info_slot)",0.7826870316792509,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7695566075934709,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7678015405154911,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7584116628538203,"search_order(app, search_info_slot, order_status)",0.7470150415530223
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999952316284,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9421986559954882,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8313651899396948,"search_in_favorite_stores(app, search_info_slot)",0.8290627141193236,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7970930497736037,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7760426575160709,"add_into_favorite_goods(app, search_info_slot)",0.7683660620976469,"search_order(app, search_info_slot, order_status)",0.7670646731486339,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7580183318029475,"open_goods_page(app, search_info_slot, page_type)",0.7574943699932032
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999952316284,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9363918636151278,"search_in_favorite_stores(app, search_info_slot)",0.8274257021774093,"add_into_favorite_goods(app, search_info_slot)",0.8069012211995709,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8046683884556105,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7893566164744009,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7619883309167007,"open_goods_page(app, search_info_slot, page_type)",0.76042881384974,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7574426652347509,open_search_history(app),0.7478779674833451
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999952316284,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.989553851465353,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7962880220850067,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7812695886397143,"add_into_favorite_goods(app, search_info_slot)",0.7797030738387108,"open_goods_page(app, search_info_slot, page_type)",0.7765448292775309,"search_in_favorite_stores(app, search_info_slot)",0.7639969047678639,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.0709832919828783,"open_orders_bought(app, order_status, filter_detail_slot)",0.042509162808438965,"open_logistics_receive(app, filter_type)",0.04236575194715433
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999952316284,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9269063674245108,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8610577782419725,"search_in_favorite_stores(app, search_info_slot)",0.8359689990973024,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8290931183816405,"add_into_favorite_goods(app, search_info_slot)",0.7982239652703286,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7880453023476283,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7811558919380843,"search_order(app, search_info_slot, order_status)",0.7715847966817059,open_camera_search(app),0.759550180290318
在抖音上搜一下人气最高的瑜伽装备店铺。,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999952316284,"search_in_favorite_stores(app, search_info_slot)",0.9041526683340454,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9000873526148744,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8657056380958479,"add_into_favorite_goods(app, search_info_slot)",0.8489875383446355,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.844099003126086,"search_order(app, search_info_slot, order_status)",0.8273092222429784,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8197322961952185,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8157823758343677,"open_goods_page(app, search_info_slot, page_type)",0.8112082066725267
