query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9595001637298717,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9587520195727758,"open_goods_page(app, search_info_slot, page_type)",0.9477808928489685,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9439539653600447,"add_into_favorite_stores(app, search_info_slot)",0.9390654457743257,"add_into_favorite_goods(app, search_info_slot)",0.937753489621221,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9372118233319048,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9093607732140847,"search_cart_content(app, search_info_slot)",0.9079287197265402,open_camera_search(app),0.9036527035837383
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9560422629278389,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9490330076217651,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8882336342332663,"add_into_favorite_goods(app, search_info_slot)",0.8836507510760812,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.881788897731141,"add_into_favorite_stores(app, search_info_slot)",0.8710225829916047,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8694555809011619,"search_cart_content(app, search_info_slot)",0.8665188914837247,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8644228346718326,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8604180948276856
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9390330651393648,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9202314827637036,"open_goods_page(app, search_info_slot, page_type)",0.9155614342052091,"add_into_favorite_goods(app, search_info_slot)",0.8383982387493734,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8285102339199145,"search_cart_content(app, search_info_slot)",0.8251250146728131,"add_into_favorite_stores(app, search_info_slot)",0.8229170459773322,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8214474807515627,"search_delivery_time(app, search_info_slot, address_slot)",0.8089949080663941,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8087571575958704
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9405108880849188,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.855419874181715,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8494286875976277,"add_into_favorite_goods(app, search_info_slot)",0.8313603111233792,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8209941324301223,open_camera_search(app),0.8108009546006978,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8071722762488375,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.792409341329505,"open_customer_service(app, order_slot, store_slot)",0.7913069781212158,"search_cart_content(app, search_info_slot)",0.7897379453809247
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9854766987011102,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9480351351440208,"add_into_favorite_stores(app, search_info_slot)",0.9312705657083465,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9284764162669217,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9268653196402213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9239549074107133,"add_into_favorite_goods(app, search_info_slot)",0.9164036487330052,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9052704541900807,open_camera_search(app),0.9039425433815725,"search_cart_content(app, search_info_slot)",0.9037486168523813
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9124833194721952,"open_logistics_receive(app, filter_type)",0.8362618816156681,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8223125906305393,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8136629234551794,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8000908133963172,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.783223825489053,"open_orders_bought(app, order_status, filter_detail_slot)",0.7677536185717501,"call_order_courier(app, search_info_slot)",0.756566958878119,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.11,"open_customer_service(app, order_slot, store_slot)",0.02520943222052159
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9543778942167483,"search_cart_content(app, search_info_slot)",0.9062562893234812,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.896503990035957,"open_cart_content(app, filter_type, filter_detail_slot)",0.8842370247110288,"add_into_favorite_goods(app, search_info_slot)",0.8800274905888168,"add_into_favorite_stores(app, search_info_slot)",0.8607456044428746,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8525510857483141,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8511881082714051,open_camera_search(app),0.8430841930509384,"open_goods_page(app, search_info_slot, page_type)",0.8393605363099064
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9338383124410831,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.921868090969032,"search_cart_content(app, search_info_slot)",0.8997931192719065,"add_into_favorite_goods(app, search_info_slot)",0.887140410873088,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8711394498726122,"open_goods_page(app, search_info_slot, page_type)",0.8706955921380009,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.870403870886609,"add_into_favorite_stores(app, search_info_slot)",0.8535578207247655,open_camera_search(app),0.8507398136258896,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8505544550632586
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9943246846083775,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9256018342992226,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9084513595809636,"search_cart_content(app, search_info_slot)",0.9001539200387945,"add_into_favorite_stores(app, search_info_slot)",0.8993688643769259,"open_cart_content(app, filter_type, filter_detail_slot)",0.8856095104522826,"add_into_favorite_goods(app, search_info_slot)",0.8704253462711472,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8637078728106815,"open_goods_page(app, search_info_slot, page_type)",0.8551367399053957,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8530438411375123
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9627686636227025,"search_cart_content(app, search_info_slot)",0.9201639140731767,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9124929416817655,"add_into_favorite_stores(app, search_info_slot)",0.9036097499294853,"add_into_favorite_goods(app, search_info_slot)",0.8877287609855639,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8781343489524361,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8778213827314171,"open_cart_content(app, filter_type, filter_detail_slot)",0.8638613876357816,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8631168758713113,"open_goods_page(app, search_info_slot, page_type)",0.862841094190048
