query,ground_truth,pred_tool_1,pred_tool_2,pred_tool_3,pred_tool_4,pred_tool_5,pred_tool_6,pred_tool_7,pred_tool_8,pred_tool_9,pred_tool_10,pred_score_1,pred_score_2,pred_score_3,pred_score_4,pred_score_5,pred_score_6,pred_score_7,pred_score_8,pred_score_9,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,open_goods_page(...),rate_order(...),order_to_purchase_goods(...),add_into_cart(...),open_special_page(...),open_stores_page(...),add_into_favorite_stores(...),open_goods_page(...),search_cart_content(...),open_favorite_stores(...),search_in_favorite_stores(...),0.8539388537919547,0.8245731581021521,0.7910637028053574,0.7419754884359322,0.6836637018061444,0.6574976418878821,0.6484302990164609,0.6252073235727311,0.5715250084258449,0.5699938702357915
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,open_goods_page(...),open_goods_page(...),rate_order(...),open_special_page(...),order_to_purchase_goods(...),add_into_cart(...),search_in_favorite_stores(...),search_in_favorite_goods(...),open_favorite_goods(...),open_favorite_stores(...),open_stores_page(...),0.8754850105717537,0.7786736603239414,0.6205855961515064,0.5773009788033544,0.5515309173266938,0.519790796769342,0.5166971357871772,0.49926459624277086,0.49626073753551414,0.49476338718618823
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,open_goods_page(...),order_to_purchase_goods(...),add_into_cart(...),rate_order(...),open_goods_page(...),search_delivery_time(...),open_logistics_receive(...),open_cart_content(...),open_logistics_send(...),add_into_favorite_stores(...),search_cart_content(...),0.8882924160853553,0.8615065429404514,0.8255276300022881,0.6709721351430933,0.6641735329392111,0.6508774318560108,0.629147945700992,0.5847497681338147,0.5775932227500993,0.5673354245732142
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,open_goods_page(...),open_goods_page(...),order_to_purchase_goods(...),add_into_cart(...),rate_order(...),open_special_page(...),add_into_favorite_goods(...),search_cart_content(...),search_goods(...),add_into_favorite_stores(...),search_delivery_time(...),0.8600335560029487,0.791274279053159,0.7440847328494005,0.618449899212494,0.5481576598829742,0.535914346118971,0.5060921949836578,0.489604276109341,0.4391617696374142,0.43430224466910117
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,open_goods_page(...),open_goods_page(...),rate_order(...),open_special_page(...),add_into_cart(...),order_to_purchase_goods(...),add_into_favorite_stores(...),add_into_favorite_goods(...),open_stores_page(...),search_delivery_time(...),open_favorite_stores(...),0.8689663754575614,0.8400093887733843,0.7626456965885848,0.7013144205980083,0.6731669175403912,0.593425061539525,0.591194528016639,0.5836859281331911,0.5766014274783994,0.5577559465204569
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,search_delivery_time(...),search_delivery_time(...),rate_order(...),open_orders_all_review(...),manage_order_logistics_status(...),call_order_courier(...),open_order_tracking_number(...),order_to_purchase_goods(...),open_express_delivery(...),open_logistics_receive(...),open_orders_bought(...),0.8223292929684168,0.6193784791252115,0.49285178617046715,0.4920831146078602,0.48516234151278087,0.46900516989682084,0.462641538945838,0.46032420627612836,0.4556765754674848,0.44804534979223465
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,add_into_cart(...),add_into_cart(...),search_cart_content(...),open_cart_content(...),order_to_purchase_goods(...),rate_order(...),add_into_favorite_goods(...),add_into_favorite_stores(...),search_in_favorite_goods(...),search_in_favorite_stores(...),open_favorite_goods(...),0.8943759467703642,0.7811201669989095,0.7489164752325079,0.6909772899539208,0.6864882976700721,0.6742175750090651,0.5893193610194052,0.5726174772609124,0.5574024403095017,0.5496611560363753
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,add_into_cart(...),add_into_cart(...),search_cart_content(...),order_to_purchase_goods(...),open_cart_content(...),rate_order(...),add_into_favorite_goods(...),add_into_favorite_stores(...),search_in_favorite_goods(...),search_in_favorite_stores(...),open_favorite_goods(...),0.8943759467703642,0.7446807894642593,0.7147827314070565,0.6934913925665601,0.673790566928308,0.6620023984756044,0.5618057024981207,0.5546069551124705,0.5127799000423946,0.48800183106030404
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,add_into_cart(...),add_into_cart(...),add_into_favorite_goods(...),open_cart_content(...),order_to_purchase_goods(...),rate_order(...),search_cart_content(...),add_into_favorite_stores(...),open_favorite_goods(...),search_in_favorite_stores(...),open_favorite_stores(...),0.8943759467703642,0.7097136007970754,0.6940624601412164,0.6862407843587438,0.6615295503960559,0.6542666926358689,0.6447015030434249,0.5332511901676874,0.5279562503042542,0.49538575750027447
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,add_into_cart(...),add_into_cart(...),rate_order(...),order_to_purchase_goods(...),search_cart_content(...),search_in_favorite_stores(...),open_cart_content(...),add_into_favorite_stores(...),open_favorite_goods(...),add_into_favorite_goods(...),open_favorite_stores(...),0.8815407425731444,0.746926291277999,0.7088833761563628,0.6328720222388118,0.6322689674063083,0.6183791887396917,0.6117484622810103,0.6116756682446398,0.6076676742891761,0.6073916091850655
