query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9805590768712138,"add_into_favorite_goods(app, search_info_slot)",0.9664939091938414,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9480939767612875,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9441614186304469,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9382936971167197,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9283801070538316,"search_in_favorite_stores(app, search_info_slot)",0.9168401824842993,"open_logistics_receive(app, filter_type)",0.8844750946058447,"open_goods_page(app, search_info_slot, page_type)",0.8830881483177129,"open_cart_content(app, filter_type, filter_detail_slot)",0.882688646513921
在抖音的商城中快速找到“智能手表”,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9959333386671521,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9497719579761742,"add_into_favorite_goods(app, search_info_slot)",0.9495165473535794,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9398593397785647,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9290528288019998,"search_in_favorite_stores(app, search_info_slot)",0.9189560560649238,"open_goods_page(app, search_info_slot, page_type)",0.9063440823554992,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8929280854347214,"open_logistics_receive(app, filter_type)",0.8795647707701144,"search_cart_content(app, search_info_slot)",0.8741110529907168
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",open_camera_search(app),1.0000000262260438,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9449083219001906,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9326617882342593,"search_in_favorite_stores(app, search_info_slot)",0.9326507504691022,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8912833703072996,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8792662582920153,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8687082941789172,"add_into_favorite_goods(app, search_info_slot)",0.8661563202957253,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8514198190420406,"search_order(app, search_info_slot, order_status)",0.8383375043167376
在抖音上搜索一下商城店铺，关键词是户外露营装备。,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9756302845253673,"search_in_favorite_stores(app, search_info_slot)",0.9348011020479036,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9337004685401916,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9185274806797095,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8764227392728209,"add_into_favorite_goods(app, search_info_slot)",0.8687885640004273,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.860763467520141,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8317301297557425,"open_goods_page(app, search_info_slot, page_type)",0.8238541695272598,"search_cart_content(app, search_info_slot)",0.7881412629137596
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9488566572453322,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8273671986324443,"search_in_favorite_stores(app, search_info_slot)",0.8209055756891158,"add_into_favorite_goods(app, search_info_slot)",0.8118443193869257,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7974568538882921,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7911951185079253,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7911190328115726,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.783093784537351,"search_order(app, search_info_slot, order_status)",0.7636558051132013
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9515727216984572,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8402273588397692,"search_in_favorite_stores(app, search_info_slot)",0.8364711498582748,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7989145160527862,"add_into_favorite_goods(app, search_info_slot)",0.7918871345953608,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7917098523838176,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7841239316130041,"search_order(app, search_info_slot, order_status)",0.7777674431823541,"open_goods_page(app, search_info_slot, page_type)",0.7734284815830198
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9375900000620699,"search_in_favorite_stores(app, search_info_slot)",0.8351288416468733,"add_into_favorite_goods(app, search_info_slot)",0.8188862523736288,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8141418527473773,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7980005951415369,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7710047913861219,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7654523145766396,"open_goods_page(app, search_info_slot, page_type)",0.7628610483860077,open_search_history(app),0.749289448765721
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",1.0000000262260438,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9844787613248625,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8074877911182183,"add_into_favorite_goods(app, search_info_slot)",0.8001119156559912,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7990815108768881,"open_goods_page(app, search_info_slot, page_type)",0.7840303937008734,"search_in_favorite_stores(app, search_info_slot)",0.7794922256091107,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.054505903233239845,"open_orders_bought(app, order_status, filter_detail_slot)",0.03359573577899504,"open_logistics_receive(app, filter_type)",0.03347858040727808
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9364364006016495,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8555568763686442,"search_in_favorite_stores(app, search_info_slot)",0.8405404771627117,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.833126554005017,"add_into_favorite_goods(app, search_info_slot)",0.8110456481985143,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7921325992238052,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.784867143122801,"search_order(app, search_info_slot, order_status)",0.7795789315394324,open_camera_search(app),0.7751235566348621
在抖音上搜一下人气最高的瑜伽装备店铺。,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",1.0000000262260438,"search_in_favorite_stores(app, search_info_slot)",0.8994747111256837,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8948740461249395,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8632968684989792,"add_into_favorite_goods(app, search_info_slot)",0.8506636002753929,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8388700180784321,"search_order(app, search_info_slot, order_status)",0.824058433827569,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8198273833883115,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8138578541362207,"open_goods_page(app, search_info_slot, page_type)",0.8089314005018698
