query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10,标注结果（n=1）,标注结果（n=3）,标注结果（n=5）
给我在抖音中搜索篮球,在$抖音$中搜索篮球,search_goods,"search_cart_content(app, search_info_slot)",0.996311064,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.993569899,"search_in_favorite_stores(app, search_info_slot)",0.975932795,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.969328674,"search_order(app, search_info_slot, order_status)",0.968248162,"sign_in(app, page_type)",0.893851591,"open_cart_content(app, filter_type, filter_detail_slot)",0.882299257,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.841174412,"open_customer_service(app, order_slot, store_slot)",0.788387492,open_camera_search(app),0.752298376,0,1,1
我想在抖音中看一下篮球商品,在$抖音$中查看篮球商品,search_goods,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.975890162,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.954988142,"open_cart_content(app, filter_type, filter_detail_slot)",0.94985872,"search_cart_content(app, search_info_slot)",0.939303282,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.903505576,"search_in_favorite_stores(app, search_info_slot)",0.879398339,"search_order(app, search_info_slot, order_status)",0.839939645,"sign_in(app, page_type)",0.75775386,"open_orders_bought(app, order_status, filter_detail_slot)",0.739436172,open_search_history(app),0.734109315,0,1,1
请搜索一下篮球，在抖音中,在$抖音$中搜索篮球,search_goods,"search_cart_content(app, search_info_slot)",0.996311064,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.993569899,"search_in_favorite_stores(app, search_info_slot)",0.975932795,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.969328674,"search_order(app, search_info_slot, order_status)",0.968248162,"sign_in(app, page_type)",0.893851591,"open_cart_content(app, filter_type, filter_detail_slot)",0.882299257,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.841174412,"open_customer_service(app, order_slot, store_slot)",0.788387492,open_camera_search(app),0.752298376,0,1,1
我想要在抖音中搜索手机店,在$抖音$中搜索手机店,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.993569899,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.985891374,"search_cart_content(app, search_info_slot)",0.979541774,"search_in_favorite_stores(app, search_info_slot)",0.977373379,"search_order(app, search_info_slot, order_status)",0.930500243,"open_cart_content(app, filter_type, filter_detail_slot)",0.84505458,"open_customer_service(app, order_slot, store_slot)",0.801433578,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.795366216,"open_favorite_stores(app, filter_type)",0.780359872,"sign_in(app, page_type)",0.778534366,0,1,1
帮我在抖音上查找一下手机店,在$抖音$中查找商城中的手机店,search_stores,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.980384464,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.970038416,"search_cart_content(app, search_info_slot)",0.939416537,"search_in_favorite_stores(app, search_info_slot)",0.901251738,"search_order(app, search_info_slot, order_status)",0.861684459,"open_cart_content(app, filter_type, filter_detail_slot)",0.855940052,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.829839682,"open_customer_service(app, order_slot, store_slot)",0.79031314,"open_favorite_stores(app, filter_type)",0.754229152,"sign_in(app, page_type)",0.751097553,1,1,1
请搜索一下手机店，在抖音,在$抖音$中搜索手机店,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.993569899,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.985891374,"search_cart_content(app, search_info_slot)",0.979541774,"search_in_favorite_stores(app, search_info_slot)",0.977373379,"search_order(app, search_info_slot, order_status)",0.930500243,"open_cart_content(app, filter_type, filter_detail_slot)",0.84505458,"open_customer_service(app, order_slot, store_slot)",0.801433578,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.795366216,"open_favorite_stores(app, filter_type)",0.780359872,"sign_in(app, page_type)",0.778534366,0,1,1
请帮我在抖音商城搜索水果店，按综合排序,在$抖音$中的商城搜索水果店并按综合排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.979148457,"search_cart_content(app, search_info_slot)",0.900827215,"search_in_favorite_stores(app, search_info_slot)",0.88848536,"search_order(app, search_info_slot, order_status)",0.847718592,"open_cart_content(app, filter_type, filter_detail_slot)",0.825301153,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.81560823,"sign_in(app, page_type)",0.750913523,"open_customer_service(app, order_slot, store_slot)",0.689212483,open_search_history(app),0.032058902,0,1,1
快点儿去抖音商城按综合排序搜索水果店,在$抖音$中的商城搜索水果店并按综合排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.979148457,"search_cart_content(app, search_info_slot)",0.900827215,"search_in_favorite_stores(app, search_info_slot)",0.88848536,"search_order(app, search_info_slot, order_status)",0.847718592,"open_cart_content(app, filter_type, filter_detail_slot)",0.825301153,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.81560823,"sign_in(app, page_type)",0.750913523,"open_customer_service(app, order_slot, store_slot)",0.689212483,open_search_history(app),0.032058902,0,1,1
请按综合排序的条件在抖音商城中搜索水果店,在$抖音商城$中搜索水果店按综合排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.970763943,"search_cart_content(app, search_info_slot)",0.880863699,"search_in_favorite_stores(app, search_info_slot)",0.857921999,"search_order(app, search_info_slot, order_status)",0.824738257,"open_cart_content(app, filter_type, filter_detail_slot)",0.801114022,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.793835981,"sign_in(app, page_type)",0.716957702,open_search_history(app),0.032739305,delete_search_history(app),0.031884854,0,1,1
请按销量排序搜索抖音商城中的花店,在$抖音$中的商城中搜索花店按销量排序,search_stores,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.999999995,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.971232636,"search_in_favorite_stores(app, search_info_slot)",0.901951586,"search_cart_content(app, search_info_slot)",0.896142221,"search_order(app, search_info_slot, order_status)",0.848413262,"open_cart_content(app, filter_type, filter_detail_slot)",0.825215035,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.819106647,"sign_in(app, page_type)",0.713531276,"open_favorite_stores(app, filter_type)",0.710462531,"open_customer_service(app, order_slot, store_slot)",0.6878082,0,1,1
