query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999785423279,"open_logistics_receive(app, filter_type)",0.9334223238309237,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8821452273000643,"call_order_courier(app, search_info_slot)",0.8762800103802948,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8617550433554153,"open_order_tracking_number(app, search_info_slot)",0.8468687324464291,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8327775248608984,"open_customer_service(app, order_slot, store_slot)",0.8094740579152875,"add_into_favorite_stores(app, search_info_slot)",0.802979350238112,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8004065499485826
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9941595236116294,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9799542212486267,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8955909535228195,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8947883009510106,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8909112770062131,"add_into_favorite_stores(app, search_info_slot)",0.8725252374484904,"search_cart_content(app, search_info_slot)",0.8652319370343353,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.858079885232717,"add_into_favorite_goods(app, search_info_slot)",0.8488915405408421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.847720736185325
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9942748928070069,"open_goods_page(app, search_info_slot, page_type)",0.9366960229017244,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9137493569099366,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8451570345282495,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8326227287862088,"add_into_favorite_goods(app, search_info_slot)",0.8194191324852617,"add_into_favorite_stores(app, search_info_slot)",0.8189521882617855,"search_cart_content(app, search_info_slot)",0.8116951936816201,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.799567977293933,open_camera_search(app),0.7973499531582714
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9948857328606215,"open_goods_page(app, search_info_slot, page_type)",0.9789108419418335,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8888968681523832,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8856345818434729,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.879833315490669,"search_cart_content(app, search_info_slot)",0.8775994609688957,"add_into_favorite_goods(app, search_info_slot)",0.8678450643198278,"add_into_favorite_stores(app, search_info_slot)",0.8531607029412763,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8523911709495819,open_camera_search(app),0.8428353682534491
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9787282939260806,"open_goods_page(app, search_info_slot, page_type)",0.9676378154754639,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8971153713245958,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8944864319427116,"search_cart_content(app, search_info_slot)",0.8853113334714651,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8637739602087583,"add_into_favorite_goods(app, search_info_slot)",0.8633911305383497,"add_into_favorite_stores(app, search_info_slot)",0.8617152184356767,open_camera_search(app),0.8516084287355109,"open_special_page(app, page_type)",0.8289310871821916
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999785423279,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9094730062250598,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9083165652878931,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8680565588989111,"add_into_favorite_stores(app, search_info_slot)",0.8677222554888504,"open_logistics_receive(app, filter_type)",0.8648172241159708,"manage_order_logistics_status(app, search_info_slot, action_type)",0.864670563276916,"open_customer_service(app, order_slot, store_slot)",0.8614797875735947,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8583355217180124,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8342475903147859
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999785423279,"open_goods_page(app, search_info_slot, page_type)",0.9528124847087431,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9028475826689902,"open_cart_content(app, filter_type, filter_detail_slot)",0.899728766419637,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8883592601383611,"add_into_favorite_stores(app, search_info_slot)",0.8755376663177322,"search_cart_content(app, search_info_slot)",0.8636989806407405,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8568627352523605,"open_customer_service(app, order_slot, store_slot)",0.8430181306561638,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8367582032013168
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.99343017578125,"open_goods_page(app, search_info_slot, page_type)",0.9127794978560128,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.895673515728073,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8465892296225819,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8191158445468213,"add_into_favorite_stores(app, search_info_slot)",0.8170846526496032,"open_cart_content(app, filter_type, filter_detail_slot)",0.8125029518439438,"search_cart_content(app, search_info_slot)",0.7937724652563803,"open_customer_service(app, order_slot, store_slot)",0.7927559368271577,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7849419949121667
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999785423279,"open_goods_page(app, search_info_slot, page_type)",0.9517253770655529,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8973457759329978,"open_cart_content(app, filter_type, filter_detail_slot)",0.8821175012371418,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8789061654668688,"add_into_favorite_stores(app, search_info_slot)",0.8778716053932022,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8644169087219039,"search_cart_content(app, search_info_slot)",0.8577031706088496,"open_customer_service(app, order_slot, store_slot)",0.8417887848576714,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8397601911354293
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999785423279,"open_goods_page(app, search_info_slot, page_type)",0.9387053816090576,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8897758343955934,"open_cart_content(app, filter_type, filter_detail_slot)",0.8850602376225017,"add_into_favorite_stores(app, search_info_slot)",0.8779466025057686,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8747341078128845,"search_cart_content(app, search_info_slot)",0.8590615044313615,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8548363106601023,"add_into_favorite_goods(app, search_info_slot)",0.8388801873417471,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8369170304886944
