原始query,extInput,query1,query2,query3,车列表,sysSessionId,模型1返回结果,模型2返回结果,模型2正确结果,备注,标注人,,,,,,,,
"打特价车和舒适车去深圳北
打特价车和舒适车去深圳北","{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '14.1-22.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '15.5-19.6'}, {'index': '2', 'category': '经济型', 'carModel': 'T3出行', 'price': '16'}, {'index': '3', 'category': '经济型', 'carModel': '曹操出行', 'price': '16'}, {'index': '4', 'category': '经济型', 'carModel': '如祺出行', 'price': '17'}, {'index': '5', 'category': '经济型', 'carModel': '享道出行', 'price': '17'}, {'index': '6', 'category': '经济型', 'carModel': '神州专车', 'price': '18'}, {'index': '7', 'category': '经济型', 'carModel': '900出行', 'price': '18'}, {'index': '8', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '18'}, {'index': '9', 'category': '经济型', 'carModel': '及时用车', 'price': '19'}, {'index': '10', 'category': '经济型', 'carModel': '东潮出行', 'price': '19'}, {'index': '11', 'category': '经济型', 'carModel': '中交出行', 'price': '19'}, {'index': '12', 'category': '经济型', 'carModel': '5U出行', 'price': '21'}, {'index': '13', 'category': '经济型', 'carModel': '全民GO', 'price': '21'}, {'index': '14', 'category': '经济型', 'carModel': '妥妥E行', 'price': '21'}, {'index': '15', 'category': '经济型', 'carModel': '中军出行', 'price': '21'}, {'index': '16', 'category': '经济型', 'carModel': '斑马快跑', 'price': '22'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '23'}, {'index': '18', 'category': '经济型', 'carModel': '聚的新出租', 'price': '31'}, {'index': '19', 'category': '经济型', 'carModel': '深圳出租', 'price': '31'}, {'index': '20', 'category': '特快车', 'carModel': 'undefined', 'price': '26'}, {'index': '21', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '22', 'category': '惠享专车', 'carModel': 'undefined', 'price': '24-28'}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '16'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '20'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '22'}, {'index': '26', 'category': '优享型', 'carModel': '东潮出行', 'price': '22'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '22'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '23'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '23'}, {'index': '30', 'category': '优享型', 'carModel': '妥妥E行', 'price': '23'}, {'index': '31', 'category': '优享型', 'carModel': '及时用车', 'price': '23'}, {'index': '32', 'category': '优享型', 'carModel': 'T3出行', 'price': '24'}, {'index': '33', 'category': '优享型', 'carModel': '阳光出行', 'price': '24'}, {'index': '34', 'category': '优享型', 'carModel': '首汽约车', 'price': '25'}, {'index': '35', 'category': '优享型', 'carModel': '斑马快跑', 'price': '26'}, {'index': '36', 'category': '轻享专车', 'carModel': 'undefined', 'price': '25-35'}, {'index': '37', 'category': '六座商务', 'carModel': 'undefined', 'price': '46-57'}, {'index': '38', 'category': '豪华型', 'carModel': 'undefined', 'price': '52-59'}]}","打特价车和舒适车去深圳北
",打特价车和舒适车去深圳北,,高德车列表,sessionId20250626lhx0182,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}",['1'],"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",,王笑,,,,,,,,
"打50块钱以内的车去深圳北
打50块钱以内的车去深圳北","{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '拼车', 'carModel': '极速拼车', 'price': '11.1-13.1'}, {'index': '1', 'category': '特价出发', 'carModel': '曹操出行', 'price': '9.3'}, {'index': '2', 'category': '特价出发', 'carModel': '如祺出行', 'price': '11.3'}, {'index': '3', 'category': '特价出发', 'carModel': '特惠快车', 'price': '12.2'}, {'index': '4', 'category': '特价出发', 'carModel': '花小猪外接版', 'price': '9.0'}, {'index': '5', 'category': '特价出发', 'carModel': '花小猪正价版', 'price': '10.2'}, {'index': '6', 'category': '快速出发', 'carModel': '滴滴快车', 'price': '13.1'}, {'index': '7', 'category': '快速出发', 'carModel': '宽敞好车', 'price': '15.3'}, {'index': '8', 'category': '快速出发', 'carModel': '滴滴特快', 'price': '14.3'}, {'index': '9', 'category': '快速出发', 'carModel': '出租车', 'price': '20.5'}, {'index': '10', 'category': '快速出发', 'carModel': '滴滴轻享', 'price': '21.0'}, {'index': '11', 'category': '舒适出发', 'carModel': '滴滴专车', 'price': '30.5'}, {'index': '12', 'category': '舒适出发', 'carModel': '滴滴豪华车', 'price': '76.6'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '45.6'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '157.3'}]}","打50块钱以内的车去深圳北
",打50块钱以内的车去深圳北,,滴滴车列表,sessionId20250626lhx0183,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']",,王笑,,,,,,,,
"打车去深圳北
打车去深圳北
打车到深圳北，选三十块钱以内的车型","{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '拼车', 'carModel': '极速拼车', 'price': '17.1-26.3'}, {'index': '1', 'category': '特价', 'carModel': '特惠快车', 'price': '17.0'}, {'index': '2', 'category': '特价', 'carModel': '曹操出行', 'price': '21.5'}, {'index': '3', 'category': '特价', 'carModel': '如祺出行', 'price': '26.4'}, {'index': '4', 'category': '快速', 'carModel': '滴滴快车', 'price': '28.6'}, {'index': '5', 'category': '快速', 'carModel': '宽敞好车', 'price': '30.8'}, {'index': '6', 'category': '快速', 'carModel': '滴滴特快', 'price': '30.9'}, {'index': '7', 'category': '快速', 'carModel': '出租车', 'price': '32.1'}, {'index': '8', 'category': '舒适', 'carModel': '滴滴专车', 'price': '36.7'}, {'index': '9', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '93.7'}, {'index': '10', 'category': '六座', 'carModel': '六座专车', 'price': '45.5'}, {'index': '11', 'category': '六座', 'carModel': '六座豪华车', 'price': '193.7'}]}","打车去深圳北

",打车去深圳北,打车到深圳北，选三十块钱以内的车型,滴滴车列表,sessionId20250626lhx0184,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4']","['0', '1', '2', '3', '4']",,王笑,,,,,,,,
"打车去深圳北
打车到深圳北，选三十块钱以内的车型
打车到深圳北，选三十块钱以内的车型","{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '拼车', 'carModel': '极速拼车', 'price': '17.9-27.4'}, {'index': '1', 'category': '特价', 'carModel': '特惠快车', 'price': '17.7'}, {'index': '2', 'category': '特价', 'carModel': '曹操出行', 'price': '21.5'}, {'index': '3', 'category': '特价', 'carModel': '如祺出行', 'price': '27.6'}, {'index': '4', 'category': '快速', 'carModel': '滴滴快车', 'price': '29.8'}, {'index': '5', 'category': '快速', 'carModel': '宽敞好车', 'price': '32.1'}, {'index': '6', 'category': '快速', 'carModel': '滴滴特快', 'price': '31.9'}, {'index': '7', 'category': '快速', 'carModel': '出租车', 'price': '33.1'}, {'index': '8', 'category': '舒适', 'carModel': '滴滴专车', 'price': '37.9'}, {'index': '9', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '94.2'}, {'index': '10', 'category': '六座', 'carModel': '六座专车', 'price': '46.8'}, {'index': '11', 'category': '六座', 'carModel': '六座豪华车', 'price': '216.1'}]}","打车去深圳北

",打车到深圳北，选三十块钱以内的车型,打车到深圳北，选三十块钱以内的车型,滴滴车列表,sessionId20250626lhx0185,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4']","['0', '1', '2', '3', '4']",,陆迎,,,,,,,,
"关闭抖音通知权限
好的。
打车去广州南站，选10元内的车型","{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': 'T3出行', 'price': '223'}, {'index': '1', 'category': '经济型', 'carModel': '斑马快跑', 'price': '252'}, {'index': '2', 'category': '经济型', 'carModel': '及时用车', 'price': '259'}, {'index': '3', 'category': '经济型', 'carModel': '东潮出行', 'price': '265'}, {'index': '4', 'category': '经济型', 'carModel': '阳光出行', 'price': '278'}, {'index': '5', 'category': '经济型', 'carModel': '全民GO', 'price': '279'}, {'index': '6', 'category': '经济型', 'carModel': '中交出行', 'price': '281'}, {'index': '7', 'category': '经济型', 'carModel': '如祺出行', 'price': '282'}, {'index': '8', 'category': '经济型', 'carModel': '享道出行', 'price': '284'}, {'index': '9', 'category': '经济型', 'carModel': '5U出行', 'price': '297'}, {'index': '10', 'category': '经济型', 'carModel': '中军出行', 'price': '346'}, {'index': '11', 'category': '经济型', 'carModel': '聚的新出租', 'price': '491'}, {'index': '12', 'category': '经济型', 'carModel': '深圳出租', 'price': '491'}, {'index': '13', 'category': '特快车', 'carModel': 'undefined', 'price': '432'}, {'index': '14', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '15', 'category': '惠享专车', 'carModel': 'undefined', 'price': '470-539'}, {'index': '16', 'category': '优享型', 'carModel': '阳光出行', 'price': '344'}, {'index': '17', 'category': '优享型', 'carModel': '中交出行', 'price': '344'}, {'index': '18', 'category': '优享型', 'carModel': '曹操出行', 'price': '352'}, {'index': '19', 'category': '优享型', 'carModel': '东潮出行', 'price': '353'}, {'index': '20', 'category': '优享型', 'carModel': '斑马快跑', 'price': '354'}, {'index': '21', 'category': '优享型', 'carModel': 'T3出行', 'price': '360'}, {'index': '22', 'category': '优享型', 'carModel': '全民GO', 'price': '372'}, {'index': '23', 'category': '优享型', 'carModel': '及时用车', 'price': '387'}, {'index': '24', 'category': '轻享专车', 'carModel': 'undefined', 'price': '432-491'}, {'index': '25', 'category': '六座商务', 'carModel': 'undefined', 'price': '744-819'}, {'index': '26', 'category': '豪华型', 'carModel': 'undefined', 'price': '750-879'}]}","关闭抖音通知权限
",好的。,打车去广州南站，选10元内的车型,高德车列表,sessionId20250626lhx0186,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,陆迎,,,,,,,,
"打车去深圳北
打车去深圳北20块钱以下","{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '轻享专车', 'price': '25-35'}, {'index': '1', 'category': '', 'carModel': '极速拼车', 'price': '11.7-20.0'}, {'index': '2', 'category': '', 'carModel': '特惠快车', 'price': '14-17.7'}, {'index': '3', 'category': '经济型', 'carModel': '曹操出行', 'price': '15'}, {'index': '4', 'category': '经济型', 'carModel': '神州专车', 'price': '15'}, {'index': '5', 'category': '经济型', 'carModel': 'T3出行', 'price': '16'}, {'index': '6', 'category': '经济型', 'carModel': '如祺出行', 'price': '17'}, {'index': '7', 'category': '经济型', 'carModel': '全民GO', 'price': '17'}, {'index': '8', 'category': '经济型', 'carModel': '5U出行', 'price': '17'}, {'index': '9', 'category': '经济型', 'carModel': '中军出行', 'price': '18'}, {'index': '10', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '18'}, {'index': '11', 'category': '经济型', 'carModel': '东潮出行', 'price': '18'}, {'index': '12', 'category': '经济型', 'carModel': '及时用车', 'price': '19'}, {'index': '13', 'category': '经济型', 'carModel': '中交出行', 'price': '19'}, {'index': '14', 'category': '经济型', 'carModel': '妥妥E行', 'price': '19'}, {'index': '15', 'category': '经济型', 'carModel': '享道出行', 'price': '20'}, {'index': '16', 'category': '经济型', 'carModel': '斑马快跑', 'price': '20'}, {'index': '17', 'category': '经济型', 'carModel': '阳光出行', 'price': '21'}, {'index': '18', 'category': '经济型', 'carModel': '首汽约车', 'price': '22'}, {'index': '19', 'category': '经济型', 'carModel': '聚的新出租', 'price': '29'}, {'index': '20', 'category': '经济型', 'carModel': '深圳出租', 'price': '29'}, {'index': '21', 'category': '特快车', 'carModel': 'undefined', 'price': '25'}, {'index': '22', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '18'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '19'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '20'}, {'index': '26', 'category': '优享型', 'carModel': '东潮出行', 'price': '20'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '21'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '21'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '21'}, {'index': '30', 'category': '优享型', 'carModel': '斑马快跑', 'price': '21'}, {'index': '31', 'category': '优享型', 'carModel': '妥妥E行', 'price': '22'}, {'index': '32', 'category': '优享型', 'carModel': '及时用车', 'price': '22'}, {'index': '33', 'category': '优享型', 'carModel': 'T3出行', 'price': '23'}, {'index': '34', 'category': '优享型', 'carModel': '首汽约车', 'price': '24'}, {'index': '35', 'category': '优享型', 'carModel': '阳光出行', 'price': '26'}, {'index': '36', 'category': '六座商务', 'carModel': 'undefined', 'price': '47-57'}, {'index': '37', 'category': '豪华型', 'carModel': 'undefined', 'price': '53-71'}]}","打车去深圳北
",打车去深圳北20块钱以下,,高德车列表,sessionId20250626lhx0187,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '23', '24', '25', '26']","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '23', '24', '25', '26']",,陆迎,,,,,,,,
"打车去福田CBD，选30元以内的车型
打车去福田CBD，选30元以内的车型","{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '经济型', 'carModel': '北京的士', 'price': '9879'}, {'index': '1', 'category': '经济型', 'carModel': '旗妙出行', 'price': '9894'}, {'index': '2', 'category': '经济型', 'carModel': '星徽出行', 'price': '10006'}, {'index': '3', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '10012'}, {'index': '4', 'category': '经济型', 'carModel': 'AA出行', 'price': '10062'}, {'index': '5', 'category': '经济型', 'carModel': '火箭出行', 'price': '10620'}, {'index': '6', 'category': '经济型', 'carModel': '首汽约车', 'price': '12698'}, {'index': '7', 'category': '特快车', 'carModel': 'undefined', 'price': '10518'}, {'index': '8', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '9', 'category': '优享型', 'carModel': '旗妙出行', 'price': '12909'}, {'index': '10', 'category': '优享型', 'carModel': '星徽出行', 'price': '12953'}, {'index': '11', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '12994'}, {'index': '12', 'category': '优享型', 'carModel': '首汽约车', 'price': '13027'}, {'index': '13', 'category': '优享型', 'carModel': '火箭出行', 'price': '13152'}, {'index': '14', 'category': '优享型', 'carModel': 'AA出行', 'price': '13436'}, {'index': '15', 'category': '优享型', 'carModel': '阳光出行', 'price': '15945'}, {'index': '16', 'category': '品质专车', 'carModel': 'undefined', 'price': '15352-16029'}, {'index': '17', 'category': '六座商务', 'carModel': 'undefined', 'price': '20512-26629'}, {'index': '18', 'category': '豪华型', 'carModel': 'undefined', 'price': '26136-31554'}]}","打车去福田CBD，选30元以内的车型
",打车去福田CBD，选30元以内的车型,,高德车列表,sessionId20250626lhx0188,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,杨丽丽,,,,,,,,
"打车去福田CBD，选30元以内的车型
打车去福田CBD，选30元以内的车型
打车去福田CBD，选30元以内的车型","{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '16.3-28.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '18.5-24.9'}, {'index': '2', 'category': '经济型', 'carModel': '东潮出行', 'price': '18'}, {'index': '3', 'category': '经济型', 'carModel': 'T3出行', 'price': '19'}, {'index': '4', 'category': '经济型', 'carModel': '曹操出行', 'price': '19'}, {'index': '5', 'category': '经济型', 'carModel': '5U出行', 'price': '20'}, {'index': '6', 'category': '经济型', 'carModel': '神州专车', 'price': '21'}, {'index': '7', 'category': '经济型', 'carModel': '妥妥E行', 'price': '22'}, {'index': '8', 'category': '经济型', 'carModel': '中交出行', 'price': '22'}, {'index': '9', 'category': '经济型', 'carModel': '全民GO', 'price': '22'}, {'index': '10', 'category': '经济型', 'carModel': '中军出行', 'price': '23'}, {'index': '11', 'category': '经济型', 'carModel': '如祺出行', 'price': '24'}, {'index': '12', 'category': '经济型', 'carModel': '享道出行', 'price': '24'}, {'index': '13', 'category': '经济型', 'carModel': '斑马快跑', 'price': '24'}, {'index': '14', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '24'}, {'index': '15', 'category': '经济型', 'carModel': '及时用车', 'price': '26'}, {'index': '16', 'category': '经济型', 'carModel': '首汽约车', 'price': '30'}, {'index': '17', 'category': '经济型', 'carModel': '聚的新出租', 'price': '33'}, {'index': '18', 'category': '经济型', 'carModel': '深圳出租', 'price': '33'}, {'index': '19', 'category': '经济型', 'carModel': '阳光出行', 'price': '35'}, {'index': '20', 'category': '特快车', 'carModel': 'undefined', 'price': '34'}, {'index': '21', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '22', 'category': '优享型', 'carModel': '享道出行', 'price': '26'}, {'index': '23', 'category': '优享型', 'carModel': '斑马快跑', 'price': '26'}, {'index': '24', 'category': '优享型', 'carModel': '神州专车', 'price': '27'}, {'index': '25', 'category': '优享型', 'carModel': '东潮出行', 'price': '27'}, {'index': '26', 'category': '优享型', 'carModel': '曹操出行', 'price': '28'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '28'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '28'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '30'}, {'index': '30', 'category': '优享型', 'carModel': '妥妥E行', 'price': '30'}, {'index': '31', 'category': '优享型', 'carModel': '及时用车', 'price': '31'}, {'index': '32', 'category': '优享型', 'carModel': '首汽约车', 'price': '33'}, {'index': '33', 'category': '优享型', 'carModel': 'T3出行', 'price': '34'}, {'index': '34', 'category': '优享型', 'carModel': '阳光出行', 'price': '36'}, {'index': '35', 'category': '轻享专车', 'carModel': 'undefined', 'price': '30'}, {'index': '36', 'category': '六座商务', 'carModel': 'undefined', 'price': '65-94'}, {'index': '37', 'category': '豪华型', 'carModel': 'undefined', 'price': '75-84'}]}","打车去福田CBD，选30元以内的车型

",打车去福田CBD，选30元以内的车型,打车去福田CBD，选30元以内的车型,高德车列表,sessionId20250626lhx0189,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '22', '23', '24', '25', '26', '27', '28', '29', '30', '35']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '22', '23', '24', '25', '26', '27', '28', '29', '30', '35']",,杨丽丽,,,,,,,,
"打开AI翻译
打开AI翻译
帮我打车去海底捞，要求费用不能高于50元","{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '拼车', 'carModel': '极速拼车', 'price': '9.5'}, {'index': '1', 'category': '特价出发', 'carModel': '花小猪外接版', 'price': '11.1'}, {'index': '2', 'category': '特价出发', 'carModel': '特惠快车', 'price': '12.8'}, {'index': '3', 'category': '快速出发', 'carModel': '滴滴快车', 'price': '13.0'}, {'index': '4', 'category': '快速出发', 'carModel': '宽敞好车', 'price': '15.3'}, {'index': '5', 'category': '快速出发', 'carModel': '出租车', 'price': '10.0'}, {'index': '6', 'category': '快速出发', 'carModel': '花小猪正价版', 'price': '12.5'}, {'index': '7', 'category': '快速出发', 'carModel': '滴滴轻享', 'price': '12.9'}, {'index': '8', 'category': '快速出发', 'carModel': '曹操出行', 'price': '14.0'}, {'index': '9', 'category': '快速出发', 'carModel': '如祺出行', 'price': '14.5'}, {'index': '10', 'category': '快速出发', 'carModel': '滴滴特快', 'price': '14.9'}, {'index': '11', 'category': '舒适出发', 'carModel': '滴滴专车', 'price': '15.1'}, {'index': '12', 'category': '舒适出发', 'carModel': '滴滴豪华车', 'price': '75.7'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '17.4'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '168.0'}]}","打开AI翻译

",打开AI翻译,帮我打车去海底捞，要求费用不能高于50元,滴滴车列表,sessionId20250626lhx0190,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']",,杨丽丽,,,,,,,,
"我要打车去长沙南站
预算30块钱帮我打车到长沙南站","{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '26.4'}, {'index': '1', 'category': '拼车', 'carModel': '极速拼车', 'price': '19.1-29.9'}, {'index': '2', 'category': '特价', 'carModel': '惊喜特价', 'price': '24.2'}, {'index': '3', 'category': '快速', 'carModel': '花小猪正价版', 'price': '24.6'}, {'index': '4', 'category': '快速', 'carModel': '曹操出行', 'price': '27.4'}, {'index': '5', 'category': '快速', 'carModel': '滴滴快车', 'price': '29.9'}, {'index': '6', 'category': '快速', 'carModel': '宽敞好车', 'price': '32.4'}, {'index': '7', 'category': '快速', 'carModel': '享道出行', 'price': '31.4'}, {'index': '8', 'category': '快速', 'carModel': '滴滴特快', 'price': '31.9'}, {'index': '9', 'category': '快速', 'carModel': '出租车', 'price': ''}, {'index': '10', 'category': '舒适', 'carModel': '滴滴专车', 'price': '50.2'}, {'index': '11', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '147.3'}, {'index': '12', 'category': '六座', 'carModel': '六座专车', 'price': '95.3'}]}","我要打车去长沙南站
",预算30块钱帮我打车到长沙南站,,滴滴车列表,sessionId20250626lhx0191,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5']","['0', '1', '2', '3', '4', '5']",,顾存虹,,,,,,,,
