query,ground_truth,pred_tool_1,pred_tool_2,pred_tool_3,pred_tool_4,pred_tool_5,pred_tool_6,pred_tool_7,pred_tool_8,pred_tool_9,pred_tool_10,pred_score_1,pred_score_2,pred_score_3,pred_score_4,pred_score_5,pred_score_6,pred_score_7,pred_score_8,pred_score_9,pred_score_10
给我在抖音中搜索篮球,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_cart_content(...),open_camera_search(...),open_search_history(...),delete_search_history(...),search_stores(...),open_goods_page(...),open_stores_page(...),open_customer_service(...),1.0,0.6239718358657687,0.2265938857931725,0.19544947006727958,0.19230343643895237,0.15246327954314828,0.11526125306716686,0.1077847826142523,0.07094888056603334,0.06132120364124518
我想在抖音中看一下篮球商品,search_goods(...),open_goods_page(...),open_cart_content(...),open_stores_page(...),search_order(...),search_cart_content(...),open_special_page(...),open_invoice_page(...),open_camera_search(...),call_order_courier(...),open_customer_service(...),1.0,0.4351580329274244,0.3438444204330704,0.27334172150963787,0.22059095846687746,0.2165613570502568,0.1924572254494657,0.14834870268768374,0.12583539612600467,0.0735830073850392
请搜索一下篮球，在抖音中,search_goods(...),search_goods(...),search_in_favorite_goods(...),open_search_history(...),search_stores(...),delete_search_history(...),search_cart_content(...),open_camera_search(...),open_customer_service(...),delete_favorite_goods(...),open_special_page(...),1.0,0.46024970041367114,0.18779521111789768,0.18328519182922964,0.1481597770074282,0.13766630981718167,0.11763466066936547,0.04609360627940641,0.04213757842635075,0.04022460298243981
我想要在抖音中搜索手机店,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),open_search_history(...),open_favorite_stores(...),search_goods(...),order_to_purchase_goods(...),delete_search_history(...),rate_order(...),1.0,0.4119944459898286,0.29958348271116836,0.20487960899661276,0.17075664015858655,0.1543833733180558,0.1387795236713239,0.09492503659547746,0.09413697436994355,0.09132284659088817
帮我在抖音上查找一下手机店,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_favorite_stores(...),open_stores_page(...),open_search_history(...),order_to_purchase_goods(...),open_orders_bought(...),rate_order(...),delete_search_history(...),1.0,0.3450766906393772,0.2759292115292268,0.18363511740163632,0.16172405271955786,0.14495243631962093,0.1084860263644087,0.09165152243130148,0.09019106717957516,0.08161654011568734
请搜索一下手机店，在抖音,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),search_goods(...),open_search_history(...),open_stores_page(...),open_favorite_stores(...),order_to_purchase_goods(...),delete_search_history(...),rate_order(...),1.0,0.31414458315643834,0.24310143564085068,0.1706167982782948,0.15758194105655307,0.15179561259603944,0.11803374464446198,0.10190169921307428,0.09877776948348128,0.09569326114347584
请帮我在抖音的商城搜索水果店，按综合排序,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),search_goods(...),open_search_history(...),order_to_purchase_goods(...),open_stores_page(...),rate_order(...),open_favorite_stores(...),delete_search_history(...),1.0,0.24865654648693125,0.2082856446719866,0.17730641661382054,0.14049059139573064,0.12332101809320055,0.11521083753322495,0.11096950767393611,0.10135388296103756,0.07767404677273218
快点儿去抖音的商城按综合排序搜索水果店,search_stores(...),search_stores(...),search_goods(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_search_history(...),open_stores_page(...),delete_search_history(...),order_to_purchase_goods(...),rate_order(...),open_favorite_stores(...),1.0,0.30739793215574546,0.23332521383039476,0.17883085672590318,0.16638605410056725,0.1200117867148831,0.11382023249395463,0.09348973691757564,0.0730588525658397,0.05309273928886974
请按综合排序的条件在抖音的商城中搜索水果店,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),search_goods(...),open_search_history(...),open_stores_page(...),open_favorite_stores(...),rate_order(...),order_to_purchase_goods(...),delete_search_history(...),1.0,0.26480526423361556,0.21639099463038014,0.18632631483283635,0.14045910450860524,0.1178122821475161,0.10790250025831193,0.10469595995121864,0.10315366178207826,0.07160140226293817
请按销量排序搜索抖音的商城中的花店,search_stores(...),search_stores(...),search_goods(...),search_in_favorite_stores(...),open_stores_page(...),add_into_favorite_stores(...),open_search_history(...),delete_search_history(...),order_to_purchase_goods(...),rate_order(...),open_favorite_stores(...),1.0,0.41922532747572316,0.24568670658345318,0.19205466571422636,0.1654942138972159,0.16020378839036983,0.10918933453229636,0.08375738121488567,0.06765255388048083,0.04557221313254932
