query,ground_truth,pred_tool_1,pred_tool_2,pred_tool_3,pred_tool_4,pred_tool_5,pred_tool_6,pred_tool_7,pred_tool_8,pred_tool_9,pred_tool_10,pred_score_1,pred_score_2,pred_score_3,pred_score_4,pred_score_5,pred_score_6,pred_score_7,pred_score_8,pred_score_9,pred_score_10
怎么在闲鱼二手查看我最近卖出的物品？,open_orders_sold(...),open_orders_sold(...),open_orders_release(...),open_orders_all_review(...),open_orders_bought(...),open_logistics_send(...),search_order(...),open_search_history(...),open_favorite_goods(...),delete_search_history(...),open_logistics_receive(...),1.0,0.8671983355746115,0.8576533367911959,0.7190661526476413,0.6601758953219541,0.542780333803178,0.5405198327597008,0.5236330056679515,0.5116553789222678,0.487401709005314
请帮我查看我在拼多多里最近的搜索记录。,open_search_history(...),open_search_history(...),delete_search_history(...),open_camera_search(...),search_goods(...),search_in_favorite_goods(...),open_favorite_goods(...),open_orders_bought(...),search_in_favorite_stores(...),search_order(...),search_cart_content(...),1.0,0.8062986511843812,0.623152436803665,0.6013098603130026,0.5872987457291928,0.5693435249007102,0.5641144148612123,0.5449540438759013,0.5128860550193935,0.5122691441988465
可以帮我打开转转里二手OPPO Find X5的评论吗,open_goods_page(...),open_goods_page(...),open_orders_bought(...),open_cart_content(...),open_favorite_goods(...),search_goods(...),open_special_page(...),open_orders_release(...),search_cart_content(...),open_stores_page(...),open_search_history(...),1.0,0.7076579938551273,0.6821790096260506,0.6263842394383823,0.5996922898371754,0.5867909871598367,0.5823589983001297,0.5817508786837378,0.5773342769691023,0.575544621042854
评价抖音的商城中的雅顿粉胶订单打个四星内容是“吸收很快”，再上传图片,rate_order(...),rate_order(...),manage_order_logistics_status(...),apply_after_sales(...),search_order(...),order_to_purchase_goods(...),open_orders_release(...),open_orders_bought(...),open_goods_page(...),sign_in(...),add_into_favorite_goods(...),1.0,0.5563532466580309,0.5135736456355577,0.43208291837368096,0.41878972905675393,0.383249530786801,0.37602917871435765,0.3678600450447557,0.3632252454994031,0.3526402835433947
拼多多里面有没有按评分排序的功能？我想看评分高的女装店铺,search_stores(...),search_stores(...),open_favorite_stores(...),search_goods(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_favorite_goods(...),open_stores_page(...),search_in_favorite_goods(...),open_cart_content(...),search_cart_content(...),1.0,0.9126330166787451,0.8783021400445856,0.8584704660265667,0.771629368766957,0.7643946885640406,0.7086227806679775,0.6883128354927599,0.6558677212859578,0.6373009590888497
悠悠呀，太累了啊，帮我筛选下京东中我已付款的订单,open_orders_bought(...),open_orders_bought(...),open_orders_all_review(...),open_orders_sold(...),search_order(...),open_orders_release(...),apply_after_sales(...),open_logistics_receive(...),open_invoice_page(...),manage_order_logistics_status(...),open_cart_content(...),1.0,0.858014165345344,0.7665866175600554,0.7278455049718627,0.6423791650432482,0.577036652638009,0.5412901509313564,0.5237838822519486,0.5042840834220819,0.4816229531109292
快告诉我拼多多怎么查待取件物流！,open_logistics_receive(...),open_logistics_receive(...),open_logistics_send(...),search_delivery_time(...),open_order_tracking_number(...),manage_order_logistics_status(...),open_express_delivery(...),open_orders_bought(...),search_order(...),search_cart_content(...),call_order_courier(...),1.0,0.7529412546483687,0.6892027059497458,0.675070517468412,0.6320902394037281,0.5233591521079577,0.5204431564339251,0.5053996815481417,0.42641196156286376,0.4252581285946843
我在快手极速版商城里面买的娇韵诗精华着急用，帮我催一下配送呗,manage_order_logistics_status(...),manage_order_logistics_status(...),search_delivery_time(...),open_logistics_receive(...),call_order_courier(...),order_to_purchase_goods(...),apply_after_sales(...),rate_order(...),open_logistics_send(...),add_into_cart(...),open_orders_bought(...),1.0,0.7906020164252494,0.7781704017911902,0.713722444482846,0.6917961883007819,0.6759353025155845,0.5922073975628919,0.5532017465696404,0.5292426401889679,0.5243201099480692
在抖音极速版的商城里怎么找不到我的订单呢？,open_orders_bought(...),open_orders_bought(...),search_order(...),open_orders_all_review(...),open_orders_sold(...),open_orders_release(...),open_logistics_receive(...),open_search_history(...),open_cart_content(...),search_cart_content(...),open_favorite_goods(...),1.0,0.8838439014519397,0.8453668151660327,0.7213506497340588,0.6630456459876187,0.6375570903514058,0.5944771028923318,0.5853320370071101,0.5339380737193026,0.5262619076138458
在天猫中把送至上海市浦东新区张江高科技园区博云路2号的3件XL码的太平鸟羽绒服加入购物车,add_into_cart(...),add_into_cart(...),order_to_purchase_goods(...),add_into_favorite_goods(...),open_cart_content(...),search_cart_content(...),add_into_favorite_stores(...),delete_favorite_goods(...),rate_order(...),open_goods_page(...),search_delivery_time(...),1.0,0.7924345556982408,0.7620640318670988,0.6612350694649601,0.6529676335443197,0.5658210008628429,0.49761814478059835,0.426836482921769,0.41487921570797864,0.41376931206167594
