车列表,taxiSkuList,query,sysSessionId,模型1返回结果,模型2返回结果,模型2正确结果,备注,标注人,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '14.0-21.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '16.6-19.5'}, {'index': '2', 'category': '经济型', 'carModel': '曹操出行', 'price': '15'}, {'index': '3', 'category': '经济型', 'carModel': 'T3出行', 'price': '15'}, {'index': '4', 'category': '经济型', 'carModel': '如祺出行', 'price': '17'}, {'index': '5', 'category': '经济型', 'carModel': '神州专车', 'price': '18'}, {'index': '6', 'category': '经济型', 'carModel': '900出行', 'price': '18'}, {'index': '7', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '18'}, {'index': '8', 'category': '经济型', 'carModel': '享道出行', 'price': '18'}, {'index': '9', 'category': '经济型', 'carModel': '及时用车', 'price': '18'}, {'index': '10', 'category': '经济型', 'carModel': '5U出行', 'price': '18'}, {'index': '11', 'category': '经济型', 'carModel': '东潮出行', 'price': '19'}, {'index': '12', 'category': '经济型', 'carModel': '妥妥E行', 'price': '19'}, {'index': '13', 'category': '经济型', 'carModel': '全民GO', 'price': '19'}, {'index': '14', 'category': '经济型', 'carModel': '中军出行', 'price': '20'}, {'index': '15', 'category': '经济型', 'carModel': '中交出行', 'price': '21'}, {'index': '16', 'category': '经济型', 'carModel': '斑马快跑', 'price': '21'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '22'}, {'index': '18', 'category': '经济型', 'carModel': '聚的新出租', 'price': '33'}, {'index': '19', 'category': '经济型', 'carModel': '深圳出租', 'price': '33'}, {'index': '20', 'category': '特快车', 'carModel': 'undefined', 'price': '26'}, {'index': '21', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '22', 'category': '惠享专车', 'carModel': 'undefined', 'price': '24-28'}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '17'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '20'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '22'}, {'index': '26', 'category': '优享型', 'carModel': '东潮出行', 'price': '22'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '22'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '22'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '23'}, {'index': '30', 'category': '优享型', 'carModel': '妥妥E行', 'price': '23'}, {'index': '31', 'category': '优享型', 'carModel': '及时用车', 'price': '23'}, {'index': '32', 'category': '优享型', 'carModel': 'T3出行', 'price': '24'}, {'index': '33', 'category': '优享型', 'carModel': '首汽约车', 'price': '25'}, {'index': '34', 'category': '优享型', 'carModel': '斑马快跑', 'price': '25'}, {'index': '35', 'category': '轻享专车', 'carModel': 'undefined', 'price': '26-34'}, {'index': '36', 'category': '六座商务', 'carModel': 'undefined', 'price': '46-56'}, {'index': '37', 'category': '豪华型', 'carModel': 'undefined', 'price': '52-58'}]}",打50块钱以内的车去深圳北,sessionId20250626lhx0001,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']",,王笑,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '远途极速拼', 'price': '39.7-89.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '42.5-57.1'}, {'index': '2', 'category': '经济型', 'carModel': 'T3出行', 'price': '44'}, {'index': '3', 'category': '经济型', 'carModel': '斑马快跑', 'price': '51'}, {'index': '4', 'category': '经济型', 'carModel': '5U出行', 'price': '52'}, {'index': '5', 'category': '经济型', 'carModel': '东潮出行', 'price': '52'}, {'index': '6', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '53'}, {'index': '7', 'category': '经济型', 'carModel': '900出行', 'price': '53'}, {'index': '8', 'category': '经济型', 'carModel': '如祺出行', 'price': '55'}, {'index': '9', 'category': '经济型', 'carModel': '妥妥E行', 'price': '55'}, {'index': '10', 'category': '经济型', 'carModel': '神州专车', 'price': '55'}, {'index': '11', 'category': '经济型', 'carModel': '曹操出行', 'price': '56'}, {'index': '12', 'category': '经济型', 'carModel': '及时用车', 'price': '56'}, {'index': '13', 'category': '经济型', 'carModel': '中交出行', 'price': '56'}, {'index': '14', 'category': '经济型', 'carModel': '全民GO', 'price': '58'}, {'index': '15', 'category': '经济型', 'carModel': '享道出行', 'price': '61'}, {'index': '16', 'category': '经济型', 'carModel': '阳光出行', 'price': '66'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '68'}, {'index': '18', 'category': '经济型', 'carModel': '聚的新出租', 'price': '110'}, {'index': '19', 'category': '经济型', 'carModel': '深圳出租', 'price': '110'}, {'index': '20', 'category': '特快车', 'carModel': 'undefined', 'price': '81'}, {'index': '21', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '22', 'category': '优享型', 'carModel': '享道出行', 'price': '58'}, {'index': '23', 'category': '优享型', 'carModel': '神州专车', 'price': '62'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '64'}, {'index': '25', 'category': '优享型', 'carModel': '东潮出行', 'price': '65'}, {'index': '26', 'category': '优享型', 'carModel': '中交出行', 'price': '65'}, {'index': '27', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '68'}, {'index': '28', 'category': '优享型', 'carModel': '全民GO', 'price': '70'}, {'index': '29', 'category': '优享型', 'carModel': '及时用车', 'price': '74'}, {'index': '30', 'category': '优享型', 'carModel': '阳光出行', 'price': '80'}, {'index': '31', 'category': '优享型', 'carModel': '首汽约车', 'price': '82'}, {'index': '32', 'category': '优享型', 'carModel': 'T3出行', 'price': '83'}, {'index': '33', 'category': '轻享专车', 'carModel': 'undefined', 'price': '82-107'}, {'index': '34', 'category': '六座商务', 'carModel': 'undefined', 'price': '161-192'}, {'index': '35', 'category': '豪华型', 'carModel': 'undefined', 'price': '178-184'}]}",打车去大梅沙，选3元以内的车型,sessionId20250626lhx0002,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,王笑,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '21.3-32.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '22.5-33.2'}, {'index': '2', 'category': '经济型', 'carModel': '神州专车', 'price': '23'}, {'index': '3', 'category': '经济型', 'carModel': 'T3出行', 'price': '25'}, {'index': '4', 'category': '经济型', 'carModel': '曹操出行', 'price': '26'}, {'index': '5', 'category': '经济型', 'carModel': '5U出行', 'price': '26'}, {'index': '6', 'category': '经济型', 'carModel': '中军出行', 'price': '27'}, {'index': '7', 'category': '经济型', 'carModel': '东潮出行', 'price': '27'}, {'index': '8', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '28'}, {'index': '9', 'category': '经济型', 'carModel': '斑马快跑', 'price': '28'}, {'index': '10', 'category': '经济型', 'carModel': '900出行', 'price': '29'}, {'index': '11', 'category': '经济型', 'carModel': '如祺出行', 'price': '29'}, {'index': '12', 'category': '经济型', 'carModel': '妥妥E行', 'price': '29'}, {'index': '13', 'category': '经济型', 'carModel': '中交出行', 'price': '30'}, {'index': '14', 'category': '经济型', 'carModel': '享道出行', 'price': '30'}, {'index': '15', 'category': '经济型', 'carModel': '全民GO', 'price': '31'}, {'index': '16', 'category': '经济型', 'carModel': '及时用车', 'price': '32'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '39'}, {'index': '18', 'category': '经济型', 'carModel': '阳光出行', 'price': '40'}, {'index': '19', 'category': '经济型', 'carModel': '聚的新出租', 'price': '52'}, {'index': '20', 'category': '经济型', 'carModel': '深圳出租', 'price': '52'}, {'index': '21', 'category': '特快车', 'carModel': 'undefined', 'price': '43'}, {'index': '22', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '31'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '34'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '35'}, {'index': '26', 'category': '优享型', 'carModel': '东潮出行', 'price': '35'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '35'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '37'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '37'}, {'index': '30', 'category': '优享型', 'carModel': '及时用车', 'price': '39'}, {'index': '31', 'category': '优享型', 'carModel': '首汽约车', 'price': '42'}, {'index': '32', 'category': '优享型', 'carModel': 'T3出行', 'price': '43'}, {'index': '33', 'category': '轻享专车', 'carModel': 'undefined', 'price': '43-59'}, {'index': '34', 'category': '六座商务', 'carModel': 'undefined', 'price': '83-94'}, {'index': '35', 'category': '豪华型', 'carModel': 'undefined', 'price': '91-98'}]}",打车去留仙洞，选所有价格车型,sessionId20250626lhx0003,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22','23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35']",index22价格为空,王笑,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '远途极速拼', 'price': '75.3-174.0'}, {'index': '1', 'category': '经济型', 'carModel': 'T3出行', 'price': '97'}, {'index': '2', 'category': '经济型', 'carModel': '东潮出行', 'price': '108'}, {'index': '3', 'category': '经济型', 'carModel': '斑马快跑', 'price': '114'}, {'index': '4', 'category': '经济型', 'carModel': '如祺出行', 'price': '114'}, {'index': '5', 'category': '经济型', 'carModel': '中交出行', 'price': '114'}, {'index': '6', 'category': '经济型', 'carModel': '曹操出行', 'price': '117'}, {'index': '7', 'category': '经济型', 'carModel': '全民GO', 'price': '118'}, {'index': '8', 'category': '经济型', 'carModel': '享道出行', 'price': '132'}, {'index': '9', 'category': '经济型', 'carModel': '5U出行', 'price': '162'}, {'index': '10', 'category': '经济型', 'carModel': '聚的新出租', 'price': '251'}, {'index': '11', 'category': '经济型', 'carModel': '深圳出租', 'price': '251'}, {'index': '12', 'category': '特快车', 'carModel': 'undefined', 'price': '191'}, {'index': '13', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '14', 'category': '优享型', 'carModel': '斑马快跑', 'price': '137'}, {'index': '15', 'category': '优享型', 'carModel': '中交出行', 'price': '148'}, {'index': '16', 'category': '优享型', 'carModel': '东潮出行', 'price': '151'}, {'index': '17', 'category': '优享型', 'carModel': '全民GO', 'price': '161'}, {'index': '18', 'category': '优享型', 'carModel': 'T3出行', 'price': '172'}, {'index': '19', 'category': '优享型', 'carModel': '首汽约车', 'price': '173'}, {'index': '20', 'category': '优享型', 'carModel': '阳光出行', 'price': '201'}, {'index': '21', 'category': '轻享专车', 'carModel': 'undefined', 'price': '192-266'}, {'index': '22', 'category': '六座商务', 'carModel': 'undefined', 'price': '368-394'}, {'index': '23', 'category': '豪华型', 'carModel': 'undefined', 'price': '399-445'}]}",打车去虎门站，车型选择豪华型车和斑马快跑,sessionId20250626lhx0004,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","['3', '14', '23']","['3', '14', '23']",,王笑,,,,,,,,,,,
高德车列表,"{'appName': '高德地图', 'taxiSkuList': [{'index': '0', 'category': '', 'carModel': '极速拼车', 'price': '14.2-23.0'}, {'index': '1', 'category': '', 'carModel': '特惠快车', 'price': '15.5-21.8'}, {'index': '2', 'category': '经济型', 'carModel': '神州专车', 'price': '12'}, {'index': '3', 'category': '经济型', 'carModel': '东潮出行', 'price': '14'}, {'index': '4', 'category': '经济型', 'carModel': '5U出行', 'price': '16'}, {'index': '5', 'category': '经济型', 'carModel': '曹操出行', 'price': '17'}, {'index': '6', 'category': '经济型', 'carModel': '如祺出行', 'price': '17'}, {'index': '7', 'category': '经济型', 'carModel': '中交出行', 'price': '18'}, {'index': '8', 'category': '经济型', 'carModel': '妥妥E行', 'price': '18'}, {'index': '9', 'category': '经济型', 'carModel': '飞嘀打车', 'price': '19'}, {'index': '10', 'category': '经济型', 'carModel': '900出行', 'price': '19'}, {'index': '11', 'category': '经济型', 'carModel': '享道出行', 'price': '19'}, {'index': '12', 'category': '经济型', 'carModel': '斑马快跑', 'price': '20'}, {'index': '13', 'category': '经济型', 'carModel': '及时用车', 'price': '21'}, {'index': '14', 'category': '经济型', 'carModel': '全民GO', 'price': '21'}, {'index': '15', 'category': '经济型', 'carModel': 'T3出行', 'price': '21'}, {'index': '16', 'category': '经济型', 'carModel': '中军出行', 'price': '21'}, {'index': '17', 'category': '经济型', 'carModel': '首汽约车', 'price': '23'}, {'index': '18', 'category': '经济型', 'carModel': '阳光出行', 'price': '26'}, {'index': '19', 'category': '经济型', 'carModel': '聚的新出租', 'price': '31'}, {'index': '20', 'category': '经济型', 'carModel': '深圳出租', 'price': '31'}, {'index': '21', 'category': '特快车', 'carModel': 'undefined', 'price': '26'}, {'index': '22', 'category': '出租车', 'carModel': 'undefined', 'price': ''}, {'index': '23', 'category': '优享型', 'carModel': '享道出行', 'price': '19'}, {'index': '24', 'category': '优享型', 'carModel': '曹操出行', 'price': '20'}, {'index': '25', 'category': '优享型', 'carModel': '神州专车', 'price': '22'}, {'index': '26', 'category': '优享型', 'carModel': '东潮出行', 'price': '22'}, {'index': '27', 'category': '优享型', 'carModel': '中交出行', 'price': '22'}, {'index': '28', 'category': '优享型', 'carModel': '飞嘀打车', 'price': '23'}, {'index': '29', 'category': '优享型', 'carModel': '全民GO', 'price': '23'}, {'index': '30', 'category': '优享型', 'carModel': '妥妥E行', 'price': '23'}, {'index': '31', 'category': '优享型', 'carModel': '及时用车', 'price': '23'}, {'index': '32', 'category': '优享型', 'carModel': '斑马快跑', 'price': '24'}, {'index': '33', 'category': '优享型', 'carModel': 'T3出行', 'price': '24'}, {'index': '34', 'category': '优享型', 'carModel': '首汽约车', 'price': '25'}, {'index': '35', 'category': '轻享专车', 'carModel': 'undefined', 'price': '26-33'}, {'index': '36', 'category': '六座商务', 'carModel': 'undefined', 'price': '47-58'}, {'index': '37', 'category': '豪华型', 'carModel': 'undefined', 'price': '52-59'}]}",打车去深圳北站，车型选择23元以内的阳光出行,sessionId20250626lhx0005,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,王笑,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '22.7'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '28.2'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '30.5'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '21.9'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '30.9'}, {'index': '5', 'category': '推荐', 'carModel': '滴滴专车', 'price': '45.8'}, {'index': '6', 'category': '推荐', 'carModel': '出租车', 'price': '45.8'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '24.4-28.2'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '17.7'}, {'index': '9', 'category': '快速', 'carModel': '曹操出行', 'price': '18.3'}, {'index': '10', 'category': '快速', 'carModel': '花小猪正价版', 'price': '20.4'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '32.6'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '115.4'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '65.5'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '238.8'}]}",打车去动物园，选80元以内的车型,sessionId20250626lhx0006,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13']",,王笑,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '41.7'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '60.3'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '63.6'}, {'index': '3', 'category': '推荐', 'carModel': '极速拼车', 'price': '42.7'}, {'index': '4', 'category': '推荐', 'carModel': '如祺出行', 'price': '48.1'}, {'index': '5', 'category': '推荐', 'carModel': '滴滴特快', 'price': '65.9'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '89.4'}, {'index': '7', 'category': '特价', 'carModel': '花小猪外接版', 'price': '36.1'}, {'index': '8', 'category': '快速', 'carModel': '曹操出行', 'price': '41.4'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '44.4'}, {'index': '10', 'category': '快速', 'carModel': '滴滴轻享', 'price': '70.6'}, {'index': '11', 'category': '快速', 'carModel': '出租车', 'price': '98.3'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '238.4'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '156.7'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '388.6'}]}",打车去大梅沙，选3元以内的车型,sessionId20250626lhx0007,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",[],[],,王笑,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '12.0'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '13.1'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '15.4'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '13.4'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '13.9'}, {'index': '5', 'category': '推荐', 'carModel': '出租车', 'price': '18.2'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '25.1'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '11.8-13.1'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '9.7'}, {'index': '9', 'category': '快速', 'carModel': '曹操出行', 'price': '9.3'}, {'index': '10', 'category': '快速', 'carModel': '花小猪正价版', 'price': '11.1'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '16.5'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '73.0'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '34.6'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '163.0'}]}",打车去福田站，选15-22元之间的车型,sessionId20250626lhx0008,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['2', '5', '11']","['2', '5', '11']",,王笑,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '8.9'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '9.0'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '11.3'}, {'index': '3', 'category': '推荐', 'carModel': '出租车', 'price': '7.0'}, {'index': '4', 'category': '推荐', 'carModel': '滴滴特快', 'price': '9.7'}, {'index': '5', 'category': '推荐', 'carModel': '如祺出行', 'price': '10.0'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '14.4'}, {'index': '7', 'category': '拼车', 'carModel': '极速拼车', 'price': '8.0-9.0'}, {'index': '8', 'category': '特价', 'carModel': '花小猪外接版', 'price': '7.4'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '8.0'}, {'index': '10', 'category': '快速', 'carModel': '曹操出行', 'price': '8.8'}, {'index': '11', 'category': '快速', 'carModel': '滴滴轻享', 'price': '11.8'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '71.3'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '17.4'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '163.0'}]}",打车去梅村，选30元以上的车型,sessionId20250626lhx0009,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}","['12', '14']","['12', '14']",,王笑,,,,,,,,,,,
滴滴车列表,"{'appName': '滴滴', 'taxiSkuList': [{'index': '0', 'category': '推荐', 'carModel': '特惠快车', 'price': '25.5'}, {'index': '1', 'category': '推荐', 'carModel': '滴滴快车', 'price': '33.0'}, {'index': '2', 'category': '推荐', 'carModel': '宽敞好车', 'price': '35.3'}, {'index': '3', 'category': '推荐', 'carModel': '如祺出行', 'price': '24.4'}, {'index': '4', 'category': '推荐', 'carModel': '极速拼车', 'price': '25.8-33.0'}, {'index': '5', 'category': '推荐', 'carModel': '滴滴特快', 'price': '35.9'}, {'index': '6', 'category': '推荐', 'carModel': '滴滴专车', 'price': '52.7'}, {'index': '7', 'category': '特价', 'carModel': '花小猪外接版', 'price': '20.9'}, {'index': '8', 'category': '快速', 'carModel': '曹操出行', 'price': '19.4'}, {'index': '9', 'category': '快速', 'carModel': '花小猪正价版', 'price': '24.4'}, {'index': '10', 'category': '快速', 'carModel': '滴滴轻享', 'price': '38.8'}, {'index': '11', 'category': '快速', 'carModel': '出租车', 'price': '51.2'}, {'index': '12', 'category': '舒适', 'carModel': '滴滴豪华车', 'price': '132.3'}, {'index': '13', 'category': '六座', 'carModel': '六座专车', 'price': '80.5'}, {'index': '14', 'category': '六座', 'carModel': '六座豪华车', 'price': '277.1'}]}",打车去阿里中心，选最贵的车型,sessionId20250626lhx0010,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': True}",['14'],['14'],,王笑,,,,,,,,,,,
