query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9724866650180249,"add_into_favorite_goods(app, search_info_slot)",0.9713123709012318,"open_goods_page(app, search_info_slot, page_type)",0.9693063569068909,"open_customer_service(app, order_slot, store_slot)",0.9581091017207641,"add_into_favorite_stores(app, search_info_slot)",0.956004672447362,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.953373569708263,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9488628154045884,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9205961010473095,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9198908863265992,"sign_in(app, page_type)",0.9029165157627196
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",1.0000000071525574,"open_goods_page(app, search_info_slot, page_type)",0.9405545259165982,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9285130426312622,"open_orders_bought(app, order_status, filter_detail_slot)",0.876755365077273,"open_customer_service(app, order_slot, store_slot)",0.8741322917276874,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8731390280072013,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8644535302608011,"open_order_tracking_number(app, search_info_slot)",0.8612443652932475,"add_into_favorite_stores(app, search_info_slot)",0.8547253723041391,"open_orders_release(app, order_status)",0.854328508197289
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9612028758899535,"open_goods_page(app, search_info_slot, page_type)",0.9105856180218895,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8885433917386343,"add_into_favorite_goods(app, search_info_slot)",0.7657893864600477,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7561723105950493,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7536279986311252,"add_into_favorite_stores(app, search_info_slot)",0.7463737250084521,"open_customer_service(app, order_slot, store_slot)",0.7452373645406772,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.07,"open_logistics_receive(app, filter_type)",0.025431478655579313
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9621433086734877,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8848361156142636,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8539540243148804,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8370982840871456,"open_orders_bought(app, order_status, filter_detail_slot)",0.8139922486112493,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8084565686181966,"open_customer_service(app, order_slot, store_slot)",0.8011146060972234,"add_into_favorite_goods(app, search_info_slot)",0.800968341365776,"open_logistics_receive(app, filter_type)",0.7971068176394079,"open_order_tracking_number(app, search_info_slot)",0.7912015399839807
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9935479113163087,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9452770986682307,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9400984411542591,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9286981748614654,"add_into_favorite_stores(app, search_info_slot)",0.92452482227476,"add_into_favorite_goods(app, search_info_slot)",0.9126692886020502,"search_in_favorite_stores(app, search_info_slot)",0.8917358761230031,"open_cart_content(app, filter_type, filter_detail_slot)",0.887863026594319,"open_customer_service(app, order_slot, store_slot)",0.8873336179101402,"search_in_favorite_goods(app, search_info_slot)",0.883915651734864
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9443075831926637,"open_logistics_receive(app, filter_type)",0.8300239202273295,"open_logistics_send(app, filter_type)",0.8128733195204678,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7875579306629404,"open_orders_bought(app, order_status, filter_detail_slot)",0.7844058603314867,"manage_order_logistics_status(app, search_info_slot, action_type)",0.7647323975333298,"call_order_courier(app, search_info_slot)",0.7497662577462697,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.07,"open_customer_service(app, order_slot, store_slot)",0.016042365958513743,"open_goods_page(app, search_info_slot, page_type)",0.015186208795455718
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9709677671210157,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9122678019776436,"search_cart_content(app, search_info_slot)",0.9095562350824191,"open_customer_service(app, order_slot, store_slot)",0.9058895445222291,"add_into_favorite_stores(app, search_info_slot)",0.9039384965870634,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9029992006932492,"open_goods_page(app, search_info_slot, page_type)",0.8973889087375185,"add_into_favorite_goods(app, search_info_slot)",0.8944089849906933,"open_cart_content(app, filter_type, filter_detail_slot)",0.8933739819928727,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8844760856114197
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9627650355116713,"open_cart_content(app, filter_type, filter_detail_slot)",0.9620553412839493,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9502797105088325,"search_cart_content(app, search_info_slot)",0.9378844750001742,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9182011269246335,"open_goods_page(app, search_info_slot, page_type)",0.9169619415935061,"add_into_favorite_goods(app, search_info_slot)",0.9137372215705883,"open_customer_service(app, order_slot, store_slot)",0.9110075569505128,"add_into_favorite_stores(app, search_info_slot)",0.9041990880940214,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8958292207203674
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9963884519156888,"search_cart_content(app, search_info_slot)",0.9462304941532996,"open_cart_content(app, filter_type, filter_detail_slot)",0.9449227795795171,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9159387096938213,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9101695515691393,"add_into_favorite_stores(app, search_info_slot)",0.8916449704456586,"add_into_favorite_goods(app, search_info_slot)",0.8685618060494598,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.07,"open_logistics_receive(app, filter_type)",0.05027496685892299,"search_order(app, search_info_slot, order_status)",0.042317745558436946
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9763073476520775,"search_cart_content(app, search_info_slot)",0.9398863326022726,"open_cart_content(app, filter_type, filter_detail_slot)",0.9253249366769827,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9158370566368104,"search_in_favorite_stores(app, search_info_slot)",0.9052839336833859,"add_into_favorite_stores(app, search_info_slot)",0.9035931103874917,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9016838955201489,"search_order(app, search_info_slot, order_status)",0.8969957571029348,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8944340653421228,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8894831556094895
