query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
给我在抖音中搜索篮球,在$抖音$中搜索篮球,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_cart_content(app, search_info_slot)",0.9954413372123013,"search_in_favorite_stores(app, search_info_slot)",0.9813124597628075,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9769696393692018,"search_order(app, search_info_slot, order_status)",0.967283786300438,open_camera_search(app),0.9351558207432831,open_search_history(app),0.9077742828126143,"sign_in(app, page_type)",0.8970802948981601,"open_customer_service(app, order_slot, store_slot)",0.89293457316648,"open_cart_content(app, filter_type, filter_detail_slot)",0.8863671875802039
我想在抖音中看一下篮球商品,在$抖音$中查看篮球商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9795678316665719,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9704635753836386,"search_cart_content(app, search_info_slot)",0.9594916637747409,"open_cart_content(app, filter_type, filter_detail_slot)",0.9550921082496643,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9255661826338323,open_camera_search(app),0.9070869229939217,"search_in_favorite_stores(app, search_info_slot)",0.9010620451424506,open_search_history(app),0.8944423142378992,"open_orders_bought(app, order_status, filter_detail_slot)",0.0870172847220065,"open_orders_sold(app, order_status, filter_detail_slot)",0.08617120833363193
请搜索一下篮球，在抖音中,在$抖音$中搜索篮球,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_cart_content(app, search_info_slot)",0.9954413372123013,"search_in_favorite_stores(app, search_info_slot)",0.9813124597628075,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9769696393692018,"search_order(app, search_info_slot, order_status)",0.967283786300438,open_camera_search(app),0.9351558207432831,open_search_history(app),0.9077742828126143,"sign_in(app, page_type)",0.8970802948981601,"open_customer_service(app, order_slot, store_slot)",0.89293457316648,"open_cart_content(app, filter_type, filter_detail_slot)",0.8863671875802039
我想要在抖音中搜索手机店,在$抖音$中搜索手机店,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9991155067169191,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9825635313987732,"search_in_favorite_stores(app, search_info_slot)",0.9765639365274864,"search_cart_content(app, search_info_slot)",0.9612598615729581,open_camera_search(app),0.9153933047215546,"search_order(app, search_info_slot, order_status)",0.9125558743512803,"open_customer_service(app, order_slot, store_slot)",0.8784865264822148,open_search_history(app),0.0991076959366988,delete_search_history(app),0.09894565024864974,"search_in_favorite_goods(app, search_info_slot)",0.08878355405999341
帮我在抖音上查找一下手机店,在$抖音$中查找商城中的手机店,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9922891731939216,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9841119622216717,"search_in_favorite_stores(app, search_info_slot)",0.9666509521428307,"search_cart_content(app, search_info_slot)",0.9596959299178838,open_camera_search(app),0.9371152818123633,"open_customer_service(app, order_slot, store_slot)",0.8900793639883219,"search_order(app, search_info_slot, order_status)",0.879208266826695,"open_logistics_receive(app, filter_type)",0.1,"open_orders_bought(app, order_status, filter_detail_slot)",0.09765140705621714,open_search_history(app),0.09323577278870043
请搜索一下手机店，在抖音,在$抖音$中搜索手机店,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9991155067169191,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9825635313987732,"search_in_favorite_stores(app, search_info_slot)",0.9765639365274864,"search_cart_content(app, search_info_slot)",0.9612598615729581,open_camera_search(app),0.9153933047215546,"search_order(app, search_info_slot, order_status)",0.9125558743512803,"open_customer_service(app, order_slot, store_slot)",0.8784865264822148,open_search_history(app),0.0991076959366988,delete_search_history(app),0.09894565024864974,"search_in_favorite_goods(app, search_info_slot)",0.08878355405999341
请帮我在抖音商城搜索水果店，按综合排序,在$抖音$中的商城搜索水果店并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9966527325885806,"search_in_favorite_stores(app, search_info_slot)",0.9140764425309592,"search_cart_content(app, search_info_slot)",0.909059687791713,open_search_history(app),0.8569604376883262,"search_order(app, search_info_slot, order_status)",0.854848832079644,"open_cart_content(app, filter_type, filter_detail_slot)",0.8326597876215144,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.04037664308572723,delete_search_history(app),0.03401423881702605,open_camera_search(app),0.03255958950640048
快点儿去抖音商城按综合排序搜索水果店,在$抖音$中的商城搜索水果店并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9966527325885806,"search_in_favorite_stores(app, search_info_slot)",0.9140764425309592,"search_cart_content(app, search_info_slot)",0.909059687791713,open_search_history(app),0.8569604376883262,"search_order(app, search_info_slot, order_status)",0.854848832079644,"open_cart_content(app, filter_type, filter_detail_slot)",0.8326597876215144,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.04037664308572723,delete_search_history(app),0.03401423881702605,open_camera_search(app),0.03255958950640048
请按综合排序的条件在抖音商城中搜索水果店,在$抖音商城$中搜索水果店按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.985574269128475,"search_cart_content(app, search_info_slot)",0.892643937167652,"search_in_favorite_stores(app, search_info_slot)",0.8897820873822294,open_search_history(app),0.8461491202088192,"search_order(app, search_info_slot, order_status)",0.8334703302186024,open_camera_search(app),0.8268629614138717,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.03964368003255396,delete_search_history(app),0.03431838947230131,"open_logistics_receive(app, filter_type)",0.024889976297483164
请按销量排序搜索抖音商城中的花店,在$抖音$中的商城中搜索花店按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9828814886243211,"search_in_favorite_stores(app, search_info_slot)",0.9125929943821868,"search_cart_content(app, search_info_slot)",0.9039050285438586,open_search_history(app),0.8617007605390318,"search_order(app, search_info_slot, order_status)",0.8548276643582254,open_camera_search(app),0.849250094674519,"open_cart_content(app, filter_type, filter_detail_slot)",0.8315988453768064,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.04490619129445553,delete_search_history(app),0.03843999384885246
