query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.9273255163381394,"call_order_courier(app, search_info_slot)",0.904103491715416,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8444692136107376,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8436635614473634,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8390833782699284,"open_orders_bought(app, order_status, filter_detail_slot)",0.8211233980129486,"open_order_tracking_number(app, search_info_slot)",0.8111383798755529,"search_order(app, search_info_slot, order_status)",0.8017128377774734,"open_logistics_send(app, filter_type)",0.07033257369753361
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9669756597505104,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9562743949890137,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9343673923466866,"open_customer_service(app, order_slot, store_slot)",0.9083051954522837,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8964530810141358,"add_into_favorite_stores(app, search_info_slot)",0.8934454086184902,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8929946902885925,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8886840395261256,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8699918280840939,"add_into_favorite_goods(app, search_info_slot)",0.8634082428682798
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"open_goods_page(app, search_info_slot, page_type)",0.9004988807862313,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8981195046412874,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8379739465458156,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8305570681456633,"add_into_favorite_stores(app, search_info_slot)",0.8242661687007407,"open_customer_service(app, order_slot, store_slot)",0.8226339721236838,"search_cart_content(app, search_info_slot)",0.8013945215372121,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7676217397966029,"open_order_tracking_number(app, search_info_slot)",0.07300964456478501
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"open_goods_page(app, search_info_slot, page_type)",0.9763358211755842,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8996479397349499,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8655654737449644,"open_customer_service(app, order_slot, store_slot)",0.8565146451134087,"add_into_favorite_stores(app, search_info_slot)",0.8408338423882024,"add_into_favorite_goods(app, search_info_slot)",0.8406872073702674,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8400759697264646,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8212966664316839,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8161885407353388
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"open_goods_page(app, search_info_slot, page_type)",0.9099080234715068,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8833481436404241,"open_customer_service(app, order_slot, store_slot)",0.872482743285409,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.866759813624879,"add_into_favorite_stores(app, search_info_slot)",0.8598522310408415,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8551488361207373,"search_cart_content(app, search_info_slot)",0.8515421995692682,"open_logistics_receive(app, filter_type)",0.8477351808449782,"search_delivery_time(app, search_info_slot, address_slot)",0.8466669208394548
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9118814170063649,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8526580269440779,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8355702115551903,"search_order(app, search_info_slot, order_status)",0.7957074106859789,"search_in_favorite_stores(app, search_info_slot)",0.7899510860693644,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7681210205800723,"add_into_favorite_stores(app, search_info_slot)",0.7679436977060793,"manage_order_logistics_status(app, search_info_slot, action_type)",0.7673170049459956,"open_customer_service(app, order_slot, store_slot)",0.7655120787084554
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9951062250137329,"open_goods_page(app, search_info_slot, page_type)",0.9695633463969007,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9482206730528489,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8966510753132937,"search_cart_content(app, search_info_slot)",0.894935403962334,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8910917918953537,"open_cart_content(app, filter_type, filter_detail_slot)",0.8895549203979969,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8840684641536032,"add_into_favorite_stores(app, search_info_slot)",0.8825803407861225,"open_orders_bought(app, order_status, filter_detail_slot)",0.8746739938811511
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9822858619689941,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9361461129818582,"open_goods_page(app, search_info_slot, page_type)",0.9288037577448219,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8420978257760688,"search_cart_content(app, search_info_slot)",0.8191403542508037,"add_into_favorite_stores(app, search_info_slot)",0.814318006310615,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8136239447360101,"open_customer_service(app, order_slot, store_slot)",0.8104077701980982,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8005655746915077,"open_logistics_receive(app, filter_type)",0.7894955173594582
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9973654794692993,"open_goods_page(app, search_info_slot, page_type)",0.9762064541879331,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9104612926938174,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8965220989976561,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8949482720169663,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8682531522315723,"add_into_favorite_stores(app, search_info_slot)",0.8530577429963581,"open_customer_service(app, order_slot, store_slot)",0.8512806312880965,"search_cart_content(app, search_info_slot)",0.8506970154239734,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8485709708207606
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_cart_content(app, search_info_slot)",0.9034922858487311,"open_goods_page(app, search_info_slot, page_type)",0.8882848485793247,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.877790588182252,"open_cart_content(app, filter_type, filter_detail_slot)",0.8656526821842294,"open_logistics_receive(app, filter_type)",0.8633173552412772,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8613397195162632,"add_into_favorite_goods(app, search_info_slot)",0.842905318648176,"search_order(app, search_info_slot, order_status)",0.8210095305941504,"open_orders_bought(app, order_status, filter_detail_slot)",0.8196872074488004
