query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.966298948570292,"open_goods_page(app, search_info_slot, page_type)",0.9553385305404662,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9447030264841154,"add_into_favorite_stores(app, search_info_slot)",0.9361684513347795,"add_into_favorite_goods(app, search_info_slot)",0.9349274343442,"open_customer_service(app, order_slot, store_slot)",0.9279998435840404,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9120488827572723,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9017838263198062,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8922586088913953,"open_logistics_receive(app, filter_type)",0.8688812256749922
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999928474426,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8752663005644729,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.855200666112981,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8458585749305684,"open_customer_service(app, order_slot, store_slot)",0.8413240534008257,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8313194420525739,"add_into_favorite_stores(app, search_info_slot)",0.8300078240444019,"open_order_tracking_number(app, search_info_slot)",0.8034331380210366,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8031013571704808,"add_into_favorite_goods(app, search_info_slot)",0.7934956598386966
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9811362552642822,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9596010145200965,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9038243072875051,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7697413606318371,"open_customer_service(app, order_slot, store_slot)",0.7398473823506447,"add_into_favorite_stores(app, search_info_slot)",0.7374644446262432,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.12622481919615347,"open_logistics_receive(app, filter_type)",0.0916931943265584,"open_orders_bought(app, order_status, filter_detail_slot)",0.09059208655134075,"open_special_page(app, page_type)",0.08906505756706036
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999928474426,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8293228628835053,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8026236028865936,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7843776020717823,"open_customer_service(app, order_slot, store_slot)",0.7788613289374149,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7771228965466894,"add_into_favorite_goods(app, search_info_slot)",0.7595494671260117,"open_orders_bought(app, order_status, filter_detail_slot)",0.757538345169455,"add_into_favorite_stores(app, search_info_slot)",0.7568862184787682,"open_order_tracking_number(app, search_info_slot)",0.744058419634888
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.994376413822174,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9087981910900238,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8997158291539521,"add_into_favorite_stores(app, search_info_slot)",0.895750556876748,"open_customer_service(app, order_slot, store_slot)",0.8698801845091617,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8676190631590057,"add_into_favorite_goods(app, search_info_slot)",0.8611575050746201,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8586594279950537,"search_in_favorite_stores(app, search_info_slot)",0.84901116158702,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8430827639144065
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999928474426,"open_logistics_receive(app, filter_type)",0.7777887325730347,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7525918099795779,"open_logistics_send(app, filter_type)",0.7329375294946117,"open_orders_bought(app, order_status, filter_detail_slot)",0.7246465777293366,"call_order_courier(app, search_info_slot)",0.707801579124052,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.699095959535183,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.6945131343663499,open_search_history(app),0.06889314082212732,"open_customer_service(app, order_slot, store_slot)",0.06791848448775979
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_cart_content(app, search_info_slot)",0.8517350876885867,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8474138459102961,"open_cart_content(app, filter_type, filter_detail_slot)",0.8405337905803167,"open_goods_page(app, search_info_slot, page_type)",0.8363530752393867,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8362076251408102,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.835722445587663,"add_into_favorite_stores(app, search_info_slot)",0.8318957259673957,"add_into_favorite_goods(app, search_info_slot)",0.8222069763135627,"open_customer_service(app, order_slot, store_slot)",0.8156863517948616
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8746926921794318,"open_goods_page(app, search_info_slot, page_type)",0.8670102071331683,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8668874061887178,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8622710592533991,"search_cart_content(app, search_info_slot)",0.861759225066594,"open_cart_content(app, filter_type, filter_detail_slot)",0.8582876742088894,"add_into_favorite_stores(app, search_info_slot)",0.8565720171737311,"open_customer_service(app, order_slot, store_slot)",0.849441007234873,"add_into_favorite_goods(app, search_info_slot)",0.8468339646784853
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_cart_content(app, search_info_slot)",0.9002160226663865,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8801559943148993,"open_cart_content(app, filter_type, filter_detail_slot)",0.8700286567413906,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8668946779553804,"add_into_favorite_stores(app, search_info_slot)",0.8619418592261908,"add_into_favorite_goods(app, search_info_slot)",0.8578316772906374,"open_goods_page(app, search_info_slot, page_type)",0.8510279368923847,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8363639004017756,"open_customer_service(app, order_slot, store_slot)",0.8362060938857214
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9007094846807425,"add_into_favorite_stores(app, search_info_slot)",0.7958231689745594,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.783154227519349,"search_cart_content(app, search_info_slot)",0.782077933020288,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7707941872810209,"open_customer_service(app, order_slot, store_slot)",0.7681643733974975,"search_in_favorite_stores(app, search_info_slot)",0.7659014977033586,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7626181368413842,"search_delivery_time(app, search_info_slot, address_slot)",0.7574326546013894
