query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9903530996948585,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9589708877199952,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9444885037732058,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9192536431952427,"open_customer_service(app, order_slot, store_slot)",0.8953962688820489,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8640755975668196,"search_in_favorite_goods(app, search_info_slot)",0.8407553057660885,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8370634477890257,"open_logistics_receive(app, filter_type)",0.8368812316656112,"search_in_favorite_stores(app, search_info_slot)",0.8343186230349815
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999964237213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.718741713951389,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6629981105507955,"open_customer_service(app, order_slot, store_slot)",0.5824140930630807,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5802766734744866,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5791388945655138,"search_in_favorite_goods(app, search_info_slot)",0.5644648065093658,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.562512035599158,"open_logistics_receive(app, filter_type)",0.5444810660273156,"search_in_favorite_stores(app, search_info_slot)",0.5420968398252325
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999964237213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9089623413942259,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9018464352150508,"open_logistics_receive(app, filter_type)",0.7537377075439649,"open_logistics_send(app, filter_type)",0.7516367072002006,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.6233180880797466,"search_in_favorite_goods(app, search_info_slot)",0.5715975947010117,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5656147599593493,"search_in_favorite_stores(app, search_info_slot)",0.563218564952932,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5599014729393994
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999964237213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7163637342365687,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6922668411822295,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.5437406654182797,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5144528796050569,"open_customer_service(app, order_slot, store_slot)",0.5088705271914606,"search_in_favorite_goods(app, search_info_slot)",0.48237080439860586,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.4795769104376512,"open_logistics_receive(app, filter_type)",0.4747940363044103,"add_into_favorite_stores(app, search_info_slot)",0.47043826437267244
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999964237213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7546770117264481,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7375348508803683,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.659528216342087,"search_in_favorite_goods(app, search_info_slot)",0.6173848430053545,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6022432808149096,"add_into_favorite_stores(app, search_info_slot)",0.601072365322162,"search_in_favorite_stores(app, search_info_slot)",0.5986203447168856,"open_customer_service(app, order_slot, store_slot)",0.5920971443163637,"add_into_favorite_goods(app, search_info_slot)",0.5541056901685361
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999964237213,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5935722937688037,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5402187795880848,"open_logistics_receive(app, filter_type)",0.5342382295889996,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5147176772688689,"open_customer_service(app, order_slot, store_slot)",0.4927495250287036,"open_goods_page(app, search_info_slot, page_type)",0.49003671567220153,"open_orders_bought(app, order_status, filter_detail_slot)",0.45681228322139533,"open_order_tracking_number(app, search_info_slot)",0.4514323705138049,"open_logistics_send(app, filter_type)",0.4506945300078108
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999964237213,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7890250541605229,"add_into_favorite_goods(app, search_info_slot)",0.7432251107075823,"open_goods_page(app, search_info_slot, page_type)",0.73545519182018,"search_cart_content(app, search_info_slot)",0.6350606111036485,"open_cart_content(app, filter_type, filter_detail_slot)",0.6163181171510974,"add_into_favorite_stores(app, search_info_slot)",0.5989426591181477,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5919556880397332,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5485255962601678,"search_in_favorite_goods(app, search_info_slot)",0.529819020288261
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999964237213,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8205066044396381,"open_goods_page(app, search_info_slot, page_type)",0.799569285133985,"add_into_favorite_goods(app, search_info_slot)",0.7369817085303314,"search_cart_content(app, search_info_slot)",0.6215402766961741,"open_cart_content(app, filter_type, filter_detail_slot)",0.6137915400707629,"add_into_favorite_stores(app, search_info_slot)",0.5943084756265443,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5914935623163281,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5774324604064445,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.5585655480432803
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999964237213,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8341739792889575,"open_goods_page(app, search_info_slot, page_type)",0.8067017557417425,"add_into_favorite_goods(app, search_info_slot)",0.7309001870192535,"add_into_favorite_stores(app, search_info_slot)",0.6199209193120759,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.6160858639270286,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.6140488837713299,"search_cart_content(app, search_info_slot)",0.6102036520738291,"open_cart_content(app, filter_type, filter_detail_slot)",0.6083120552742388,"search_in_favorite_goods(app, search_info_slot)",0.5867208884229413
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999964237213,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8783800418955551,"open_goods_page(app, search_info_slot, page_type)",0.7160919238895754,"search_delivery_time(app, search_info_slot, address_slot)",0.5503721863173722,"add_into_favorite_goods(app, search_info_slot)",0.5284255282426495,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.5213251840145086,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.48484456335081366,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.481196447148283,"search_in_favorite_stores(app, search_info_slot)",0.47649494124155856,"search_in_favorite_goods(app, search_info_slot)",0.46968468448139683
