类型,轮次,query,plan,reply,assistant,app,大类,origin_instruct,责任人,tag,,,,,,,,,,,,,
单轮-单任务,1,yoyo可以麻烦帮我在抖音商城搜一下科比的冠军签名球衣嘛,在$抖音$中的商城搜索科比的冠军签名球衣,完成,好的,抖音,搜索,在抖音的商城中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音商城里的那个，你帮我打开呗,在$抖音$中的商城打开灵犀剑极轻大物的评论,完成,好的,抖音,打开,在抖音的商城中打开<搜索内容>的评论,,,,,,,,,,,,,,,
单轮-单任务,1,喂，yoyo，抖音商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在$抖音$中的商城打开雅诗兰黛小棕瓶的规格,完成,好的,抖音,打开,在抖音的商城中打开<搜索内容>的规格,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，抖音商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在$抖音$中的商城打开小米14的参数,完成,好的,抖音,打开,在抖音的商城中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,帮我打开抖音商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在$抖音$中的商城打开周大福传承系列手镯的详情,完成,好的,抖音,打开,在抖音的商城中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，抖音商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在$抖音$中的商城查看华为P60送达上海的时间,完成,好的,抖音,搜索,在抖音的商城中查看<搜索内容>送达<地址>的时间,,,,,,,,,,,,,,,
单轮-单任务,1,嘿，yoyo，把抖音商城里的苹果iPhone15给我加到购物车去。,在$抖音$中的商城把苹果iPhone15加入购物车,完成,好的,抖音,购物车,在抖音的商城中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，抖音商城里128GB的iPhone15Pro，你给我放进购物车啊。,在$抖音$中的商城把128GB的iPhone15Pro加入购物车,完成,好的,抖音,购物车,在抖音的商城中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音商城里的百草味坚果礼盒，你帮我放2件到购物车。,在$抖音$中的商城把2件的百草味坚果礼盒加入购物车,完成,好的,抖音,购物车,在抖音的商城中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，完美日记的口红，你在抖音商城里给我加进购物车，地址就选北京市朝阳区,在$抖音$中的商城把完美日记口红加入购物车并送至北京市朝阳区,完成,好的,抖音,购物车,在抖音的商城中加入购物车<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，3支装的花西子眉笔，抖音商城购物车帮我加上，送到上海市静安区哦,在$抖音$中的商城把3支装的花西子眉笔加入购物车送至上海市静安区,完成,好的,抖音,购物车,在抖音的商城中加入购物车<规格><数量>的<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音商城下单华为Mate60 Pro，应该没问题吧？,在$抖音$中的商城下单华为Mate60 Pro,完成,好的,抖音,下单,在抖音的商城中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,哎，yoyo帮我看看，7米2的飞鲨鱼竿，在抖音商城能下单不？我朋友都有了，我也想弄一根,在$抖音$中的商城下单7米2的飞鲨鱼竿,完成,好的,抖音,下单,在抖音的商城中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,5箱伊利纯牛奶，在抖音商城里你帮我操作下呗,在$抖音$中的商城下单5箱伊利纯牛奶,完成,好的,抖音,下单,在抖音的商城中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，帮我把小米14手机在抖音商城下单送到广州市天河区,在$抖音$中的商城下单小米14手机送至广州市天河区,完成,好的,抖音,下单,在抖音的商城中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，能帮我用支付宝在抖音商城下单星巴克咖啡券？,在$抖音$中的商城用支付宝下单星巴克咖啡券,完成,好的,抖音,下单,在抖音的商城中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,你好yoyo，能在抖音商城下单3盒的蒙牛纯牛奶，用微信支付，送到杭州市西湖区吗？,在$抖音$中的商城下单3盒蒙牛纯牛奶用微信支付送至杭州市西湖区,完成,好的,抖音,下单,在抖音的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，我需要你帮我在抖音的商城收藏兰蔻小黑瓶精华，比较着急,在$抖音$中的商城收藏兰蔻小黑瓶精华,完成,好的,抖音,收藏,在抖音的商城中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在抖音的商城直播里搜一下雅诗兰黛口红，行不行啊yoyo？,在$抖音$中的商城直播中搜索雅诗兰黛口红,完成,好的,抖音,搜索,在抖音的商城直播中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo帮忙打开抖音商城中的小米官方旗舰店，可以吗？,在$抖音$中打开商城的小米官方旗舰店,完成,好的,抖音,打开,在抖音中打开商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,傻yoyo，帮你爹在抖音商城的苹果官方旗舰店搜一下iPhone 15Pro，好吗？,在$抖音$中商城中的苹果官方旗舰店店铺内搜索iPhone 15Pro,完成,好的,抖音,搜索,在抖音中商城中的<店铺名>店铺内搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮老子打开抖音商城中安踏官方店的运动鞋类别，谢谢？,在$抖音$中打开商城中的安踏官方店的运动鞋类别,完成,好的,抖音,打开,在抖音中打开商城中的<店铺名>店铺的<类别>类别,,,,,,,,,,,,,,,
单轮-单任务,1,你爹我需要关注抖音商城中的无印良品店铺，能做到吗？,在$抖音$中关注商城中的无印良品店铺,完成,好的,抖音,搜索,在抖音中关注商城中的<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,宇宙无敌美少女需要在抖音搜索商城特价中的奥妙洗衣液，能找到吗？,在$抖音$中搜索商城特价中的奥妙洗衣液,完成,好的,抖音,搜索,在抖音中搜索商城特价中的<搜索内容>,,,,,,,,,,,,,,,
