query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在$抖音$中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9777986890071524,"add_into_favorite_goods(app, search_info_slot)",0.9545449762418126,"add_into_favorite_stores(app, search_info_slot)",0.9524882962447995,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9516697008947486,"open_goods_page(app, search_info_slot, page_type)",0.9499388384819031,"open_customer_service(app, order_slot, store_slot)",0.9456786678340996,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9348812142497542,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9151530856420388,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9125796980477163,"sign_in(app, page_type)",0.8961581612408229
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在$抖音$中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9172448728343848,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8698825136375167,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8655279799988744,"open_customer_service(app, order_slot, store_slot)",0.8654205683161278,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8607749974789135,"add_into_favorite_stores(app, search_info_slot)",0.8517028815131363,"open_order_tracking_number(app, search_info_slot)",0.8459548389506855,"open_logistics_receive(app, filter_type)",0.8349705222924473,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8347279213861277
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在$抖音$中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9780344414710999,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9700340493331632,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9182528396323506,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7905080829553264,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7811874857322638,"add_into_favorite_stores(app, search_info_slot)",0.7658023558835003,"open_customer_service(app, order_slot, store_slot)",0.7656856125666336,"add_into_favorite_goods(app, search_info_slot)",0.7539253997489066,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7520569370220571,"open_logistics_receive(app, filter_type)",0.06574943613688579
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在$抖音$中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8571238128507883,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8270727852322378,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8106580472637396,"open_customer_service(app, order_slot, store_slot)",0.8084867884135271,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7971641213886371,"add_into_favorite_goods(app, search_info_slot)",0.7928542929628654,"open_orders_bought(app, order_status, filter_detail_slot)",0.7892400789564956,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7811655626655707,"add_into_favorite_stores(app, search_info_slot)",0.7798434277209313
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在$抖音$中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9908347177505493,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9350197175480642,"add_into_favorite_stores(app, search_info_slot)",0.924624480787185,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9236135689581186,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9060026610001444,"open_customer_service(app, order_slot, store_slot)",0.9038844396090532,"add_into_favorite_goods(app, search_info_slot)",0.893562658403234,"search_in_favorite_stores(app, search_info_slot)",0.8823308578244099,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8797268660060993,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.875656162923705
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在$抖音$中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.8032613323655607,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7776204760881074,"open_logistics_send(app, filter_type)",0.7450078111073325,"open_orders_bought(app, order_status, filter_detail_slot)",0.7292305405732665,"call_order_courier(app, search_info_slot)",0.7225090961696009,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7202317647814245,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7197627114948926,open_search_history(app),0.04976469097261341,"open_customer_service(app, order_slot, store_slot)",0.04907232090211837
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在$抖音$中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8841101744075963,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8773497886769771,"search_cart_content(app, search_info_slot)",0.8707251216245822,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8703107953662046,"open_goods_page(app, search_info_slot, page_type)",0.869470685540643,"add_into_favorite_stores(app, search_info_slot)",0.8670173588976564,"open_cart_content(app, filter_type, filter_detail_slot)",0.860174223018525,"open_customer_service(app, order_slot, store_slot)",0.8558513707532704,"add_into_favorite_goods(app, search_info_slot)",0.8522930664387128
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在$抖音$中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9099020041006113,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9033156292706428,"open_goods_page(app, search_info_slot, page_type)",0.8996866994023249,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8993877494541362,"open_customer_service(app, order_slot, store_slot)",0.8900418855426196,"add_into_favorite_stores(app, search_info_slot)",0.8885331922556463,"open_cart_content(app, filter_type, filter_detail_slot)",0.8809152324910852,"search_cart_content(app, search_info_slot)",0.8792502812496258,"add_into_favorite_goods(app, search_info_slot)",0.8777719577043669
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在$抖音$中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_cart_content(app, search_info_slot)",0.928385370170219,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.913771180011561,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.897681208869572,"open_cart_content(app, filter_type, filter_detail_slot)",0.8945671399350854,"add_into_favorite_goods(app, search_info_slot)",0.8933195312708037,"add_into_favorite_stores(app, search_info_slot)",0.8885655575777593,"open_goods_page(app, search_info_slot, page_type)",0.8798692875027583,"open_customer_service(app, order_slot, store_slot)",0.8699794985530261,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8669234173565803
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在$抖音$中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.918467219267335,"add_into_favorite_stores(app, search_info_slot)",0.8306785859136157,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8202747165352287,"search_cart_content(app, search_info_slot)",0.8124616807357445,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8122767825458874,"open_customer_service(app, order_slot, store_slot)",0.8076219365331334,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8014806535645705,"search_in_favorite_stores(app, search_info_slot)",0.8010763596655708,"search_delivery_time(app, search_info_slot, address_slot)",0.8001602543696192
