query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.03278688524590164,"open_logistics_receive(app, filter_type)",0.03225806451612903,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.031024531024531024,"call_order_courier(app, search_info_slot)",0.03057889822595705,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.03055037313432836,"open_order_tracking_number(app, search_info_slot)",0.02964426877470356,open_search_history(app),0.029138513513513514,"manage_order_logistics_status(app, search_info_slot, action_type)",0.02854251012145749,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028404512489927477,"open_customer_service(app, order_slot, store_slot)",0.02761904761904762
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.03252247488101534,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03177805800756621,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.030798389007344232,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.030776515151515152,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.0304147465437788,"search_cart_content(app, search_info_slot)",0.02904040404040404,"add_into_favorite_stores(app, search_info_slot)",0.028612012987012988,"open_cart_content(app, filter_type, filter_detail_slot)",0.02854251012145749,"open_customer_service(app, order_slot, store_slot)",0.02819138376017471,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028169014084507043
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03252247488101534,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.032018442622950824,"open_goods_page(app, search_info_slot, page_type)",0.03200204813108039,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.030536130536130537,"open_order_tracking_number(app, search_info_slot)",0.029957522915269395,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029850746268656716,"search_cart_content(app, search_info_slot)",0.028991596638655463,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028594771241830064,"add_into_favorite_goods(app, search_info_slot)",0.02854251012145749,"add_into_favorite_stores(app, search_info_slot)",0.028283227848101264
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03252247488101534,"open_goods_page(app, search_info_slot, page_type)",0.032018442622950824,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03076923076923077,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.0304147465437788,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03036576949620428,"search_cart_content(app, search_info_slot)",0.030303030303030304,"add_into_favorite_goods(app, search_info_slot)",0.029206349206349208,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028790389395194696,"add_into_favorite_stores(app, search_info_slot)",0.027912386121341344,"open_cart_content(app, filter_type, filter_detail_slot)",0.027820121951219513
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03225806451612903,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03125763125763126,"open_goods_page(app, search_info_slot, page_type)",0.031099324975891997,"search_cart_content(app, search_info_slot)",0.030776515151515152,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.030679156908665108,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.029386529386529386,"open_cart_content(app, filter_type, filter_detail_slot)",0.0293236301369863,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.02900988017658188,"open_customer_service(app, order_slot, store_slot)",0.028577260665441927,"add_into_favorite_goods(app, search_info_slot)",0.02813852813852814
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.03278688524590164,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.031746031746031744,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03021353930031804,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.030017921146953404,"manage_order_logistics_status(app, search_info_slot, action_type)",0.029850746268656716,"open_customer_service(app, order_slot, store_slot)",0.02964426877470356,"open_logistics_receive(app, filter_type)",0.02946912242686891,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.029437229437229435,"add_into_favorite_stores(app, search_info_slot)",0.0293236301369863,"open_goods_page(app, search_info_slot, page_type)",0.02786377708978328
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"open_goods_page(app, search_info_slot, page_type)",0.03200204813108039,"add_into_favorite_stores(app, search_info_slot)",0.030834914611005692,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.030798389007344232,"open_cart_content(app, filter_type, filter_detail_slot)",0.03076923076923077,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.030330882352941176,"search_cart_content(app, search_info_slot)",0.03007688828584351,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.028958333333333336,"open_customer_service(app, order_slot, store_slot)",0.028665028665028666,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.027650648360030512
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03252247488101534,"open_goods_page(app, search_info_slot, page_type)",0.03200204813108039,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.03177805800756621,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03125763125763126,"add_into_favorite_stores(app, search_info_slot)",0.030117753623188408,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.03007688828584351,"open_cart_content(app, filter_type, filter_detail_slot)",0.029709507042253523,"search_cart_content(app, search_info_slot)",0.028991596638655463,"open_customer_service(app, order_slot, store_slot)",0.028814262023217248,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.02782608695652174
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"open_goods_page(app, search_info_slot, page_type)",0.031754032258064516,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.03125763125763126,"add_into_favorite_stores(app, search_info_slot)",0.03057889822595705,"open_cart_content(app, filter_type, filter_detail_slot)",0.030117753623188408,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.030090497737556562,"search_cart_content(app, search_info_slot)",0.03007688828584351,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.02946236559139785,"open_customer_service(app, order_slot, store_slot)",0.029236022193768675,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.028083267871170464
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.03278688524590164,"open_goods_page(app, search_info_slot, page_type)",0.03128054740957967,"add_into_favorite_stores(app, search_info_slot)",0.030834914611005692,"open_cart_content(app, filter_type, filter_detail_slot)",0.03055037313432836,"search_cart_content(app, search_info_slot)",0.030309988518943745,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.030158730158730156,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.029877369007803793,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.029386529386529386,"open_customer_service(app, order_slot, store_slot)",0.028850145288501453,"open_logistics_receive(app, filter_type)",0.028169014084507043
