query,ground_truth,pred_tool_1,pred_tool_2,pred_tool_3,pred_tool_4,pred_tool_5,pred_tool_6,pred_tool_7,pred_tool_8,pred_tool_9,pred_tool_10,pred_score_1,pred_score_2,pred_score_3,pred_score_4,pred_score_5,pred_score_6,pred_score_7,pred_score_8,pred_score_9,pred_score_10
帮我淘宝搜一下大疆无人机,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_stores(...),open_search_history(...),delete_search_history(...),search_cart_content(...),open_camera_search(...),open_customer_service(...),open_special_page(...),add_into_cart(...),1.0,0.303837861985487,0.13200193679423972,0.12761120948647658,0.11947726834171607,0.10711026049939318,0.080638754232457,0.024130870099483618,0.014909345733774212,0.010517549370647108
帮我用淘宝推荐一下无线蓝牙耳机,search_goods(...),search_goods(...),open_goods_page(...),rate_order(...),search_stores(...),open_camera_search(...),apply_price_protection(...),add_into_favorite_goods(...),search_in_favorite_goods(...),order_to_purchase_goods(...),sign_in(...),1.0,0.38170067059547014,0.2022018290874835,0.19484191035009016,0.16742639510424887,0.1242654475630012,0.09765927992369905,0.09222302259499125,0.08987277569996276,0.08365519581122366
淘宝上有没有适合学生党的护眼台灯,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_stores(...),open_special_page(...),open_search_history(...),search_cart_content(...),open_camera_search(...),delete_search_history(...),open_customer_service(...),add_into_cart(...),1.0,0.25182273136252803,0.14652045622563287,0.1374821089815672,0.09004106798065528,0.08486478649423282,0.08486109428895015,0.035672491133188045,0.012579186384121355,0.0
能帮我查一下小米品牌的降噪蓝牙耳机吗？,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_stores(...),open_search_history(...),delete_search_history(...),open_customer_service(...),search_order(...),call_order_courier(...),search_cart_content(...),open_stores_page(...),1.0,0.36317273875120337,0.23855763602324018,0.14529265294702912,0.11582754223690725,0.0939092702694422,0.07204315949159293,0.06190349993469143,0.06172220817953568,0.04982160076951234
淘宝搜一下适合150斤的男士牛仔裤,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_stores(...),delete_search_history(...),search_cart_content(...),open_camera_search(...),open_search_history(...),open_special_page(...),open_customer_service(...),add_into_cart(...),1.0,0.2956971796088097,0.12777094156488078,0.09197136207517674,0.08122943193074485,0.07118866358252603,0.06801423093725599,0.058363288884704975,0.013225039935641114,0.005137722394265215
打开荣耀官方旗舰店的MagicV5商品页,open_goods_page(...),open_stores_page(...),open_goods_page(...),open_cart_content(...),add_into_favorite_stores(...),open_special_page(...),search_cart_content(...),open_favorite_stores(...),open_customer_service(...),open_invoice_page(...),search_in_favorite_stores(...),1.0,0.8593326107283774,0.25880958695509365,0.1801610215775151,0.15174349192555353,0.11354250309588003,0.09904108086047295,0.05098980587154963,0.04157322627650891,0.03653834281053494
请查看拼多多的三只松鼠零食专区,open_stores_page(...),open_stores_page(...),open_goods_page(...),open_special_page(...),search_goods(...),open_cart_content(...),open_camera_search(...),search_cart_content(...),search_stores(...),open_customer_service(...),open_invoice_page(...),1.0,0.9414595384293535,0.46086738002312394,0.3978612024700286,0.1831165814925542,0.16819913271552012,0.1567461966964869,0.11223163050871937,0.08891873805244158,0.08574239053908475
查一下荣耀Magic7的淘宝评价,open_goods_page(...),open_goods_page(...),open_orders_bought(...),open_search_history(...),open_special_page(...),open_stores_page(...),open_cart_content(...),open_invoice_page(...),open_customer_service(...),rate_order(...),search_order(...),1.0,0.4908304295385979,0.26605753974035096,0.1987361073790739,0.15563851919238356,0.1534547378527135,0.15303899790034686,0.1198106809466101,0.09560648617275717,0.07620726682501296
查下iPhone 14 Pro Max黑色款的淘宝评价咋样,open_goods_page(...),open_goods_page(...),open_orders_bought(...),open_search_history(...),open_stores_page(...),open_special_page(...),open_invoice_page(...),open_customer_service(...),search_order(...),open_cart_content(...),rate_order(...),1.0,0.37139078521545454,0.22419572610346045,0.19844475004270473,0.17411469303769914,0.12226837167675739,0.09931017313197525,0.08487813800874301,0.0738768706584904,0.06732007888578195
我要看看赫莲娜黑绷带面霜的用户反馈，特别是敏感肌的,open_goods_page(...),open_goods_page(...),open_orders_bought(...),open_special_page(...),open_search_history(...),open_customer_service(...),open_stores_page(...),apply_after_sales(...),open_invoice_page(...),open_favorite_goods(...),open_cart_content(...),1.0,0.28227431207314646,0.21897970249274565,0.21884401628694122,0.18049001194834166,0.16318342423719823,0.06931273478243843,0.01985141399169636,0.006129804589985899,0.005273056486808339
