query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000166893006,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9695674646027828,"add_into_favorite_goods(app, search_info_slot)",0.9678150296267155,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9613647611708506,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.958540867629113,"add_into_favorite_stores(app, search_info_slot)",0.9400412959138762,"open_customer_service(app, order_slot, store_slot)",0.9357529010864823,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9336379057337897,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9332993548957647,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9227836446167434
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9680307637678123,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9637333917617797,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9046901427614257,"add_into_favorite_goods(app, search_info_slot)",0.901555734086715,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8935456866620508,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8922792587990007,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8870618380226997,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8717203888993941,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8717126665628723,"add_into_favorite_stores(app, search_info_slot)",0.8711955933452987
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9556604381034675,"open_goods_page(app, search_info_slot, page_type)",0.9425731710057077,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9138806400007304,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9044445919990539,"add_into_favorite_goods(app, search_info_slot)",0.8815007088625564,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8636377411619071,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8621504859287938,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8487662990898467,"open_customer_service(app, order_slot, store_slot)",0.8371060396037567,"add_into_favorite_stores(app, search_info_slot)",0.8368474637570655
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9567352184275068,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8855747417900544,"add_into_favorite_goods(app, search_info_slot)",0.8678230215655299,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.861917366526897,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8555636158814358,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8529043010547777,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8502797436015125,open_camera_search(app),0.8464050454808193,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08,"open_orders_bought(app, order_status, filter_detail_slot)",0.02079342278593805
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9926261928764449,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9298028516769409,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9283950998788763,"add_into_favorite_goods(app, search_info_slot)",0.9274251659558796,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9226010230071353,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9094760629437372,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9080520700357012,"add_into_favorite_stores(app, search_info_slot)",0.9010159724552468,"open_orders_bought(app, order_status, filter_detail_slot)",0.896876494669988,open_search_history(app),0.8941813134497673
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9363515321637078,"open_logistics_receive(app, filter_type)",0.840919390393712,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8171434736670453,"call_order_courier(app, search_info_slot)",0.7956803240585899,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7921475277380081,"open_orders_bought(app, order_status, filter_detail_slot)",0.7856456927195403,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7691237255672165,"open_order_tracking_number(app, search_info_slot)",0.7608769443605038,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7548752501477393,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.96682031379611,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8947110321606332,"add_into_favorite_goods(app, search_info_slot)",0.8921914174576909,"open_cart_content(app, filter_type, filter_detail_slot)",0.8878999107002895,"search_cart_content(app, search_info_slot)",0.8778969761388318,"open_goods_page(app, search_info_slot, page_type)",0.8627447440211184,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8620599006147379,"open_customer_service(app, order_slot, store_slot)",0.8504484081670934,open_camera_search(app),0.8444597715898554,"add_into_favorite_stores(app, search_info_slot)",0.841906788209944
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9668203137961101,"add_into_favorite_goods(app, search_info_slot)",0.9240604116936834,"open_cart_content(app, filter_type, filter_detail_slot)",0.9213297121643703,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.91942049528014,"open_goods_page(app, search_info_slot, page_type)",0.910224909979523,"search_cart_content(app, search_info_slot)",0.9039416429059522,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8974412773580546,open_camera_search(app),0.8757389778657954,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08,"manage_order_logistics_status(app, search_info_slot, action_type)",0.04745374653702952
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9958725249900222,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9080767427372615,"open_cart_content(app, filter_type, filter_detail_slot)",0.9036768641693897,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.888610365615476,"add_into_favorite_goods(app, search_info_slot)",0.8779280801801608,"search_cart_content(app, search_info_slot)",0.8715810017038512,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8584945866772395,"open_goods_page(app, search_info_slot, page_type)",0.8573144422846987,"add_into_favorite_stores(app, search_info_slot)",0.8404527827317667,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.08
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.972922691545895,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9267595651397004,"add_into_favorite_goods(app, search_info_slot)",0.9035104100256477,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9024907517433166,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8859973235301276,"open_cart_content(app, filter_type, filter_detail_slot)",0.8779157711993667,"open_goods_page(app, search_info_slot, page_type)",0.8771786651135696,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8688278771532082,"add_into_favorite_stores(app, search_info_slot)",0.8681757647025784,"search_cart_content(app, search_info_slot)",0.8636490373963063
