query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在$抖音$中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9748733684406573,"add_into_favorite_goods(app, search_info_slot)",0.9546296749980582,"add_into_favorite_stores(app, search_info_slot)",0.9516267815085852,"open_goods_page(app, search_info_slot, page_type)",0.9506280469894409,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9503024237199307,"open_customer_service(app, order_slot, store_slot)",0.9458296057551556,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9344915827496404,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9147940460614375,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9098744701014492,"sign_in(app, page_type)",0.8959316154921753
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在$抖音$中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9172422560293941,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8715963591581507,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8628273506167918,"open_customer_service(app, order_slot, store_slot)",0.8624804245389681,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8599169526557469,"add_into_favorite_stores(app, search_info_slot)",0.8542875319516593,"open_order_tracking_number(app, search_info_slot)",0.8424822650875571,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8346213837757706,"open_logistics_receive(app, filter_type)",0.8331246811300357
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在$抖音$中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9775182056427002,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9708229648652882,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9164130495070318,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7900457148052088,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7805998183978683,"add_into_favorite_stores(app, search_info_slot)",0.7660023458718882,"open_customer_service(app, order_slot, store_slot)",0.7648456740031891,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7522753548033863,"add_into_favorite_goods(app, search_info_slot)",0.751714186850214,"open_logistics_receive(app, filter_type)",0.06622286256918107
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在$抖音$中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.857638661915575,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8271266327309803,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.811866687144718,"open_customer_service(app, order_slot, store_slot)",0.810838013043638,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8002595504814486,"add_into_favorite_goods(app, search_info_slot)",0.7939821950083109,"open_orders_bought(app, order_status, filter_detail_slot)",0.7903886529719715,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7841540756712875,"add_into_favorite_stores(app, search_info_slot)",0.7823006162144718
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在$抖音$中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9926570105552673,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9356865988183216,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9267388034408436,"add_into_favorite_stores(app, search_info_slot)",0.9251173982121524,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9056682737945572,"open_customer_service(app, order_slot, store_slot)",0.9032779625561197,"add_into_favorite_goods(app, search_info_slot)",0.8963447085504862,"search_in_favorite_stores(app, search_info_slot)",0.884701266476288,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8786825141006808,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8762859777241847
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在$抖音$中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.8039374198968957,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7777326425782785,"open_logistics_send(app, filter_type)",0.7453303873833256,"open_orders_bought(app, order_status, filter_detail_slot)",0.7289067740471373,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7214312220018351,"call_order_courier(app, search_info_slot)",0.7208503011709089,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7179960817473352,open_search_history(app),0.04975615726042528,"open_customer_service(app, order_slot, store_slot)",0.049052238796715414
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在$抖音$中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8814054917791181,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8762404697532363,"search_cart_content(app, search_info_slot)",0.8712046412365128,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8695572178024124,"open_goods_page(app, search_info_slot, page_type)",0.867836401006317,"add_into_favorite_stores(app, search_info_slot)",0.8659510668529852,"open_cart_content(app, filter_type, filter_detail_slot)",0.8584581596263303,"open_customer_service(app, order_slot, store_slot)",0.8548247167139813,"add_into_favorite_goods(app, search_info_slot)",0.8517720715806014
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在$抖音$中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.907326264494346,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9023821968216366,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8977634456323323,"open_goods_page(app, search_info_slot, page_type)",0.8977341411862532,"open_customer_service(app, order_slot, store_slot)",0.88889777113756,"add_into_favorite_stores(app, search_info_slot)",0.8875385515286928,"open_cart_content(app, filter_type, filter_detail_slot)",0.8813277320875796,"search_cart_content(app, search_info_slot)",0.8803800793692576,"add_into_favorite_goods(app, search_info_slot)",0.8769160755479175
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在$抖音$中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_cart_content(app, search_info_slot)",0.927835330586146,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9118459654983743,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8960996415780721,"open_cart_content(app, filter_type, filter_detail_slot)",0.894052668096033,"add_into_favorite_goods(app, search_info_slot)",0.8912573703133899,"add_into_favorite_stores(app, search_info_slot)",0.887322484691382,"open_goods_page(app, search_info_slot, page_type)",0.8781429885182539,"open_customer_service(app, order_slot, store_slot)",0.8682205026324635,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8647701758522457
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在$抖音$中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.920255550114935,"add_into_favorite_stores(app, search_info_slot)",0.832275323231945,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8205384588018669,"search_cart_content(app, search_info_slot)",0.814139486499938,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.811279258563306,"open_customer_service(app, order_slot, store_slot)",0.8068205946284138,"search_in_favorite_stores(app, search_info_slot)",0.8057959682478036,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8011017034284638,"search_delivery_time(app, search_info_slot, address_slot)",0.7979350165264864
