query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在$抖音$中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9766990587101275,"add_into_favorite_goods(app, search_info_slot)",0.9546296749980582,"add_into_favorite_stores(app, search_info_slot)",0.9516267815085852,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9503024237199307,"open_goods_page(app, search_info_slot, page_type)",0.9487785744667053,"open_customer_service(app, order_slot, store_slot)",0.9454681631892377,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9335516771061773,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9147940460614375,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9123679708109829,"sign_in(app, page_type)",0.8946197172606689
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在$抖音$中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9172422560293941,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8687892784124537,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8648393054011851,"open_customer_service(app, order_slot, store_slot)",0.8639928924001437,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8599169526557469,"add_into_favorite_stores(app, search_info_slot)",0.8542875319516593,"open_order_tracking_number(app, search_info_slot)",0.8424822650875571,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8346213837757706,"open_logistics_receive(app, filter_type)",0.8331246811300357
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在$抖音$中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9775182056427002,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9708229648652882,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9164130495070318,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7900457148052088,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7805998183978683,"open_customer_service(app, order_slot, store_slot)",0.7670458602557831,"add_into_favorite_stores(app, search_info_slot)",0.7660023458718882,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7522753548033863,"add_into_favorite_goods(app, search_info_slot)",0.751714186850214,"open_logistics_receive(app, filter_type)",0.06622286256918107
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在$抖音$中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8566668081825123,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8281360969948963,"open_customer_service(app, order_slot, store_slot)",0.8116873792316873,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8109395368952368,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7993875941330294,"add_into_favorite_goods(app, search_info_slot)",0.7930852643137308,"open_orders_bought(app, order_status, filter_detail_slot)",0.7895004841601734,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7832588735114059,"add_into_favorite_stores(app, search_info_slot)",0.7814173349835453
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在$抖音$中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9936733293533325,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9372975335526661,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9267388034408436,"add_into_favorite_stores(app, search_info_slot)",0.9251173982121524,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9066383989929214,"open_customer_service(app, order_slot, store_slot)",0.9045642307903726,"add_into_favorite_goods(app, search_info_slot)",0.8963447085504862,"search_in_favorite_stores(app, search_info_slot)",0.8838125612226869,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8786825141006808,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8772699908047816
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在$抖音$中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",1.0000000047683715,"open_logistics_receive(app, filter_type)",0.8032304492052148,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7777326425782785,"open_logistics_send(app, filter_type)",0.7453303873833256,"open_orders_bought(app, order_status, filter_detail_slot)",0.7293473119766722,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7214312220018351,"call_order_courier(app, search_info_slot)",0.7208503011709089,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7179960817473352,open_search_history(app),0.04975615726042528,"open_customer_service(app, order_slot, store_slot)",0.049052238796715414
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在$抖音$中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8813401650884443,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8762404697532363,"search_cart_content(app, search_info_slot)",0.8712046412365128,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8695572178024124,"open_goods_page(app, search_info_slot, page_type)",0.867836401006317,"add_into_favorite_stores(app, search_info_slot)",0.8659510668529852,"open_cart_content(app, filter_type, filter_detail_slot)",0.8573946935542478,"open_customer_service(app, order_slot, store_slot)",0.8556555458575055,"add_into_favorite_goods(app, search_info_slot)",0.8517720715806014
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在$抖音$中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9062122536834939,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9023821968216366,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8977634456323323,"open_goods_page(app, search_info_slot, page_type)",0.8977341411862532,"open_customer_service(app, order_slot, store_slot)",0.8905410711940175,"add_into_favorite_stores(app, search_info_slot)",0.8875385515286928,"search_cart_content(app, search_info_slot)",0.8803800793692576,"open_cart_content(app, filter_type, filter_detail_slot)",0.8803289966597232,"add_into_favorite_goods(app, search_info_slot)",0.8769160755479175
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在$抖音$中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"search_cart_content(app, search_info_slot)",0.9277700635001169,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9114817215141519,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8949735906289754,"open_cart_content(app, filter_type, filter_detail_slot)",0.8939902620329532,"add_into_favorite_goods(app, search_info_slot)",0.8911929972970325,"add_into_favorite_stores(app, search_info_slot)",0.8872584096982484,"open_goods_page(app, search_info_slot, page_type)",0.8780798671994368,"open_customer_service(app, order_slot, store_slot)",0.8678196017917043,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8647079486031002
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在$抖音$中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",1.0000000047683715,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.920255550114935,"add_into_favorite_stores(app, search_info_slot)",0.832275323231945,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8210082030073418,"search_cart_content(app, search_info_slot)",0.814139486499938,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.811279258563306,"open_customer_service(app, order_slot, store_slot)",0.8073907726603352,"search_in_favorite_stores(app, search_info_slot)",0.8045445091260995,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8009670565359162,"search_delivery_time(app, search_info_slot, address_slot)",0.7979350165264864
