query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9887376856803894,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.948216926488682,"add_into_favorite_goods(app, search_info_slot)",0.9406695520725974,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9339508151760484,"add_into_favorite_stores(app, search_info_slot)",0.9219625275906405,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9199671204588673,open_camera_search(app),0.9055294764619778,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9006618756616044,"open_special_page(app, page_type)",0.8951259557591212,"open_customer_service(app, order_slot, store_slot)",0.8947468267685381
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999833106995,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8476254651796433,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8428659382464476,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8415148327028195,"add_into_favorite_goods(app, search_info_slot)",0.8263629620704311,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8206200743826355,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8145771436818945,"open_orders_bought(app, order_status, filter_detail_slot)",0.8034874201871839,"add_into_favorite_stores(app, search_info_slot)",0.8029474095391225,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7969337700652387
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9906267952919007,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9618453926682059,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.910284521513576,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.883512507593373,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8625138996563084,"add_into_favorite_goods(app, search_info_slot)",0.8396637018453929,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.82732495905446,open_camera_search(app),0.8146441308090262,"open_logistics_receive(app, filter_type)",0.08659912797508294,"open_orders_bought(app, order_status, filter_detail_slot)",0.08555919285404405
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999833106995,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.83825795781765,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.837562576511483,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8319900677917809,"add_into_favorite_goods(app, search_info_slot)",0.818658371882922,open_camera_search(app),0.8183213284608947,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8113118883030838,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8067055534781541,"open_customer_service(app, order_slot, store_slot)",0.7969245372338792,"add_into_favorite_stores(app, search_info_slot)",0.7931832398716121
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999833106995,"add_into_favorite_goods(app, search_info_slot)",0.8952461084895199,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8889972461477281,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8846343801735252,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8727715170174645,"add_into_favorite_stores(app, search_info_slot)",0.8666550244632869,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8594842513838511,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8590602155583328,open_camera_search(app),0.8446482828256713,"open_customer_service(app, order_slot, store_slot)",0.8399826345963975
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999833106995,"open_logistics_receive(app, filter_type)",0.8243109705337176,"open_orders_bought(app, order_status, filter_detail_slot)",0.7839191678161084,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.782780910874186,"manage_order_logistics_status(app, search_info_slot, action_type)",0.767258425329436,"call_order_courier(app, search_info_slot)",0.7620299711088017,"open_order_tracking_number(app, search_info_slot)",0.757343966479153,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.75265248964095,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7382528642539239,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7308152358429406
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999833106995,"open_cart_content(app, filter_type, filter_detail_slot)",0.8768314100560234,"search_cart_content(app, search_info_slot)",0.817722447037088,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8157419587388037,"add_into_favorite_goods(app, search_info_slot)",0.810094001066128,open_camera_search(app),0.79214896493662,"open_goods_page(app, search_info_slot, page_type)",0.792088443452923,"add_into_favorite_stores(app, search_info_slot)",0.7740397480744148,"open_customer_service(app, order_slot, store_slot)",0.7714337273085927,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7679143002830767
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999833106995,"open_cart_content(app, filter_type, filter_detail_slot)",0.869054025761892,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8334966813267388,"search_cart_content(app, search_info_slot)",0.8241225289036587,"add_into_favorite_goods(app, search_info_slot)",0.8234323952141881,"open_goods_page(app, search_info_slot, page_type)",0.8108038267417894,open_camera_search(app),0.8058177460829992,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7819100074823264,"add_into_favorite_stores(app, search_info_slot)",0.7807744502310943,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7781658368487134
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999833106995,"open_cart_content(app, filter_type, filter_detail_slot)",0.8689081731961266,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8348489915074029,"add_into_favorite_goods(app, search_info_slot)",0.8159449789467931,"search_cart_content(app, search_info_slot)",0.8102299975087002,"open_goods_page(app, search_info_slot, page_type)",0.7983631452842699,"add_into_favorite_stores(app, search_info_slot)",0.7919618248229217,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7817765526826743,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7799599962610975,open_camera_search(app),0.7741059292952794
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999833106995,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8872070008567229,"open_cart_content(app, filter_type, filter_detail_slot)",0.8097193959229672,"add_into_favorite_goods(app, search_info_slot)",0.7998142481871743,"open_goods_page(app, search_info_slot, page_type)",0.7833399895240809,"add_into_favorite_stores(app, search_info_slot)",0.7799363813888417,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7791650312615529,"search_delivery_time(app, search_info_slot, address_slot)",0.7711002008084303,open_camera_search(app),0.7702904299979345,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7646635728295922
