query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",-1000000000.0,"open_logistics_receive(app, filter_type)",-1000000000.0,"call_order_courier(app, search_info_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"manage_order_logistics_status(app, search_info_slot, action_type)",-1000000000.0,"open_orders_bought(app, order_status, filter_detail_slot)",-1000000000.0,"open_order_tracking_number(app, search_info_slot)",-1000000000.0,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"add_into_favorite_stores(app, search_info_slot)",-1000000000.0,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",-1000000000.0,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,open_camera_search(app),-1000000000.0,"add_into_favorite_stores(app, search_info_slot)",-1000000000.0,"open_customer_service(app, order_slot, store_slot)",-1000000000.0,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",-1000000000.0
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,"open_logistics_receive(app, filter_type)",-1000000000.0
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"add_into_favorite_stores(app, search_info_slot)",-1000000000.0,open_camera_search(app),-1000000000.0,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",-1000000000.0
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_delivery_time(app, search_info_slot, address_slot), search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_delivery_time(app, search_info_slot, address_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",-1000000000.0,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"manage_order_logistics_status(app, search_info_slot, action_type)",-1000000000.0,"open_logistics_receive(app, filter_type)",-1000000000.0,"open_orders_bought(app, order_status, filter_detail_slot)",-1000000000.0
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"open_special_page(app, page_type)",-1000000000.0
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",-1000000000.0,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",-1000000000.0
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,open_camera_search(app),-1000000000.0,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",-1000000000.0
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",-1000000000.0,"open_goods_page(app, search_info_slot, page_type)",-1000000000.0,"open_cart_content(app, filter_type, filter_detail_slot)",-1000000000.0,"search_cart_content(app, search_info_slot)",-1000000000.0,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",-1000000000.0,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",-1000000000.0,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",-1000000000.0,"add_into_favorite_goods(app, search_info_slot)",-1000000000.0,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",-1000000000.0,open_camera_search(app),-1000000000.0
