query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城中搜索<搜索内容>,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9460355601765053,"search_cart_content(app, search_info_slot)",0.9321044564247132,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9154805730373148,"search_in_favorite_stores(app, search_info_slot)",0.8521142484877792,"search_order(app, search_info_slot, order_status)",0.8400211818661086,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7283629336593489,"open_goods_page(app, search_info_slot, page_type)",0.6988910365840124,"add_into_favorite_goods(app, search_info_slot)",0.6918891885108656,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.6767162642735776,"open_cart_content(app, filter_type, filter_detail_slot)",0.6467028417765694
在抖音的商城中搜索<搜索内容>,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9920061945667007,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.975873339176178,"search_in_favorite_stores(app, search_info_slot)",0.9696848404483385,"search_order(app, search_info_slot, order_status)",0.9390761975291237,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7212393881934759,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.714456170281154,"search_delivery_time(app, search_info_slot, address_slot)",0.7120101112753496,"search_in_favorite_goods(app, search_info_slot)",0.6934763631260881,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6870073750031186,"search_cart_content(app, search_info_slot)",0.28780668258079223
在抖音中搜索商城店铺<搜索内容>,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7740050468480595,"search_order(app, search_info_slot, order_status)",0.7554858882450669,"search_in_favorite_goods(app, search_info_slot)",0.7080835243536724,"search_in_favorite_stores(app, search_info_slot)",0.6346346123479045,"open_cart_content(app, filter_type, filter_detail_slot)",0.59846840012358,open_camera_search(app),0.5901004038586566,"open_goods_page(app, search_info_slot, page_type)",0.5572439954714342,"add_into_favorite_goods(app, search_info_slot)",0.5449023891184108,"search_cart_content(app, search_info_slot)",0.1527040417083773
在抖音中搜索商城店铺<搜索内容>,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_in_favorite_stores(app, search_info_slot)",0.90632785007217,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8013864821824161,"search_order(app, search_info_slot, order_status)",0.5839893457891142,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5298805801871377,"open_goods_page(app, search_info_slot, page_type)",0.5295464783422303,"add_into_favorite_goods(app, search_info_slot)",0.49827363627069937,open_search_history(app),0.49448264752312077,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.12767447339265567,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.10999250809323229
在抖音中搜索商城店铺<搜索内容>按综合排序,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8108423895050899,"search_in_favorite_stores(app, search_info_slot)",0.6245078667460549,"search_cart_content(app, search_info_slot)",0.6167164416140931,"search_order(app, search_info_slot, order_status)",0.6100678473408812,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5770142080791788,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.564528168728752,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5558203208284151,"add_into_favorite_goods(app, search_info_slot)",0.5155728930216318,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.06826934778662218
在抖音中搜索商城店铺<搜索内容>按综合排序,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8576471910971253,"search_in_favorite_stores(app, search_info_slot)",0.8226933757582192,"search_order(app, search_info_slot, order_status)",0.5620190897570363,"open_goods_page(app, search_info_slot, page_type)",0.5248155370584635,"add_into_favorite_goods(app, search_info_slot)",0.5043019569473676,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.06993757538314148,"search_cart_content(app, search_info_slot)",0.06284011199668547,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.061451150569538135,"open_orders_sold(app, order_status, filter_detail_slot)",0.053751469580648824
在抖音中搜索商城店铺<搜索内容>按销量排序,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9655483970912926,"search_cart_content(app, search_info_slot)",0.7283001153734997,"search_order(app, search_info_slot, order_status)",0.7180982876564752,"search_in_favorite_stores(app, search_info_slot)",0.7175285825595794,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.6961776353034794,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.6641806457261495,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.662808687700925,"add_into_favorite_goods(app, search_info_slot)",0.6338391671441505,"open_goods_page(app, search_info_slot, page_type)",0.6009725446596763
在抖音中搜索商城店铺<搜索内容>按销量排序,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9926788380761562,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9787863969802857,"search_order(app, search_info_slot, order_status)",0.7088525942155873,"search_in_favorite_stores(app, search_info_slot)",0.6896777302943852,"open_goods_page(app, search_info_slot, page_type)",0.648514986052363,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.11518593108179906,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.11355137930773461,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.11140529526685092,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.1089810212070564,"search_in_favorite_goods(app, search_info_slot)",0.10058525797513959
在抖音中搜索商城店铺<搜索内容>按人气排序,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7504932010686233,"search_in_favorite_stores(app, search_info_slot)",0.6221826326877857,"search_cart_content(app, search_info_slot)",0.607944377501985,"search_order(app, search_info_slot, order_status)",0.5997944209158116,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.5648641001015811,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.5584945726912978,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.5391390576443503,"add_into_favorite_goods(app, search_info_slot)",0.47489852893957746,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.07165882699316499
在抖音中搜索商城店铺<搜索内容>按人气排序,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9999999880790711,"search_in_favorite_stores(app, search_info_slot)",0.8296576598320439,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7745672614635777,"search_order(app, search_info_slot, order_status)",0.6394199109275629,"search_cart_content(app, search_info_slot)",0.6245614399769346,"search_in_favorite_goods(app, search_info_slot)",0.571229894048649,open_search_history(app),0.5301992253685199,"open_goods_page(app, search_info_slot, page_type)",0.5217570681995221,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.521427201362738,open_camera_search(app),0.513593010753244
