大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
购物-搜索,抖音,给我在抖音中搜索篮球,在$抖音$中搜索篮球,在抖音的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-打开,抖音,我想在抖音中看一下篮球商品,在$抖音$中查看篮球商品,在抖音的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,请搜索一下篮球，在抖音中,在$抖音$中搜索篮球,在抖音的商城中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
购物-搜索,抖音,我想要在抖音中搜索手机店,在$抖音$中搜索手机店,在抖音中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音,帮我在抖音上查找一下手机店,在$抖音$中查找商城中的手机店,在抖音中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音,请搜索一下手机店，在抖音,在$抖音$中搜索手机店,在抖音中搜索商城店铺<搜索内容>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音,请帮我在抖音商城搜索水果店，按综合排序,在$抖音$中的商城搜索水果店并按综合排序,在抖音中搜索商城店铺<搜索内容>按综合排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音,快点儿去抖音商城按综合排序搜索水果店,在$抖音$中的商城搜索水果店并按综合排序,在抖音中搜索商城店铺<搜索内容>按综合排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音商城,请按综合排序的条件在抖音商城中搜索水果店,在$抖音商城$中搜索水果店按综合排序,在抖音中搜索商城店铺<搜索内容>按综合排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
购物-搜索,抖音,请按销量排序搜索抖音商城中的花店,在$抖音$中的商城中搜索花店按销量排序,在抖音中搜索商城店铺<搜索内容>按销量排序,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
