用户输入,标准答案,模型输出,时延(秒),格式正确率,综合准确率(函数名+参数名+闭域值),完整匹配准确率,函数名准确率,参数结构准确率,参数名-精确率,参数名-召回率,参数名-F1,闭域参数值-准确率,开域参数值-Fuzz相似度,开域参数值-BLEU1,开域参数值-BLEU2,开域参数值-BLEU3,开域参数值-BLEU4,开域参数值-ROUGE1,开域参数值-ROUGE2,开域参数值-ROUGEL
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""search_in_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在店铺收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""直播"", ""上新"", ""特别关注""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""已买过"", ""低库存"", ""失效"", ""7天内"", ""30天内"", ""90天内"", ""半年前"", ""一年前""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无"", ""最近收藏在前"", ""最早收藏在前""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""ask_human"", ""description"": ""使用这个工具向用户发起提问用来补充信息，当发现调用的工具缺少必填信息时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""inquire"": {""type"": ""string"", ""description"": ""想要向用户提问的问题""}}, ""required"": [""inquire""]}}},{""type"": ""function"", ""function"": {""name"": ""get_reference_info"", ""description"": ""获取关于指代信息的详细内容，当发现用户输入的内容包含指代实体时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""entity"": {""type"": ""string"", ""description"": ""用户输入内容中的指代实体，如'我家','公司','爸爸','妈妈'等""}}, ""required"": [""entity""]}}},{""type"": ""function"", ""function"": {""name"": ""not_support"", ""description"": ""针对无正确可用工具场景，提示用户当前功能不支持"", ""parameters"": {}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在淘宝中查看半年前收藏的宝贝","[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""半年前"")']]","[['1', 'open_favorite_goods(app=""淘宝"", filter_type=""半年前"", order_type=""无"")']]",3.9253056049346924,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""sign_in"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""page_type"": {""type"": ""string"", ""description"": ""用于区分同一app的不同签到功能，需要给出具体子页面的名称"", ""enum"": [""无"", ""金币"", ""积分""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在抖音极速版中执行签到操作","[['1', 'sign_in(app=""抖音极速版"", page_type=""无"")']]","[['1', 'sign_in(app=""抖音极速版"", page_type=""无"")']]",3.039823532104492,1,1,1,1,1,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""open_logistics_receive"", ""description"": ""打开显示已购商品信息的界面，查看相关物流信息，并根据物流情况进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在订单界面依据物流情况进行筛选的筛选条件"", ""enum"": [""无"", ""我的收件"", ""待取件"", ""派送中"", ""运输中"", ""待发货"", ""已签收""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_logistics_send"", ""description"": ""打开显示已售商品信息的界面，查看相关物流信息，并根据物流情况进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在订单界面依据物流情况进行筛选的筛选条件"", ""enum"": [""无"", ""待寄出"", ""待支付"", ""待取件"", ""派送中"", ""运输中"", ""已签收""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""ask_human"", ""description"": ""使用这个工具向用户发起提问用来补充信息，当发现调用的工具缺少必填信息时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""inquire"": {""type"": ""string"", ""description"": ""想要向用户提问的问题""}}, ""required"": [""inquire""]}}},{""type"": ""function"", ""function"": {""name"": ""get_reference_info"", ""description"": ""获取关于指代信息的详细内容，当发现用户输入的内容包含指代实体时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""entity"": {""type"": ""string"", ""description"": ""用户输入内容中的指代实体，如'我家','公司','爸爸','妈妈'等""}}, ""required"": [""entity""]}}},{""type"": ""function"", ""function"": {""name"": ""not_support"", ""description"": ""针对无正确可用工具场景，提示用户当前功能不支持"", ""parameters"": {}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在淘宝中查看已签收的快递","[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]","[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]",3.637828826904297,1,1,1,1,1,100.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""有货"", ""失效"", ""7天内"", ""30天内"", ""90天内"", ""半年前""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在唯品会中查看收藏的宝贝","[['1', 'open_favorite_goods(app=""唯品会"", order_type=""无"", filter_type=""无"")']]","[['1', 'open_favorite_goods(app=""唯品会"")']]",2.6169559955596924,1,0,0,1,0,100.0,33.33333333333333,50.0,100.0,,,,,,,,
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""open_logistics_receive"", ""description"": ""打开显示已购商品信息的界面，查看相关物流信息，并根据物流情况进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在订单界面依据物流情况进行筛选的筛选条件"", ""enum"": [""无""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在阿里巴巴中查看货的物流信息","[['1', 'open_logistics_receive(app=""阿里巴巴"", filter_type=""无"")']]","[['1', 'open_logistics_receive(app=""阿里巴巴"", filter_type=""无"")']]",3.0400922298431396,1,1,1,1,1,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""search_in_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在店铺收藏夹中具体应用的筛选条件"", ""enum"": [""无""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""低价补货"", ""买过""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在阿里巴巴中显示收藏里买过的东西","[['1', 'open_favorite_goods(app=""阿里巴巴"", order_type=""无"", filter_type=""买过"")']]","[['1', 'open_favorite_goods(app=""阿里巴巴"", filter_type=""买过"", order_type=""无"")']]",3.9253346920013428,1,1,0,1,1,100.0,100.0,100.0,100.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""search_in_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在店铺收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""直播"", ""上新"", ""特别关注""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""已买过"", ""低库存"", ""失效"", ""7天内"", ""30天内"", ""90天内"", ""半年前"", ""一年前""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无"", ""最近收藏在前"", ""最早收藏在前""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在淘宝中查看特别关注的店铺","[['1', 'open_favorite_stores(app=""淘宝"", filter_type=""特别关注"")']]","[['1', 'open_favorite_stores(app=""淘宝"", filter_type=""特别关注"")']]",3.1124091148376465,1,1,1,1,1,100.0,100.0,100.0,100.0,100.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""有货"", ""失效"", ""7天内"", ""30天内"", ""90天内"", ""半年前""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无""]}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在唯品会中查看收藏中的卡通卫衣","[['1', 'search_in_favorite_goods(app=""唯品会"", search_info=""卡通卫衣"")']]","[['1', 'open_favorite_goods(app=""唯品会"", filter_type=""无"", order_type=""无"")'], ['2', 'search_in_favorite_goods(app=""唯品会"", search_info=""卡通卫衣"")']]",7.585306406021118,1,0,0,0,0,0.0,0.0,0.0,,,,,,,,,
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_in_favorite_goods"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""search_in_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_stores"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在店铺收藏夹中具体应用的筛选条件"", ""enum"": [""无""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_favorite_goods"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""filter_type"": {""type"": ""string"", ""description"": ""在商品收藏夹中具体应用的筛选条件"", ""enum"": [""无"", ""降价"", ""低价补货"", ""买过""]}, ""order_type"": {""type"": ""string"", ""description"": ""查看商品收藏夹时使用的商品排列方式"", ""enum"": [""无""]}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""ask_human"", ""description"": ""使用这个工具向用户发起提问用来补充信息，当发现调用的工具缺少必填信息时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""inquire"": {""type"": ""string"", ""description"": ""想要向用户提问的问题""}}, ""required"": [""inquire""]}}},{""type"": ""function"", ""function"": {""name"": ""get_reference_info"", ""description"": ""获取关于指代信息的详细内容，当发现用户输入的内容包含指代实体时非常有用。"", ""parameters"": {""type"": ""object"", ""properties"": {""entity"": {""type"": ""string"", ""description"": ""用户输入内容中的指代实体，如'我家','公司','爸爸','妈妈'等""}}, ""required"": [""entity""]}}},{""type"": ""function"", ""function"": {""name"": ""not_support"", ""description"": ""针对无正确可用工具场景，提示用户当前功能不支持"", ""parameters"": {}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在阿里巴巴中查看收藏里的有机肥料","[['1', 'search_in_favorite_goods(app=""阿里巴巴"", search_info=""有机肥料"")']]","[['1', 'open_favorite_goods(app=""阿里巴巴"", filter_type=""无"", order_type=""无"")'], ['2', 'search_in_favorite_goods(app=""阿里巴巴"", search_info=""有机肥料"")']]",6.847909688949585,1,0,0,0,0,0.0,0.0,0.0,,,,,,,,,
"你是一个智能助手，专门负责调用各种工具来帮助用户解决问题。你可以根据用户的需求选择一个或多个合适的工具并正确调用它们。
 在<tools></tools>标签中为你提供了详细的工具列表。
 
 <tools>
 {""type"": ""function"", ""function"": {""name"": ""search_goods"", ""description"": ""在app程序中依据名称搜索商品，可以指定搜索结果的排序方式"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}, ""order_type"": {""type"": ""string"", ""description"": ""搜索结果的排列方式"", ""enum"": [""无"", ""综合 "", ""销量"", ""价格从低到高"", ""价格从高到低""]}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""search_stores"", ""description"": ""在app程序中依据名称搜索店铺，可以使用筛选器限制搜索结果，也可以指定搜索结果的排序方式"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}, ""search_info"": {""type"": ""string"", ""description"": ""搜索的具体内容""}, ""filter_type"": {""type"": ""string"", ""description"": ""对搜索结果进行筛选的条件"", ""enum"": [""无""]}, ""order_type"": {""type"": ""string"", ""description"": ""搜索结果的排列方式"", ""enum"": [""无""]}}, ""required"": [""app"", ""search_info""]}}},{""type"": ""function"", ""function"": {""name"": ""open_search_history"", ""description"": ""打开app程序的搜索历史界面"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""delete_search_history"", ""description"": ""清除app中的搜索历史"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}}, ""required"": [""app""]}}},{""type"": ""function"", ""function"": {""name"": ""open_camera_search"", ""description"": ""打开app程序的图片搜索功能"", ""parameters"": {""type"": ""object"", ""properties"": {""app"": {""type"": ""string"", ""description"": ""app应用程序的名称""}}, ""required"": [""app""]}}}
 </tools>
 
 针对用户给你的每个问题或任务，你必须输出DSL格式的工具调用结果，示例如下：
 [['1', '工具名称1(参数1=""参数值1"", 参数2=""参数值2"")'], ['2', '工具名称2(参数1=""参数值1"")']]
 
 用户的问题或任务是:""在天猫中查看DIY手工材料并按价格从低到高排序","[['1', 'search_goods(app=""天猫"", search_info=""DIY手工材料"", order_type=""价格从低到高"")']]","[['1', 'search_goods(app=""天猫"", search_info=""DIY手工材料"", order_type=""价格从低到高"")']]",4.989197492599487,1,1,1,1,1,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
