类型,轮次,query,plan,reply,assistant,assistant-泛化,随机,app,大类,origin_instruct,instruct（保证这列的指令都为815指令集里的）,责任人,tag,指令复核人（L列）
单轮-拒识-单任务,1,放一首晴天,在$$中播放晴天,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,用滴滴帮我叫个快车,在$滴滴$中叫个快车,error,好的,,0,滴滴,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,嘿Siri，帮我看一下外面天气怎么样,在$$中查天气,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,帮我订张去南京的机票,在$$中订一张去南京的机票,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,打开高德，我要导航去景德镇玩,在$高德$中导航到景德镇,error,好的,,0,高德,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,看一下我建行卡号是多少,在$$中查看建行卡号,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,打开墨迹天气，帮我看一下未来一周下不下雨,在$墨迹天气$中查看未来一周降雨预测,error,好的,,0,墨迹天气,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,打开中国移动，我要充话费,在$中国移动$中充话费,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,我想吃全家桶，打开肯德基购买,在$肯德基$中购买全家桶,error,好的,,0,肯德基,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,打开支付宝的花呗看一下额度,在$支付宝$中查看花呗额度,error,好的,,0,支付宝,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,我要玩微信里的跳一跳小程序,在$微信$中打开跳一跳小程序,error,好的,,0,微信,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,嘿Siri，播放薛之谦的其实,在$$中播放薛之谦的其实,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,打开王者荣耀到训练营里面去我要练习,在$王者荣耀$中打开训练营,error,好的,,0,王者荣耀,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,用携程帮我订张去日本的机票,在$携程$中订张去日本的机票,error,好的,,0,携程,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,用支付宝帮我查看银行卡号,在$支付宝$中查看银行卡号,error,好的,,0,支付宝,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,帮我在王者营地里打开英雄教学,在$王者营地$中打开英雄教学,error,好的,,0,王者营地,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,看一下还剩多少钱,在$$中查看余额,error,好的,,0,,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,帮我打开喜马拉雅，我要听书,在$喜马拉雅$中听书,error,好的,,0,喜马拉雅,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,我要去西湖游船，帮我在高德地图中看看西湖附近景点,在$高德地图$中查看西湖附近景点,error,好的,,0,高德地图,未知,,未知,刘鹏,,于玺
单轮-拒识-单任务,1,yoyo，打开网易云随机播放歌曲,在$网易云$中随机播放歌曲,error,好的,,0,网易云,未知,,未知,刘鹏,,于玺
