user_input,ground_truth_output,model_output,overall_correct,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1,rouge_2,rouge_l,gt_categories,model_categories,category_correct,gt_app_names,model_app_names,app_name_correct,delay_seconds
我在抖音里怎么签到领积分？,<Plan>#签到#在$抖音$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音'],['抖音'],1,0.7952
帮我查一下抖音视频里的签到领积分活动在哪。,<Plan>#签到#在$抖音$中查看签到领积分活动</Plan><Finish>,<Plan>#签到#在$抖音$中查看视频里的签到领积分活动</Plan><Finish>,0,0.9091,0.8837,0.8571,0.8293,0.9286,0.9167,0.9524,['签到'],['签到'],1,['抖音'],['抖音'],1,1.0523
在抖音极速版里怎么找到赚钱任务签到领金币？,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查找赚钱任务签到领金币</Plan><Finish>,0,0.9778,0.9545,0.9302,0.9048,0.9677,0.9487,0.9778,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.0803
怎么找到抖音极速版中签到领金币的赚钱任务？,<Plan>#签到#在$抖音极速版$中签到领金币的赚钱任务</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查找签到领金币的赚钱任务</Plan><Finish>,0,0.9565,0.9333,0.9091,0.8837,0.9677,0.9487,0.9778,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.1627
抖音极速版签到领积分在哪儿？,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,0.9138
帮我去极速版抖音里签个到领积分。,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,0.9134
快手里怎么打开任务中心签到领红包？,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手'],['快手'],1,0.9421
在快手app中如何打开任务中心签到领红包？,<Plan>#签到#在$快手$中查看任务中心签到并领取红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,0,0.9524,0.8780,0.8250,0.7692,0.8929,0.8378,0.9302,['签到'],['签到'],1,['快手'],['快手'],1,0.9412
快手极速版里怎么打开去赚钱签到领金币？,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.0800
帮我打开极速版快手的去赚钱页面，我要签到领金币。,<Plan>#签到#在$快手极速版$中打开去赚钱页面去签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱页面签到领金币</Plan><Finish>,0,1.0000,0.9778,0.9545,0.9302,1.0000,0.9630,0.9892,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.1626
拼多多里怎么签到啊？,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.7177
帮我打开拼夕夕的签到页面。,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.7945
淘宝签到领淘金币的活动在哪里能找到？,<Plan>#签到#在$淘宝$中查看签到领淘金币的活动</Plan><Finish>,<Plan>#签到#在$淘宝$中查找签到领淘金币活动</Plan><Finish>,0,0.9756,0.9250,0.8718,0.8158,0.9434,0.9014,0.9639,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9413
帮我去淘宝网参与今天的签到领金币活动。,<Plan>#签到#在$淘宝$中参与今天的签到领金币活动</Plan><Finish>,<Plan>#签到#在$淘宝$中参与签到领金币活动</Plan><Finish>,0,1.0000,0.9744,0.9474,0.9189,0.9455,0.9296,0.9639,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9122
帮我打开淘宝网的红包签到页面。,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.8217
淘宝商城每天签到领红包在哪里操作？,<Plan>#签到#在$淘宝$中每天签到领红包</Plan><Finish>,<Plan>#签到#在$淘宝$中每天签到领红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.8212
