category,app_name,instruction_template,final_query,槽位信息,is_train,模型输出,模型输出_csv,,,,,,,,
签到,抖音,在抖音中签到领积分,我在抖音里怎么签到领积分？,无,0,<Plan>#签到#在$抖音$中打开签到领积分页面</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音中打开签到领积分页面,签到,抖音",,,,,,,,
签到,抖音,在抖音中签到领积分,YoYo，帮我查一下抖音视频里怎么每天签到赚积分。,无,1,<Plan>#签到#在$抖音$中签到赚积分</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音中签到赚积分,签到,抖音",,,,,,,,
签到,抖音,在抖音中签到领积分,抖音能连续签到兑换优惠券吗？,无,1,<Plan>#签到#在$抖音$中连续签到</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音中连续签到,签到,抖音",,,,,,,,
签到,抖音,在抖音中签到领积分,教我在dy上完成每日签到领取积分的任务吧！,无,0,<Plan>#签到#在$抖音$中完成每日签到领取积分</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音中完成每日签到领取积分,签到,抖音",,,,,,,,
签到,抖音,在抖音中签到领积分,抖音短视频那个APP签到送的积分怎么用啊？,无,0,<Plan>#签到#在$抖音$中查看签到积分用途</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音中查看签到积分用途,签到,抖音",,,,,,,,
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,在抖音极速版里怎么找到赚钱任务签到领金币的入口？,无,1,<Plan>#签到#在$抖音极速版$中找到赚钱任务签到领金币的入口</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音极速版中找到赚钱任务签到领金币的入口,签到,抖音极速版",,,,,,,,
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,YOYO，帮我打开抖音极速版里的签到领金币任务。,无,1,<Plan>#签到#在$抖音极速版$中打开签到领金币</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音极速版中打开签到领金币,签到,抖音极速版",,,,,,,,
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,抖音极速版里面的赚钱任务签到领金币在哪里呀？,无,0,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音极速版中查看赚钱任务签到领金币,签到,抖音极速版",,,,,,,,
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,快告诉我抖音极速版签到领金币的任务在哪！,无,0,<Plan>#签到#在$抖音极速版$中打开签到领金币</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音极速版中打开签到领金币,签到,抖音极速版",,,,,,,,
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,YOYO，抖音极速版有没有每日签到领金币的任务？,无,0,<Plan>#签到#在$抖音极速版$中查看签到领金币任务</Plan><Finish>,"taskId,task,category,app_name
 1,在抖音极速版中查看签到领金币任务,签到,抖音极速版",,,,,,,,
