query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999809265137,"open_logistics_receive(app, filter_type)",0.9291258534776776,"call_order_courier(app, search_info_slot)",0.8934231534299306,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.82473162339792,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8237061861676019,"open_order_tracking_number(app, search_info_slot)",0.8200492521795684,"open_orders_bought(app, order_status, filter_detail_slot)",0.8075104328944702,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7941020801678089,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7792405109210336,"manage_order_logistics_status(app, search_info_slot, action_type)",0.770462718293091
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9903330210412198,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9499313640594482,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8548462858852626,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.846561546973357,"open_customer_service(app, order_slot, store_slot)",0.8163051393115003,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7948443924478732,"add_into_favorite_stores(app, search_info_slot)",0.7929221370260908,"open_orders_bought(app, order_status, filter_detail_slot)",0.7880981828990817,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7823295041110807,"add_into_favorite_goods(app, search_info_slot)",0.7752222384643355
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9942509341239929,"open_goods_page(app, search_info_slot, page_type)",0.9136759990721581,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8561375857950835,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8051975325584313,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7973896278041619,"open_customer_service(app, order_slot, store_slot)",0.7464523050536174,"add_into_favorite_stores(app, search_info_slot)",0.7458006272948009,"open_orders_bought(app, order_status, filter_detail_slot)",0.7310206835917579,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7302688858913629,open_camera_search(app),0.7185422702141007
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9999999809265137,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9735474732518309,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8496039139393401,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8445838718956309,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8042207375542642,"open_customer_service(app, order_slot, store_slot)",0.7972989394333896,"add_into_favorite_stores(app, search_info_slot)",0.7880196222066185,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7853924878561805,"add_into_favorite_goods(app, search_info_slot)",0.7748277253819476,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7440731581207621
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","open_goods_page(app, search_info_slot, page_type)",0.9921093392372131,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9918117680229985,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8666367092969808,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8594215198489391,"open_logistics_receive(app, filter_type)",0.829272458129978,"open_customer_service(app, order_slot, store_slot)",0.8263218005772357,"open_orders_bought(app, order_status, filter_detail_slot)",0.819133827958155,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8137860284969347,"add_into_favorite_stores(app, search_info_slot)",0.8088617094811932,"open_order_tracking_number(app, search_info_slot)",0.8060686948188681
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999809265137,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8866257758739574,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8825125129471928,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8586324467031301,"open_customer_service(app, order_slot, store_slot)",0.8554798279061462,"call_order_courier(app, search_info_slot)",0.8482007264034749,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8479344375919229,"add_into_favorite_stores(app, search_info_slot)",0.845048601258406,"open_goods_page(app, search_info_slot, page_type)",0.8433196443933015,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8422420877200822
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9742153394222259,"open_goods_page(app, search_info_slot, page_type)",0.9458438105539073,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8748388899950001,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8576230638216091,"open_cart_content(app, filter_type, filter_detail_slot)",0.8208172487195571,"open_customer_service(app, order_slot, store_slot)",0.8195289906897725,"add_into_favorite_stores(app, search_info_slot)",0.8158751892828303,"search_cart_content(app, search_info_slot)",0.7779502111161516,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7772041420263218,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7743900956791516
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9807191896438598,"open_goods_page(app, search_info_slot, page_type)",0.8784923002705274,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8273216976477469,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7900282837096564,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7899384493319191,"open_cart_content(app, filter_type, filter_detail_slot)",0.7516025461795521,"open_customer_service(app, order_slot, store_slot)",0.7493606111031479,"add_into_favorite_stores(app, search_info_slot)",0.743163884659869,"search_cart_content(app, search_info_slot)",0.7213565810261551,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7192158833300928
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9899833011627197,"open_goods_page(app, search_info_slot, page_type)",0.9629714956326545,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8649631156114552,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8465305626904783,"open_customer_service(app, order_slot, store_slot)",0.8080170986094655,"add_into_favorite_stores(app, search_info_slot)",0.7992603349470454,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7826086225193616,"search_cart_content(app, search_info_slot)",0.7767751949513719,"open_order_tracking_number(app, search_info_slot)",0.7724189237680835,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7687309939578861
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","open_goods_page(app, search_info_slot, page_type), add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9923101472854614,"open_goods_page(app, search_info_slot, page_type)",0.9425981917990571,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8681186140226593,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.863497757353689,"open_cart_content(app, filter_type, filter_detail_slot)",0.837452857496397,"open_customer_service(app, order_slot, store_slot)",0.8161818974613883,"add_into_favorite_stores(app, search_info_slot)",0.8088394747969618,"search_cart_content(app, search_info_slot)",0.808438508720718,"open_logistics_receive(app, filter_type)",0.8054591293394362,"open_order_tracking_number(app, search_info_slot)",0.8020780214402583
