query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9625686864104052,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9575618971304303,"add_into_favorite_goods(app, search_info_slot)",0.9489434224152138,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9479360924902723,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.9453269290311679,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.942255379991991,open_search_history(app),0.926030746383184,open_camera_search(app),0.9068727322566007,"search_cart_content(app, search_info_slot)",0.9004268387316166,"search_in_favorite_stores(app, search_info_slot)",0.8922252678091135
在抖音的商城中快速找到“智能手表”,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9875642348770122,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9809748652046818,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9804752265946041,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.97598820799368,"add_into_favorite_goods(app, search_info_slot)",0.9666137465258622,"open_goods_page(app, search_info_slot, page_type)",0.953981454372406,"search_cart_content(app, search_info_slot)",0.9485301132212243,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9481064112750051,"search_in_favorite_stores(app, search_info_slot)",0.9472229677128264,open_camera_search(app),0.9427443698723296
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",open_camera_search(app),0.9999999952316284,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9784362535597821,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9414057744913918,"search_in_favorite_stores(app, search_info_slot)",0.9241911644285701,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9008876035115665,"add_into_favorite_goods(app, search_info_slot)",0.8983518421941254,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8845678720816958,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8733122317591688,open_search_history(app),0.8655198069149043,"search_cart_content(app, search_info_slot)",0.8483378081750256
在抖音上搜索一下商城店铺，关键词是户外露营装备。,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9999999952316284,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9493866260444633,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9438072458603814,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9430737578147093,"search_in_favorite_stores(app, search_info_slot)",0.9237528249498781,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9044436967610766,"add_into_favorite_goods(app, search_info_slot)",0.8989750660709535,"search_cart_content(app, search_info_slot)",0.8844277824097422,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.0809981060520902,"open_favorite_stores(app, filter_type)",0.0512920464611292
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9557217829738381,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9424816918373108,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9234126717539085,"add_into_favorite_goods(app, search_info_slot)",0.897659461079235,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8810982760938484,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8781374410939884,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8692746919609248,open_search_history(app),0.861263552646437,"search_in_favorite_stores(app, search_info_slot)",0.8465510931762572,"search_delivery_time(app, search_info_slot, address_slot)",0.8265573695462931
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9837873452220681,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.965139741897583,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9062650114984764,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8952819165738899,"add_into_favorite_goods(app, search_info_slot)",0.8951255484205436,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8896232561422062,"search_in_favorite_stores(app, search_info_slot)",0.8614753213676329,"search_cart_content(app, search_info_slot)",0.8388831885856565,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.0536120099044978,"open_orders_sold(app, order_status, filter_detail_slot)",0.039507248513783726
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9445628476142883,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9370270133401045,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9365882649567082,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9191407698090797,"add_into_favorite_goods(app, search_info_slot)",0.9097826310398485,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8957992675159863,"search_in_favorite_stores(app, search_info_slot)",0.8797241420856626,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8553705779372933,open_camera_search(app),0.8536475738653097,open_search_history(app),0.84961326348491
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999952316284,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9660923740195961,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9155267405021155,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.901536908861258,"add_into_favorite_goods(app, search_info_slot)",0.8827332205084439,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8713633050792461,"search_cart_content(app, search_info_slot)",0.8588967548743859,"search_in_favorite_stores(app, search_info_slot)",0.8380997530114478,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.0726745376443198,"open_orders_bought(app, order_status, filter_detail_slot)",0.044794314371993375
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.944887752532959,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9415270497923217,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9344754737121133,"add_into_favorite_goods(app, search_info_slot)",0.88576833611222,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.883506339003407,open_search_history(app),0.8726669323741101,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8605038696781168,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8580586585580625,"search_in_favorite_stores(app, search_info_slot)",0.8553521150034175,"search_cart_content(app, search_info_slot)",0.8178604412012922
在抖音上搜一下人气最高的瑜伽装备店铺。,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9619488072395325,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9493825566476245,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9171863388399887,"search_in_favorite_stores(app, search_info_slot)",0.9139535041724204,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.905365032746869,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9014918019088005,"add_into_favorite_goods(app, search_info_slot)",0.8982449543601613,"search_cart_content(app, search_info_slot)",0.8674735072318209,"search_delivery_time(app, search_info_slot, address_slot)",0.8422466380221965,"open_favorite_stores(app, filter_type)",0.06562058001376532
