query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,在抖音商城中查看“复古风家居装饰”的商品,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9688072188071226,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.966946605790286,open_search_history(app),0.9636769421255538,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9501189580324793,"add_into_favorite_goods(app, search_info_slot)",0.9333019440193615,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9234968909574189,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9211172082666413,open_camera_search(app),0.9084439830769676,"search_cart_content(app, search_info_slot)",0.8923147005636244,"open_cart_content(app, filter_type, filter_detail_slot)",0.8808310020838644
在抖音的商城中快速找到“智能手表”,在抖音中的商城查找“智能手表”,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9896368425292952,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9462793657661923,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9367537202492272,"add_into_favorite_goods(app, search_info_slot)",0.9284213788327396,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9213875561568448,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9200141158176262,"search_cart_content(app, search_info_slot)",0.9191403881717193,open_search_history(app),0.9142850850871206,open_camera_search(app),0.896296626634,"search_delivery_time(app, search_info_slot, address_slot)",0.8950474935311595
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,在抖音中查找卖复古相机配件的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9893469596010066,open_camera_search(app),0.9570733666419983,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9370839209501629,"add_into_favorite_goods(app, search_info_slot)",0.8805126597726721,"search_in_favorite_stores(app, search_info_slot)",0.8780717249169765,open_search_history(app),0.8760525362138769,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8718604006288404,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8656308579730482,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8490120245846925,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8341964828208787
在抖音上搜索一下商城店铺，关键词是户外露营装备。,在抖音中搜索商城店铺，关键词是户外露营装备,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.936282735375798,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9324174470036818,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9083891977265013,"add_into_favorite_goods(app, search_info_slot)",0.898317310317688,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8926556537746928,"search_in_favorite_stores(app, search_info_slot)",0.8808003999190676,"search_cart_content(app, search_info_slot)",0.874505626255733,open_search_history(app),0.8606513106240925,"open_goods_page(app, search_info_slot, page_type)",0.8172937469124433
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,在抖音中查找卖复古风首饰的店铺并按综合排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9820313646821779,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9450050354003906,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9361772065933754,"add_into_favorite_goods(app, search_info_slot)",0.8877118564133802,open_search_history(app),0.8805277375219586,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8736532592237553,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8714772001088609,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8687861807770595,"search_in_favorite_stores(app, search_info_slot)",0.8249767792847849,"search_delivery_time(app, search_info_slot, address_slot)",0.8177741828198225
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,在抖音中查找并按综合排序卖户外露营装备的店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9864894344835085,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9390931487083435,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8942217951592019,"add_into_favorite_goods(app, search_info_slot)",0.8616561627869764,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8583266996801456,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8564751394219264,"search_in_favorite_stores(app, search_info_slot)",0.813922203841517,"search_delivery_time(app, search_info_slot, address_slot)",0.8046343388790876,"search_cart_content(app, search_info_slot)",0.7994603342647499,open_search_history(app),0.7891040472028973
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,在抖音中的商城店铺查找‘复古风家居装饰’按销量优先,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.958860665591648,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9538092426580153,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9503564596176147,open_search_history(app),0.9024885713036481,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8897911126163208,"add_into_favorite_goods(app, search_info_slot)",0.8876698570452055,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.879725903459265,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8475586943874163,"search_in_favorite_stores(app, search_info_slot)",0.8465291039241281,"search_cart_content(app, search_info_slot)",0.8407255912839653
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,在抖音中的商城查看‘户外运动装备’按销量排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999999761581421,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8982224283059216,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.849361253377678,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8400306343624959,open_search_history(app),0.8145148194744101,"add_into_favorite_goods(app, search_info_slot)",0.8126255825582045,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8108444503838027,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8081045819380482,"open_orders_bought(app, order_status, filter_detail_slot)",0.807964975028775,"search_cart_content(app, search_info_slot)",0.8073512205594096
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,在抖音中查找卖复古风首饰的店铺按热度排序,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9672628881637522,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9514242172241211,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9453962082252128,"add_into_favorite_goods(app, search_info_slot)",0.892950788185761,open_search_history(app),0.8922167927274027,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8896957778349213,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8711176062835065,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8672473358759712,"search_in_favorite_stores(app, search_info_slot)",0.8576090628638454,"search_cart_content(app, search_info_slot)",0.8225622514828731
在抖音上搜一下人气最高的瑜伽装备店铺。,在抖音中搜索人气最高的瑜伽装备店铺,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9714311867708678,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.9565276265144348,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9064370748023834,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9037542799595832,"add_into_favorite_goods(app, search_info_slot)",0.8886633028691295,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.880543146672505,"search_in_favorite_stores(app, search_info_slot)",0.8757286942729154,"search_cart_content(app, search_info_slot)",0.8477809034340492,"search_delivery_time(app, search_info_slot, address_slot)",0.8175775891230604,open_search_history(app),0.8168169334292206
