user_input,ground_truth_output,model_output,overall_correct,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1,rouge_2,rouge_l,gt_categories,model_categories,category_correct,gt_app_names,model_app_names,app_name_correct,delay_seconds
我在抖音里怎么签到领积分？,<Plan>#签到#在$抖音$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音$中查看签到领积分</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9565,0.9355,0.9730,['签到'],['签到'],1,['抖音'],['抖音'],1,0.8405
帮我查一下抖音视频里的签到领积分活动在哪。,<Plan>#签到#在$抖音$中查看签到领积分活动</Plan><Finish>,<Plan>#签到#在$抖音$中查看签到领积分活动</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音'],['抖音'],1,0.8687
在抖音极速版里怎么找到赚钱任务签到领金币？,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.1056
怎么找到抖音极速版中签到领金币的赚钱任务？,<Plan>#签到#在$抖音极速版$中签到领金币的赚钱任务</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看签到领金币的赚钱任务</Plan><Finish>,0,0.9565,0.9333,0.9091,0.8837,0.9677,0.9487,0.9778,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.1324
抖音极速版签到领积分在哪儿？,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看签到领积分</Plan><Finish>,0,0.9512,0.9250,0.8974,0.8684,0.9615,0.9412,0.9750,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,0.9717
帮我去极速版抖音里签个到领积分。,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,0.8687
快手里怎么打开任务中心签到领红包？,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手'],['快手'],1,0.9710
在快手app中如何打开任务中心签到领红包？,<Plan>#签到#在$快手$中查看任务中心签到并领取红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,0,0.9524,0.8780,0.8250,0.7692,0.8929,0.8378,0.9302,['签到'],['签到'],1,['快手'],['快手'],1,0.9703
快手极速版里怎么打开去赚钱签到领金币？,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.1054
帮我打开极速版快手的去赚钱页面，我要签到领金币。,<Plan>#签到#在$快手极速版$中打开去赚钱页面去签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱页面并签到领金币</Plan><Finish>,0,0.9787,0.9565,0.9333,0.9091,0.9846,0.9512,0.9787,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.2142
拼多多里怎么签到啊？,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,<Plan>#签到#在$拼多多$中查看签到</Plan><Finish>,0,0.9444,0.9143,0.8824,0.8485,0.9500,0.9310,0.9714,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.7368
帮我打开拼夕夕的签到页面。,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.7633
淘宝签到领淘金币的活动在哪里能找到？,<Plan>#签到#在$淘宝$中查看签到领淘金币的活动</Plan><Finish>,<Plan>#签到#在$淘宝$中查看签到领淘金币的活动</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9994
帮我去淘宝网参与今天的签到领金币活动。,<Plan>#签到#在$淘宝$中参与今天的签到领金币活动</Plan><Finish>,<Plan>#签到#在$淘宝$中参与今天的签到领金币活动</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9706
帮我打开淘宝网的红包签到页面。,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.8393
淘宝商城每天签到领红包在哪里操作？,<Plan>#签到#在$淘宝$中每天签到领红包</Plan><Finish>,<Plan>#签到#在$淘宝$中查看签到领红包</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9167,0.9062,0.9474,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.8383
京东签到领京豆的活动在哪里能找到？,<Plan>#签到#在$京东$中查看签到领京豆活动</Plan><Finish>,<Plan>#签到#在$京东$中查看签到领京豆的活动</Plan><Finish>,0,0.9756,0.9500,0.9231,0.8947,0.9804,0.9565,0.9877,['签到'],['签到'],1,['京东'],['京东'],1,1.0007
帮我去京东商城完成今天的签到领取京豆任务。,<Plan>#签到#在$京东$中完成今天的签到领取京豆任务</Plan><Finish>,<Plan>#签到#在$京东$中完成今天的签到领取京豆任务</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['京东'],['京东'],1,0.9740
天猫现在有什么领现金的活动吗？,<Plan>#签到#在$天猫$中搜索领现金活动</Plan><Finish>,<Plan>#签到#在$天猫$中查看领现金活动</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9231,0.9091,0.9474,['签到'],['签到'],1,['天猫'],['天猫'],1,0.7899
帮我去天猫商城看看有没有可以领取现金红包的地方。,<Plan>#签到#在$天猫$中查看现金红包</Plan><Finish>,<Plan>#签到#在$天猫$中查看现金红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['天猫'],['天猫'],1,0.7603
天猫今天还能领福气红包吗？,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中查看今天还能领福气红包</Plan><Finish>,0,0.8810,0.8537,0.8250,0.7949,0.9259,0.8986,0.9367,['签到'],['签到'],1,['天猫'],['天猫'],1,0.9253
帮我去天猫商城看看有没有福气红包可以领。,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['天猫'],['天猫'],1,0.7606
闲鱼怎么签到才能领到闲鱼币啊？,<Plan>#签到#在$闲鱼$中签到领闲鱼币</Plan><Finish>,<Plan>#签到#在$闲鱼$中查看签到领闲鱼币</Plan><Finish>,0,0.9487,0.9211,0.8919,0.8611,0.9545,0.9355,0.9737,['签到'],['签到'],1,['闲鱼'],['闲鱼'],1,0.9870
帮我去闲鱼市场完成每日签到，领取闲鱼币。,<Plan>#签到#在$闲鱼$中完成每日签到领取闲鱼币</Plan><Finish>,<Plan>#签到#在$闲鱼$中完成每日签到，领取闲鱼币</Plan><Finish>,0,0.9767,0.9524,0.9268,0.9000,0.9811,0.9577,0.9882,['签到'],['签到'],1,['闲鱼'],['闲鱼'],1,1.1126
火山小视频里怎么签到领火苗啊？,<Plan>#签到#在$抖音火山版$中签到领取火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中查看签到领火苗</Plan><Finish>,0,0.9512,0.9000,0.8462,0.7895,0.9412,0.8986,0.9630,['签到'],['签到'],1,['抖音火山版'],['抖音火山版'],1,0.9798
帮我打开火山版抖音，我要去签到领火苗。,<Plan>#签到#在$抖音火山版$中打开签到领火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中打开签到领火苗</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音火山版'],['抖音火山版'],1,0.9802
