query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
在抖音的商城搜下卫龙辣条再帮我看下快递送到上海的时间,"在抖音中的商城搜索卫龙辣条
  在抖音中的商城查看快递送到上海的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9733092460378286,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9079164203534912,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9041248126735869,"search_order(app, search_info_slot, order_status)",0.8954179491329712,open_express_delivery(app),0.890949753325793,"add_into_favorite_stores(app, search_info_slot)",0.8886776234874405,"add_into_favorite_goods(app, search_info_slot)",0.8804820215129643,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8753174027065989,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8716689825057984,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.868031652695211
去抖音的商城打开乔丹的评论，再把毛巾加入购物车,"在抖音中的商城打开乔丹的评论
  在抖音中的商城把毛巾加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9622676525425667,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9191219687461853,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9149987964999755,"add_into_favorite_goods(app, search_info_slot)",0.9089009262697493,"add_into_favorite_stores(app, search_info_slot)",0.908874790952656,"open_goods_page(app, search_info_slot, page_type)",0.9035587817796615,"search_cart_content(app, search_info_slot)",0.8905999960799755,"open_cart_content(app, filter_type, filter_detail_slot)",0.8866935261010441,"search_in_favorite_goods(app, search_info_slot)",0.8700412302444955,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.869000880597253
抖音的商城打开螺母的规格再把大号的螺母加入购物车,"在抖音中的商城打开螺母的规格
  在抖音中的商城把大号的螺母加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9722340278784911,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.952014261001008,"search_cart_content(app, search_info_slot)",0.943169476234979,"open_cart_content(app, filter_type, filter_detail_slot)",0.9425403654282752,"add_into_favorite_goods(app, search_info_slot)",0.9203646613727547,"add_into_favorite_stores(app, search_info_slot)",0.8898137267773475,"open_goods_page(app, search_info_slot, page_type)",0.8772032417975326,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8675250291824341,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8587222570565842,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.857661761694318
在抖音的商城打开热水器的参数，在把两台空调加入购物车,"在抖音中的商城打开热水器的参数
  在抖音中的商城把两台空调加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9622676525425667,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9160419969928344,"add_into_favorite_goods(app, search_info_slot)",0.9108153082506453,"open_cart_content(app, filter_type, filter_detail_slot)",0.9055510051965031,"search_cart_content(app, search_info_slot)",0.8827696742911877,"add_into_favorite_stores(app, search_info_slot)",0.8604399970035288,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8489783095103695,"search_in_favorite_goods(app, search_info_slot)",0.8450177102516672,"search_in_favorite_stores(app, search_info_slot)",0.8359948109253835,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8313983744907373
在抖音的商城打开真我gt5手机的详情还要把送到南京的沙发加入了购物车,"在抖音中的商城打开真我gt5手机的详情
  在抖音中的商城把送到南京的沙发加入了购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9639153727676947,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9274382158024567,"open_cart_content(app, filter_type, filter_detail_slot)",0.899430769652671,"open_goods_page(app, search_info_slot, page_type)",0.8899264522161929,"add_into_favorite_goods(app, search_info_slot)",0.8893345429073312,"search_cart_content(app, search_info_slot)",0.8892917649388975,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8809924602508545,"add_into_favorite_stores(app, search_info_slot)",0.8654809054081763,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8408779281905948,"search_in_favorite_goods(app, search_info_slot)",0.8399555422922171
帮我用抖音极速版商城搜一下生日蛋糕，再看看蛋糕送到景明小区的时间是多久,"在抖音极速版中的商城搜索生日蛋糕
  在抖音极速版中的商城查看蛋糕送到景明小区的时间","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type), search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.976381199034081,"search_order(app, search_info_slot, order_status)",0.9453472078797739,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9407091617584229,open_express_delivery(app),0.9287517943761125,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9204542668800728,"add_into_favorite_stores(app, search_info_slot)",0.919103477762426,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9150138796465265,"manage_order_logistics_status(app, search_info_slot, action_type)",0.9030141373772548,"open_special_page(app, page_type)",0.8946115816019387,"add_into_favorite_goods(app, search_info_slot)",0.8860263103604352
打开抖音极速版商城蛋白粉的评论，把瑜伽垫加入购物车,"在抖音极速版中的商城打开蛋白粉的评论
  在抖音极速版中的商城把瑜伽垫加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9640445230354698,"search_cart_content(app, search_info_slot)",0.9505385953930745,"open_cart_content(app, filter_type, filter_detail_slot)",0.9429485395241013,"add_into_favorite_goods(app, search_info_slot)",0.9389294446802652,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9351004838943482,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9289455157347212,"add_into_favorite_stores(app, search_info_slot)",0.9266714980712715,"open_goods_page(app, search_info_slot, page_type)",0.9180921141933326,"search_in_favorite_goods(app, search_info_slot)",0.9117117127254919,"search_in_favorite_stores(app, search_info_slot)",0.8993402578447178
给我在抖音极速版商城打开运动水杯的规格尺寸，再把小号的水杯加入购物车,"在抖音极速版中的商城打开运动水杯的规格尺寸
  在抖音极速版中的商城把小号的水杯加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9752369702496066,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9543221356203617,"open_cart_content(app, filter_type, filter_detail_slot)",0.9453572381794884,"search_cart_content(app, search_info_slot)",0.9381040763772596,"add_into_favorite_stores(app, search_info_slot)",0.9300511034154307,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9162786483764649,"add_into_favorite_goods(app, search_info_slot)",0.9083404623425714,"open_special_page(app, page_type)",0.8912687301635742,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8880219447232937,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8781276803168829
抖音极速版商城打开捷安特自行车的参数数据再帮我将三瓶润滑油加入购物车,"在抖音极速版中的商城打开捷安特自行车的参数数据
  在抖音极速版中的商城将三瓶润滑油加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9729471958642549,"open_cart_content(app, filter_type, filter_detail_slot)",0.9678960039901963,"search_cart_content(app, search_info_slot)",0.9484347302464375,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9148187976904402,"add_into_favorite_goods(app, search_info_slot)",0.9137654024251445,"add_into_favorite_stores(app, search_info_slot)",0.8991000579764236,"open_goods_page(app, search_info_slot, page_type)",0.8804758612941627,"search_in_favorite_goods(app, search_info_slot)",0.870730300791593,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8629702514214863,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8567964315414429
去抖音极速版商城打开乐高赛车的详情再把送到北京的法拉利模型加入购物车,"在抖音极速版中的商城打开乐高赛车的详情
  在抖音极速版中的商城把送到北京的法拉利模型加入购物车","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot), open_goods_page(app, search_info_slot, page_type)","search_cart_content(app, search_info_slot)",0.9746544194139112,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9569876104202424,"open_cart_content(app, filter_type, filter_detail_slot)",0.9566347945988609,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8903481748227118,"add_into_favorite_goods(app, search_info_slot)",0.8798481904423944,"open_goods_page(app, search_info_slot, page_type)",0.8650115175575948,"add_into_favorite_stores(app, search_info_slot)",0.8628781588696849,"search_delivery_time(app, search_info_slot, address_slot)",0.8544813443092585,"search_in_favorite_goods(app, search_info_slot)",0.8508671579286787,"search_in_favorite_stores(app, search_info_slot)",0.8481150299168623
