query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.95736083984375,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.911324898013533,"search_in_favorite_stores(app, search_info_slot)",0.9069926274739942,"add_into_favorite_stores(app, search_info_slot)",0.9014958856049056,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9011520031746163,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9006886792648815,"search_cart_content(app, search_info_slot)",0.8873165730885765,"open_favorite_stores(app, filter_type)",0.8871265277370468,"add_into_favorite_goods(app, search_info_slot)",0.8869606678650149,"open_special_page(app, page_type)",0.8865885423648207
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9533076047897339,"open_goods_page(app, search_info_slot, page_type)",0.9441277026859833,"open_special_page(app, page_type)",0.8407797813415527,"add_into_favorite_goods(app, search_info_slot)",0.8235530401083764,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8182840423678946,"search_in_favorite_stores(app, search_info_slot)",0.817036491113606,"search_in_favorite_goods(app, search_info_slot)",0.812920976702775,"add_into_favorite_stores(app, search_info_slot)",0.8111783469665782,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8098183577308747,"open_favorite_stores(app, filter_type)",0.8057998219353674
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9310137918632295,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9294855443292857,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9263196445117227,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.925263500213623,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8685254050643971,"add_into_favorite_goods(app, search_info_slot)",0.8602523947569665,"add_into_favorite_stores(app, search_info_slot)",0.8574417437065379,"search_in_favorite_goods(app, search_info_slot)",0.8537181506796732,"search_in_favorite_stores(app, search_info_slot)",0.8527990395602613,"search_cart_content(app, search_info_slot)",0.8491948981999036
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9441277026859833,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8893634753322196,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8876891493797302,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.881723553443918,"open_special_page(app, page_type)",0.8411235809326172,"add_into_favorite_goods(app, search_info_slot)",0.8347342754217919,"search_cart_content(app, search_info_slot)",0.8274345536945935,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8216854525955251,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8108316581996644,"add_into_favorite_stores(app, search_info_slot)",0.8095146621216075
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9600888252258301,"open_goods_page(app, search_info_slot, page_type)",0.9200421189439102,"add_into_favorite_stores(app, search_info_slot)",0.9022925699699657,"add_into_favorite_goods(app, search_info_slot)",0.9005085969778832,"open_special_page(app, page_type)",0.8999999761581421,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8753913347969148,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8727049307918143,"search_in_favorite_stores(app, search_info_slot)",0.8645959908542066,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8637066675575307,"open_favorite_stores(app, filter_type)",0.8610694805008886
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999761581421,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8667819634955395,"manage_order_logistics_status(app, search_info_slot, action_type)",0.8186060582204692,"open_logistics_receive(app, filter_type)",0.8156600979160521,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8153017809703067,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7995052214664908,"open_order_tracking_number(app, search_info_slot)",0.7878480664948071,"search_cart_content(app, search_info_slot)",0.7796765202275195,"open_orders_bought(app, order_status, filter_detail_slot)",0.7765924136058404,"open_orders_release(app, order_status)",0.7701699423694086
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.945739917789725,"search_cart_content(app, search_info_slot)",0.912431003831683,"open_cart_content(app, filter_type, filter_detail_slot)",0.9114481965572868,"add_into_favorite_goods(app, search_info_slot)",0.9005350460378787,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8433405518531799,"add_into_favorite_stores(app, search_info_slot)",0.8400376055561821,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8397673735009736,"search_in_favorite_goods(app, search_info_slot)",0.8152255712833271,"search_in_favorite_stores(app, search_info_slot)",0.8051542170100772,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7813468792783089
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9495978507387797,"open_cart_content(app, filter_type, filter_detail_slot)",0.9056322006026467,"search_cart_content(app, search_info_slot)",0.8952346103047103,"add_into_favorite_goods(app, search_info_slot)",0.8807663562165576,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8648944301844784,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8334893345832824,"add_into_favorite_stores(app, search_info_slot)",0.8209978227933384,"search_in_favorite_goods(app, search_info_slot)",0.8079855412390143,"search_in_favorite_stores(app, search_info_slot)",0.7884860532027591,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7829920613685628
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9495978507387797,"open_cart_content(app, filter_type, filter_detail_slot)",0.9012547758856972,"search_cart_content(app, search_info_slot)",0.8880428330754012,"add_into_favorite_goods(app, search_info_slot)",0.8839493038522083,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8658068580867001,"add_into_favorite_stores(app, search_info_slot)",0.8468302970250584,"search_in_favorite_stores(app, search_info_slot)",0.8460381524306644,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8352056503295898,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8345522844711324,"search_in_favorite_goods(app, search_info_slot)",0.8173457354452521
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9495978507387797,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8779464721679687,"add_into_favorite_goods(app, search_info_slot)",0.871279263721593,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8707325859309384,"add_into_favorite_stores(app, search_info_slot)",0.8462725763638951,"search_in_favorite_stores(app, search_info_slot)",0.8404179112655032,"open_cart_content(app, filter_type, filter_detail_slot)",0.8392007378379067,"search_cart_content(app, search_info_slot)",0.834231640562889,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8291350567260762,"search_in_favorite_goods(app, search_info_slot)",0.8211777776625068
