query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
帮我打开抖音极速版，在商城里搜一下运动鞋。,在抖音中的商城搜索运动鞋,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9999618869268769,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9554311857104512,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9532129276931345,"open_goods_page(app, search_info_slot, page_type)",0.9297135829925537,"add_into_favorite_goods(app, search_info_slot)",0.9106089680289079,"add_into_favorite_stores(app, search_info_slot)",0.9090105980606713,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8850759746683151,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8653932439986297,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8526862199670383,"open_customer_service(app, order_slot, store_slot)",0.8479974533756699
我想在抖音短视频里找找有没有卖蓝牙耳机的。,在抖音短视频中的商城查找蓝牙耳机,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)","search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9988855851729707,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.94306180134502,"open_goods_page(app, search_info_slot, page_type)",0.9359938859939575,"add_into_favorite_goods(app, search_info_slot)",0.9309757486748743,"add_into_favorite_stores(app, search_info_slot)",0.9278008039348642,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9232358800114346,"open_customer_service(app, order_slot, store_slot)",0.9033817205350141,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8867051980902427,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8615786238077923,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8452359121317364
在抖音短视频里打开连衣裙的评论。,在抖音短视频中的商城打开连衣裙的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8762835573003667,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8632162006098912,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8513045758146008,"add_into_favorite_stores(app, search_info_slot)",0.849359110682477,"open_customer_service(app, order_slot, store_slot)",0.8454679104521899,"add_into_favorite_goods(app, search_info_slot)",0.808082822911565,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8063879475917758,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.7704009114445588,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7632933006580607
帮我看看dy商城里卫衣的评论都是怎么说的。,在dy中的商城查看卫衣的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.993709123134613,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.9336961495609571,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.863032483935509,"add_into_favorite_stores(app, search_info_slot)",0.8474846739206789,"open_customer_service(app, order_slot, store_slot)",0.8468547500192679,"open_special_page(app, page_type)",0.0690731104134717,"open_order_tracking_number(app, search_info_slot)",0.06729691487052608,"search_delivery_time(app, search_info_slot, address_slot)",0.06623611639607839,"open_cart_content(app, filter_type, filter_detail_slot)",0.05062678544252911,"call_order_courier(app, search_info_slot)",0.04955837523546333
在抖音短视频里帮我打开运动鞋的规格页面。,在抖音短视频中的商城打开运动鞋的规格页面,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9458244077639699,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9137403227656288,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8286213354791799,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8216612158376968,"add_into_favorite_stores(app, search_info_slot)",0.8058819397483303,"open_customer_service(app, order_slot, store_slot)",0.7838170407952034,"open_special_page(app, page_type)",0.09283340617913156,apply_price_protection(app),0.04401446580517865,"add_into_favorite_goods(app, search_info_slot)",0.03108065063924181
你能帮我查一下抖音极速版商城里连衣裙都有哪些规格吗？,在抖音中的商城查看连衣裙的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9775621631643003,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9186292079339247,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8095988250103412,"open_customer_service(app, order_slot, store_slot)",0.8078889536286015,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8062752918497824,"add_into_favorite_stores(app, search_info_slot)",0.8021698687651656,"open_order_tracking_number(app, search_info_slot)",0.7886199707715543,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7864383938161389,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7508387323974813
帮我打开抖音商城里运动鞋的搜索参数。,在抖音中的商城查看运动鞋的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8853517960483253,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8630425696236754,"add_into_favorite_stores(app, search_info_slot)",0.8496011920063717,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.84682618099416,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8464300309184706,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8379874882828766,"open_customer_service(app, order_slot, store_slot)",0.8336522217534608,"open_order_tracking_number(app, search_info_slot)",0.8283783226355222,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8264922038985594
YoYo，在抖音短视频的商城中能搜到蓝牙耳机的参数信息吗？,在抖音短视频中的商城搜索蓝牙耳机的参数信息,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9385572299838276,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9187509756529206,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8763015496436187,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.87226028334499,"add_into_favorite_goods(app, search_info_slot)",0.8682447283362199,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8236031468278476,"add_into_favorite_stores(app, search_info_slot)",0.8175881594391503,"manage_order_logistics_status(app, search_info_slot, action_type)",0.0980771220790621,"apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)",0.0941609153279383
帮我打开抖音商城里那件白色连衣裙的详情页。,在抖音中的商城打开白色连衣裙的详情页,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9612174096729186,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9522118733461011,"add_into_favorite_stores(app, search_info_slot)",0.9044078052748534,"open_customer_service(app, order_slot, store_slot)",0.8979715484802849,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8678826385558771,"add_into_favorite_goods(app, search_info_slot)",0.8569044626510133,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8367661473071729,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8276857129935271,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8244587554114234
在抖音极速里面搜索一下安慕希的详情能给我打开吗？,在抖音中的商城打开安慕希的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999761581421,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9092298597234448,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8982421468541997,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8908539877262057,"add_into_favorite_stores(app, search_info_slot)",0.8904140747480288,"open_customer_service(app, order_slot, store_slot)",0.8589530441001086,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8465195045765177,"add_into_favorite_goods(app, search_info_slot)",0.844616595856969,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8412889034945653,"open_special_page(app, page_type)",0.04990145824791712
