输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
我在抖音里怎么签到领积分？,在抖音中签到领积分,抖音,签到,<Plan>#签到#在$抖音$中打开签到页面</Plan><Finish>,<Plan>#签到#在$抖音$中打开签到领积分页面</Plan><Finish>,√,0,,,,,,,,,,,,
YoYo，帮我查一下抖音视频里怎么每天签到赚积分。,在抖音中签到领积分,抖音,签到,<Plan>#签到#在$抖音$中查看每天签到赚积分的方法</Plan><Finish>,<Plan>#签到#在$抖音$中签到赚积分</Plan><Finish>,√,1,,,,,,,,,,,,
抖音能连续签到兑换优惠券吗？,在抖音中签到领积分,抖音,签到,<Plan>#签到#在$抖音$中连续签到</Plan><Finish>,,√,1,,,,,,,,,,,,
教我在dy上完成每日签到领取积分的任务吧！,在抖音中签到领积分,抖音,签到,<Plan>#签到#在$抖音$中完成每日签到领取积分</Plan><Finish>,,√,0,,,,,,,,,,,,
抖音短视频那个APP签到送的积分怎么用啊？,在抖音中签到领积分,抖音,签到,<Plan>#搜索#在$抖音$中查看签到送的积分使用方法</Plan><Finish>,<Plan>#签到#在$抖音$中查看签到积分用途</Plan><Finish>,√,0,,,,,,,,,,,,
在抖音极速版里怎么找到赚钱任务签到领金币的入口？,在抖音极速版中打开赚钱任务签到领金币,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中找到赚钱任务签到领金币的入口</Plan><Finish>,,√,1,,,,,,,,,,,,
YOYO，帮我打开抖音极速版里的签到领金币任务。,在抖音极速版中打开赚钱任务签到领金币,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中打开签到</Plan><Finish>,<Plan>#签到#在$抖音极速版$中打开签到领金币</Plan><Finish>,√,1,,,,,,,,,,,,
抖音极速版里面的赚钱任务签到领金币在哪里呀？,在抖音极速版中打开赚钱任务签到领金币,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,,√,0,,,,,,,,,,,,
快告诉我抖音极速版签到领金币的任务在哪！,在抖音极速版中打开赚钱任务签到领金币,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中打开签到</Plan><Finish>,<Plan>#签到#在$抖音极速版$中打开签到领金币</Plan><Finish>,√,0,,,,,,,,,,,,
YOYO，抖音极速版有没有每日签到领金币的任务？,在抖音极速版中打开赚钱任务签到领金币,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中查看签到任务</Plan><Finish>,<Plan>#签到#在$抖音极速版$中查看签到领金币任务</Plan><Finish>,√,0,,,,,,,,,,,,
我在抖音极速版里怎么找不到签到领积分的入口？,在抖音极速版中签到领积分,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中查找签到领积分的入口</Plan><Finish>,,√,0,,,,,,,,,,,,
能不能帮我查一下抖音极速版里的签到领积分活动在哪？,在抖音极速版中签到领积分,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中查看签到领积分活动</Plan><Finish>,,√,1,,,,,,,,,,,,
打开抖音极速版之后怎么签到领积分？,在抖音极速版中签到领积分,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中打开签到</Plan><Finish>,<Plan>#签到#在$抖音极速版$中打开签到领积分</Plan><Finish>,√,1,,,,,,,,,,,,
抖音极速版签到领积分是真的吗？怎么操作？,在抖音极速版中签到领积分,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中签到领取积分</Plan><Finish>,,√,0,,,,,,,,,,,,
在抖音极速版签到领积分的流程麻烦说一下。,在抖音极速版中签到领积分,抖音极速版,签到,<Plan>#签到#在$抖音极速版$中签到领取积分</Plan><Finish>,,√,0,,,,,,,,,,,,
在快手里怎么找不到任务中心的签到入口了？,在快手中打开任务中心签到领红包,快手,签到,<Plan>#签到#在$快手$中查看签到入口</Plan><Finish>,,√,0,,,,,,,,,,,,
YoYo，帮我打开快手的任务中心，今天还没领红包呢！,在快手中打开任务中心签到领红包,快手,签到,<Plan>#搜索#在$快手$中查看红包<br>#启动#打开$快手$</Plan><Finish>,<Plan>#签到#在$快手$中领取红包</Plan><Finish>,√,0,,,,,,,,,,,,
快手签到领红包在哪里啊，教教我呗～,在快手中打开任务中心签到领红包,快手,签到,<Plan>#签到#在$快手$中查看签到并领取红包</Plan><Finish>,,√,1,,,,,,,,,,,,
快去快手任务中心签到领红包，别忘了！,在快手中打开任务中心签到领红包,快手,签到,<Plan>#签到#在$快手$中打开任务中心</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，快手的任务中心签到是不是每天都能领红包？,在快手中打开任务中心签到领红包,快手,签到,<Plan>#签到#在$快手$中查看任务中心是否每天都能领红包</Plan><Finish>,,√,0,,,,,,,,,,,,
在快手极速版中怎么找到去赚钱签到领金币的入口？,在快手极速版中打开去赚钱签到领金币,快手极速版,签到,<Plan>#签到#在$快手极速版$中打开签到入口</Plan><Finish>,,√,0,,,,,,,,,,,,
YOYO，帮我打开快手极速版里的去赚钱签到领金币页面。,在快手极速版中打开去赚钱签到领金币,快手极速版,签到,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币页面</Plan><Finish>,,√,0,,,,,,,,,,,,
快手极速版有没有签到领金币的活动啊？在哪能找到？,在快手极速版中打开去赚钱签到领金币,快手极速版,签到,<Plan>#签到#在$快手极速版$中查看签到领金币活动</Plan><Finish>,,√,0,,,,,,,,,,,,
我想在极速版快手上参与去赚钱签到领金币，怎么操作？,在快手极速版中打开去赚钱签到领金币,快手极速版,签到,<Plan>#签到#在$快手极速版$中参与签到领金币</Plan><Finish>,,√,1,,,,,,,,,,,,
