tag,大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
单任务,购物-打开,抖音,yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,在抖音的商城中打开<搜索内容>,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音,yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,在抖音的商城中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音,喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格信息,在抖音的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音,yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,在抖音的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音,帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,在抖音的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-搜索,抖音,yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,在抖音的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
单任务,购物-购物车,抖音,嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,在抖音的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音,yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,在抖音的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音,抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,在抖音的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音,yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,在抖音的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
