user_prompt_task,ground_truth,model_output,is_perfect_match,fn_accuracy,required_param_recall,param_f1,param_bleu_1,param_bleu_2,param_bleu_3,param_bleu_4,param_rouge_1,param_rouge_2,param_rouge_l,delay_seconds
在淘宝中查看半年前收藏的宝贝,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""半年前"")']]","[['1', 'open_favorite_goods(app=淘宝, filter_type=半年前)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1272
在抖音极速版中执行签到操作,"[['1', 'sign_in(app=""抖音极速版"", page_type=""无"")']]","[['1', 'sign_in(app=抖音极速版, page_type=无)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1264
在淘宝中查看已签收的快递,"[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]","[['1', 'open_logistics_receive(app=淘宝, filter_type=已签收)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6087
在唯品会中查看收藏的宝贝,"[['1', 'open_favorite_goods(app=""唯品会"", order_type=""无"", filter_type=""无"")']]","[['1', 'open_favorite_goods(app=唯品会)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5343
在阿里巴巴中查看货的物流信息,"[['1', 'open_logistics_receive(app=""阿里巴巴"", filter_type=""无"")']]","[['1', 'open_logistics_receive(app=阿里巴巴, filter_type=无)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1268
在阿里巴巴中显示收藏里买过的东西,"[['1', 'open_favorite_goods(app=""阿里巴巴"", order_type=""无"", filter_type=""买过"")']]","[['1', 'open_favorite_goods(app=阿里巴巴, filter_type=买过, order_type=无)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6919
在淘宝中查看特别关注的店铺,"[['1', 'open_favorite_stores(app=""淘宝"", filter_type=""特别关注"")']]","[['1', 'open_favorite_stores(app=淘宝, filter_type=特别关注)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5404
在唯品会中查看收藏中的卡通卫衣,"[['1', 'search_in_favorite_goods(app=""唯品会"", search_info=""卡通卫衣"")']]","[['1', 'open_favorite_goods(app=唯品会, filter_type=无, order_type=无)'], ['2', 'search_in_favorite_goods(app=唯品会, search_info=卡通卫衣)']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3150
在阿里巴巴中查看收藏里的有机肥料,"[['1', 'search_in_favorite_goods(app=""阿里巴巴"", search_info=""有机肥料"")']]","[['1', 'open_favorite_goods(app=阿里巴巴, filter_type=无, order_type=无)'], ['2', 'search_in_favorite_goods(app=阿里巴巴, search_info=有机肥料)']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3087
在天猫中查看DIY手工材料并按价格从低到高排序,"[['1', 'search_goods(app=""天猫"", search_info=""DIY手工材料"", order_type=""价格从低到高"")']]","[['1', 'search_goods(app=天猫, search_info=DIY手工材料, order_type=价格从低到高)']]",0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8083
