query,ground_truth,pred_tool_1,pred_tool_2,pred_tool_3,pred_tool_4,pred_tool_5,pred_tool_6,pred_tool_7,pred_tool_8,pred_tool_9,pred_tool_10,pred_score_1,pred_score_2,pred_score_3,pred_score_4,pred_score_5,pred_score_6,pred_score_7,pred_score_8,pred_score_9,pred_score_10
嘿YOYO，帮我看看抖音商城有没有“复古风家居装饰”的东西,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_stores(...),search_cart_content(...),open_search_history(...),delete_search_history(...),open_special_page(...),open_camera_search(...),delete_favorite_goods(...),search_in_favorite_stores(...),1.0,0.5295335051245857,0.20116114832854917,0.18137186117511697,0.1653769540263663,0.13564725094735752,0.10193266332814495,0.09765600574303578,0.06163050634802512,0.024140492330866917
在抖音的商城中快速找到“智能手表”,search_goods(...),search_goods(...),search_in_favorite_goods(...),search_cart_content(...),delete_search_history(...),open_search_history(...),search_stores(...),open_camera_search(...),open_special_page(...),delete_favorite_goods(...),open_stores_page(...),1.0,0.37769569024711924,0.15626450367956088,0.12514568196217507,0.11894475986665798,0.1106968415594249,0.0698708855800949,0.05086499492446624,0.027659911990566426,0.02448791076833607
嘿YOYO，帮我找到抖音里的那个卖复古相机配件的店铺吧。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),open_favorite_stores(...),rate_order(...),open_search_history(...),order_to_purchase_goods(...),open_orders_bought(...),delete_search_history(...),1.0,0.3464463705285928,0.31650019376985455,0.263185418243778,0.17836919311673802,0.12091813590939571,0.10699967502338559,0.10575904534059946,0.10162324694166638,0.08873632144046394
在抖音上搜索一下商城店铺，关键词是户外露营装备。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),open_search_history(...),search_goods(...),open_favorite_stores(...),order_to_purchase_goods(...),rate_order(...),delete_search_history(...),1.0,0.31786630549107264,0.21965818212424962,0.18160853996950654,0.15311155751192335,0.1439307337000345,0.13866410541255808,0.12646330568189776,0.10798306700274159,0.07402466366272402
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺吧。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),open_favorite_stores(...),rate_order(...),order_to_purchase_goods(...),open_search_history(...),open_orders_bought(...),delete_search_history(...),1.0,0.31833715979336774,0.29663936334052254,0.23298755663513093,0.16383980904155332,0.12261043743664317,0.11084688565002593,0.10411186799030926,0.10120938913227896,0.08600315186220941
抖音上有没有卖户外露营装备的店铺？给我按综合排序找一下。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_favorite_stores(...),open_stores_page(...),open_orders_bought(...),open_search_history(...),order_to_purchase_goods(...),rate_order(...),search_goods(...),1.0,0.23368056671519533,0.22937414570150721,0.16815286123751277,0.15252480468627486,0.10608738258235685,0.09696095911259593,0.09358287283046095,0.08365217928607176,0.07915403521185826
嘿YOYO，在抖音的商城店铺里帮我找找卖‘复古风家居装饰’的，销量高的优先。,search_stores(...),search_stores(...),search_in_favorite_stores(...),open_stores_page(...),add_into_favorite_stores(...),search_goods(...),open_favorite_stores(...),order_to_purchase_goods(...),rate_order(...),open_search_history(...),delete_search_history(...),1.0,0.36113482055589385,0.3332238971957863,0.27776178755390474,0.24746922774493052,0.15423070393337743,0.10008695722402229,0.07907351764610464,0.07864425602901129,0.06545338814419313
YOYO，打开抖音，去商城看看有没有卖‘户外运动装备’的店铺，记得按销量排哦。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),search_goods(...),open_favorite_stores(...),open_search_history(...),order_to_purchase_goods(...),open_orders_bought(...),delete_search_history(...),1.0,0.28086604588906544,0.19688337275865203,0.1839559061801411,0.16541621071202028,0.145037569153346,0.11719098081545555,0.08620300378554223,0.06947546319762678,0.06276531223202725
嘿YOYO，帮我找到抖音里的那个卖复古风首饰的店铺，按热度排。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),open_favorite_stores(...),open_search_history(...),rate_order(...),order_to_purchase_goods(...),open_orders_bought(...),search_goods(...),1.0,0.28206387580578396,0.2693674613535503,0.18950608737560856,0.18214751450661346,0.11003250434794212,0.09430694174591593,0.08971257132049383,0.0839577311633443,0.07651380498892517
在抖音上搜一下人气最高的瑜伽装备店铺。,search_stores(...),search_stores(...),search_in_favorite_stores(...),add_into_favorite_stores(...),open_stores_page(...),search_goods(...),open_search_history(...),open_favorite_stores(...),rate_order(...),order_to_purchase_goods(...),delete_search_history(...),1.0,0.3211252590213892,0.2219528696319984,0.17580674140716854,0.15718960499772888,0.1451529718677902,0.13007231464718627,0.09109378569585146,0.08967058072509261,0.06479899241046738
