user_input,ground_truth_output,model_output,overall_correct,bleu_1,bleu_2,bleu_3,bleu_4,rouge_1,rouge_2,rouge_l,gt_categories,model_categories,category_correct,gt_app_names,model_app_names,app_name_correct,delay_seconds
我在抖音里怎么签到领积分？,<Plan>#签到#在$抖音$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音'],['抖音'],1,0.9527
帮我查一下抖音视频里的签到领积分活动在哪。,<Plan>#签到#在$抖音$中查看签到领积分活动</Plan><Finish>,<Plan>#签到#在$抖音$中查看签到领积分活动</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音'],['抖音'],1,1.0792
在抖音极速版里怎么找到赚钱任务签到领金币？,<Plan>#签到#在$抖音极速版$中查看赚钱任务签到领金币</Plan><Finish>,<Plan>#签到#在$抖音极速版$中找到赚钱任务进行签到领金币</Plan><Finish>,0,0.9149,0.8696,0.8222,0.7727,0.9206,0.8750,0.9348,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.2668
怎么找到抖音极速版中签到领金币的赚钱任务？,<Plan>#签到#在$抖音极速版$中签到领金币的赚钱任务</Plan><Finish>,<Plan>#签到#在$抖音极速版$中找到签到领金币的赚钱任务</Plan><Finish>,0,0.9565,0.9333,0.9091,0.8837,0.9836,0.9487,0.9778,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.2663
抖音极速版签到领积分在哪儿？,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,1.0792
帮我去极速版抖音里签个到领积分。,<Plan>#签到#在$抖音极速版$中签到领积分</Plan><Finish>,<Plan>#签到#在$抖音极速版$中签到</Plan><Finish>,0,1.0000,0.9714,0.9412,0.9091,0.9362,0.9206,0.9600,['签到'],['签到'],1,['抖音极速版'],['抖音极速版'],1,0.9514
快手里怎么打开任务中心签到领红包？,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手'],['快手'],1,1.1060
在快手app中如何打开任务中心签到领红包？,<Plan>#签到#在$快手$中查看任务中心签到并领取红包</Plan><Finish>,<Plan>#签到#在$快手$中打开任务中心签到领红包</Plan><Finish>,0,0.9524,0.8780,0.8250,0.7692,0.8929,0.8378,0.9302,['签到'],['签到'],1,['快手'],['快手'],1,1.1061
快手极速版里怎么打开去赚钱签到领金币？,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱签到领金币</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.2395
帮我打开极速版快手的去赚钱页面，我要签到领金币。,<Plan>#签到#在$快手极速版$中打开去赚钱页面去签到领金币</Plan><Finish>,<Plan>#签到#在$快手极速版$中打开去赚钱页面并签到</Plan><Finish>,0,0.9773,0.9302,0.8810,0.8537,0.9355,0.8861,0.9451,['签到'],['签到'],1,['快手极速版'],['快手极速版'],1,1.2400
拼多多里怎么签到啊？,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,<Plan>#签到#在$拼多多$中签到</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.8759
帮我打开拼夕夕的签到页面。,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,<Plan>#签到#在$拼多多$中打开签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['拼多多'],['拼多多'],1,0.9518
淘宝签到领淘金币的活动在哪里能找到？,<Plan>#签到#在$淘宝$中查看签到领淘金币的活动</Plan><Finish>,<Plan>#签到#在$淘宝$中查找签到领淘金币活动</Plan><Finish>,0,0.9756,0.9250,0.8718,0.8158,0.9434,0.9014,0.9639,['签到'],['签到'],1,['淘宝'],['淘宝'],1,1.1051
帮我去淘宝网参与今天的签到领金币活动。,<Plan>#签到#在$淘宝$中参与今天的签到领金币活动</Plan><Finish>,<Plan>#签到#在$淘宝$中参与签到领金币活动</Plan><Finish>,0,1.0000,0.9744,0.9474,0.9189,0.9455,0.9296,0.9639,['签到'],['签到'],1,['淘宝'],['淘宝'],1,1.0776
帮我打开淘宝网的红包签到页面。,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,<Plan>#签到#在$淘宝$中打开红包签到页面</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['淘宝'],['淘宝'],1,0.9778
淘宝商城每天签到领红包在哪里操作？,<Plan>#签到#在$淘宝$中每天签到领红包</Plan><Finish>,<Plan>#签到#在$天猫$中每天签到领红包</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9362,0.9062,0.9474,['签到'],['签到'],1,['淘宝'],['天猫'],0,0.9783
京东签到领京豆的活动在哪里能找到？,<Plan>#签到#在$京东$中查看签到领京豆活动</Plan><Finish>,<Plan>#签到#在$京东$中签到领京豆的活动</Plan><Finish>,0,0.9744,0.9211,0.8649,0.8056,0.9388,0.8955,0.9620,['签到'],['签到'],1,['京东'],['京东'],1,0.9220
帮我去京东商城完成今天的签到领取京豆任务。,<Plan>#签到#在$京东$中完成今天的签到领取京豆任务</Plan><Finish>,<Plan>#签到#在$京东$中完成今天的签到领取京豆任务</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['京东'],['京东'],1,0.9884
天猫现在有什么领现金的活动吗？,<Plan>#签到#在$天猫$中搜索领现金活动</Plan><Finish>,<Plan>#搜索#在$天猫$中查看领现金活动</Plan><Finish>,0,0.9474,0.8649,0.7778,0.7143,0.9231,0.8485,0.8947,['签到'],['搜索'],0,['天猫'],['天猫'],1,0.7293
帮我去天猫商城看看有没有可以领取现金红包的地方。,<Plan>#签到#在$天猫$中查看现金红包</Plan><Finish>,<Plan>#搜索#在$天猫$中查看领取现金红包的地方</Plan><Finish>,0,0.8333,0.7561,0.6750,0.5897,0.8364,0.7826,0.8861,['签到'],['搜索'],0,['天猫'],['天猫'],1,0.7558
天猫今天还能领福气红包吗？,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,<Plan>#搜索#在$天猫$中查看福气红包</Plan><Finish>,0,0.9459,0.9167,0.8857,0.8529,0.9200,0.9062,0.9459,['签到'],['搜索'],0,['天猫'],['天猫'],1,0.7023
帮我去天猫商城看看有没有福气红包可以领。,<Plan>#签到#在$天猫$中查看福气红包</Plan><Finish>,<Plan>#搜索#在$天猫$中查看福气红包</Plan><Finish>,0,0.9459,0.9167,0.8857,0.8529,0.9200,0.9062,0.9459,['签到'],['搜索'],0,['天猫'],['天猫'],1,0.7027
闲鱼怎么签到才能领到闲鱼币啊？,<Plan>#签到#在$闲鱼$中签到领闲鱼币</Plan><Finish>,<Plan>#签到#在$闲鱼$中签到</Plan><Finish>,0,1.0000,0.9688,0.9355,0.9000,0.9500,0.9123,0.9429,['签到'],['签到'],1,['闲鱼'],['闲鱼'],1,0.7210
帮我去闲鱼市场完成每日签到，领取闲鱼币。,<Plan>#签到#在$闲鱼$中完成每日签到领取闲鱼币</Plan><Finish>,<Plan>#签到#在$闲鱼$中完成每日签到</Plan><Finish>,0,1.0000,0.9722,0.9429,0.9118,0.9388,0.9091,0.9367,['签到'],['签到'],1,['闲鱼'],['闲鱼'],1,0.8349
火山小视频里怎么签到领火苗啊？,<Plan>#签到#在$抖音火山版$中签到领取火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中签到领火苗</Plan><Finish>,0,1.0000,0.9737,0.9459,0.9167,0.9796,0.9552,0.9873,['签到'],['签到'],1,['抖音火山版'],['抖音火山版'],1,0.9337
帮我打开火山版抖音，我要去签到领火苗。,<Plan>#签到#在$抖音火山版$中打开签到领火苗</Plan><Finish>,<Plan>#签到#在$抖音火山版$中打开应用并签到</Plan><Finish>,0,0.9268,0.8750,0.8205,0.7895,0.9057,0.8571,0.9268,['签到'],['签到'],1,['抖音火山版'],['抖音火山版'],1,0.9068
阿里巴巴里怎么签到领元宝？,<Plan>#签到#在$阿里巴巴$中签到领元宝</Plan><Finish>,<Plan>#签到#在$阿里巴巴$中签到领元宝</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['阿里巴巴'],['阿里巴巴'],1,0.7189
带我去1688签到领元宝的地方。,<Plan>#签到#在$阿里巴巴$中签到领元宝</Plan><Finish>,<Plan>#签到#在$阿里巴巴$中签到领元宝</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['签到'],['签到'],1,['阿里巴巴'],['阿里巴巴'],1,0.7191
唯品会怎么签到啊？YoYo帮我看看流程。,<Plan>#签到#在$唯品会$中签到</Plan><Finish>,<Plan>#签到#在$唯品会$中查看签到流程</Plan><Finish>,0,0.8947,0.8378,0.7778,0.7429,0.9091,0.8667,0.9444,['签到'],['签到'],1,['唯品会'],['唯品会'],1,0.8572
在唯品会上带我去做每日签到任务。,<Plan>#签到#在$唯品会$中完成每日签到任务</Plan><Finish>,<Plan>#签到#在$唯品会$中做每日签到</Plan><Finish>,0,0.9730,0.9167,0.8571,0.7941,0.8980,0.8615,0.9351,['签到'],['签到'],1,['唯品会'],['唯品会'],1,0.8570
在得物潮流里怎么在购买页面每天签到啊？,<Plan>#签到#在$得物$中的购买页面每天签到</Plan><Finish>,<Plan>#签到#在$得物$中购买页面每天签到</Plan><Finish>,0,1.0000,0.9737,0.9459,0.9167,0.9804,0.9552,0.9873,['签到'],['签到'],1,['得物'],['得物'],1,0.8306
带我去毒app的购买页面中的每日签到。,<Plan>#签到#在$得物$中的购买页面打开签到页面</Plan><Finish>,<Plan>#签到#在$得物$中打开购买页面进行每日签到</Plan><Finish>,0,0.9070,0.8095,0.7073,0.6500,0.9091,0.8056,0.8706,['签到'],['签到'],1,['得物'],['得物'],1,0.9250
在抖音短视频里搜索商城关注店铺中的家居用品。,<Plan>#搜索#在$抖音$中搜索商城关注店铺中的家居用品</Plan><Finish>,<Plan>#搜索#在$抖音$中搜索商城关注店铺中的家居用品<br>#签到#在$抖音$中签到</Plan><Finish>,0,0.7377,0.7333,0.7119,0.6897,0.9375,0.9070,0.8491,['搜索'],"['搜索', '签到']",0,['抖音'],"['抖音', '抖音']",0,1.3872
帮我看看dy的商城关注店铺里有没有这款蓝牙耳机。,<Plan>#收藏#在$抖音$中查看关注店铺的蓝牙耳机</Plan><Finish>,<Plan>#搜索#在$抖音$中查看商城关注店铺的蓝牙耳机</Plan><Finish>,0,0.9091,0.8605,0.8095,0.7561,0.9032,0.8684,0.9302,['收藏'],['搜索'],0,['抖音'],['抖音'],1,0.8991
YoYo，快帮我打开抖音里的收藏夹看看有哪些商品。,<Plan>#收藏#在$抖音$中打开商品收藏夹</Plan><Finish>,<Plan>#收藏#在$抖音$中打开收藏夹</Plan><Finish>,0,1.0000,0.9714,0.9412,0.9091,0.9565,0.9355,0.9730,['收藏'],['收藏'],1,['抖音'],['抖音'],1,0.7654
我在抖音里收藏的商品怎么查看？,<Plan>#收藏#在$抖音$中打开商品收藏夹</Plan><Finish>,<Plan>#查看#在$抖音$中查看收藏的商品</Plan><Finish>,0,0.8684,0.7568,0.6389,0.5714,0.8750,0.7500,0.8158,['收藏'],['查看'],0,['抖音'],['抖音'],1,0.7383
在抖音极速版里帮我找一下关注店铺中的家居装饰的店铺。,<Plan>#收藏#在$抖音极速版$中搜索关注店铺中的家居装饰店铺</Plan><Finish>,<Plan>#搜索#在$抖音极速版$中查找关注店铺中的家居装饰店铺</Plan><Finish>,0,0.9583,0.8936,0.8261,0.7778,0.9394,0.8810,0.9167,['收藏'],['搜索'],0,['抖音极速版'],['抖音极速版'],1,0.9699
我的极速版抖音关注店铺里有卖运动服饰的店铺吗？,<Plan>#收藏#在$抖音极速版$中查看关注店铺里的运动服饰的店铺</Plan><Finish>,<Plan>#搜索#在$抖音极速版$中查看关注店铺是否有卖运动服饰的店铺</Plan><Finish>,0,0.8824,0.8400,0.7959,0.7500,0.8732,0.8409,0.9000,['收藏'],['搜索'],0,['抖音极速版'],['抖音极速版'],1,1.0874
我在抖音极速版里收藏的商品在哪里能找到？,<Plan>#收藏#在$抖音极速版$中打开商品收藏夹</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中查看收藏</Plan><Finish>,0,0.9474,0.8919,0.8333,0.8000,0.8627,0.8358,0.9114,['收藏'],['收藏'],1,['抖音极速版'],['抖音极速版'],1,0.7296
帮我打开极速版抖音的收藏夹，看看有哪些商品。,<Plan>#收藏#在$抖音极速版$中打开商品收藏夹</Plan><Finish>,<Plan>#收藏#在$抖音极速版$中打开收藏夹查看商品</Plan><Finish>,0,0.9535,0.8810,0.8049,0.7500,0.9643,0.8889,0.9286,['收藏'],['收藏'],1,['抖音极速版'],['抖音极速版'],1,0.8688
YoYo，帮我查一下快手商品收藏里的东西。,<Plan>#收藏#在$快手$中查看商品收藏里的东西</Plan><Finish>,<Plan>#查看#在$快手$中查看商品收藏</Plan><Finish>,0,0.9459,0.8889,0.8286,0.7647,0.9200,0.8485,0.8974,['收藏'],['查看'],0,['快手'],['快手'],1,0.6665
快手中我之前商品收藏里的东西还能找到吗？,<Plan>#收藏#在$快手$中查看商品收藏里的东西</Plan><Finish>,<Plan>#搜索#在$快手$中查看收藏</Plan><Finish>,0,0.9429,0.8529,0.7576,0.6875,0.8400,0.7692,0.8684,['收藏'],['搜索'],0,['快手'],['快手'],1,0.6144
快手极速版里怎么找不到我收藏的商品了？,<Plan>#收藏#在$快手极速版$中查看收藏的商品</Plan><Finish>,<Plan>#搜索#在$快手极速版$中查找收藏的商品</Plan><Finish>,0,0.9268,0.8750,0.8205,0.7632,0.9286,0.8732,0.9268,['收藏'],['搜索'],0,['快手极速版'],['快手极速版'],1,0.7560
帮我在极速版快手查看我之前收藏的商品。,<Plan>#收藏#在$快手极速版$中查看之前收藏的商品</Plan><Finish>,<Plan>#查看#在$快手极速版$中查看收藏的商品</Plan><Finish>,0,0.9512,0.9000,0.8462,0.7895,0.9643,0.8889,0.9286,['收藏'],['查看'],0,['快手极速版'],['快手极速版'],1,0.7562
YoYo，帮我到拼夕夕里搜一下我收藏的北面冲锋衣。,<Plan>#收藏#在$拼多多$中查看我收藏的北面冲锋衣</Plan><Finish>,<Plan>#搜索#在$拼多多$中搜索我收藏的北面冲锋衣<br>#签到#在$拼多多$中查看收藏</Plan><Finish>,0,0.6935,0.6393,0.5667,0.5085,0.9032,0.8095,0.7429,['收藏'],"['搜索', '签到']",0,['拼多多'],"['拼多多', '拼多多']",0,1.2941
在PDD里能搜到我在商品收藏里的小米手环吗？,<Plan>#收藏#在$拼多多$中搜索商品收藏里的小米手环</Plan><Finish>,<Plan>#搜索#在$拼多多$中搜索商品收藏里的小米手环<br>#收藏#在$拼多多$中查看收藏</Plan><Finish>,0,0.6984,0.6935,0.6721,0.6333,0.9355,0.8941,0.7850,['收藏'],"['搜索', '收藏']",0,['拼多多'],"['拼多多', '拼多多']",0,1.2195
YoYo，快帮我打开拼夕夕里的商品收藏页面！,<Plan>#收藏#在$拼多多$中打开商品收藏</Plan><Finish>,<Plan>#收藏#在$拼多多$中打开商品收藏页面</Plan><Finish>,0,0.9500,0.9231,0.8947,0.8649,0.9583,0.9394,0.9744,['收藏'],['收藏'],1,['拼多多'],['拼多多'],1,0.6976
我在PDD收藏的商品在哪里查看？,<Plan>#收藏#在$拼多多$中查看收藏的商品</Plan><Finish>,<Plan>#收藏#在$拼多多$中查看收藏的商品</Plan><Finish>,1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,['收藏'],['收藏'],1,['拼多多'],['拼多多'],1,0.6955
拼多多里怎么查看我关注的店铺？,<Plan>#收藏#在$拼多多$中查看关注的店铺</Plan><Finish>,<Plan>#签到#在$拼多多$中查看关注的店铺</Plan><Finish>,0,0.9487,0.9211,0.8919,0.8611,0.9231,0.9118,0.9487,['收藏'],['签到'],0,['拼多多'],['拼多多'],1,0.7714
帮我查一下拼夕夕里面关注的店铺有哪些。,<Plan>#收藏#在$拼多多$中查看关注的店铺</Plan><Finish>,<Plan>#查看#在$拼多多$中查看关注的店铺</Plan><Finish>,0,0.9487,0.9211,0.8919,0.8611,0.9600,0.9254,0.9487,['收藏'],['查看'],0,['拼多多'],['拼多多'],1,0.7450
在淘宝网里找一下我收藏的北面冲锋衣。,<Plan>#收藏#在$淘宝$中查看收藏的北面冲锋衣</Plan><Finish>,<Plan>#搜索#在$淘宝$中查找我收藏的北面冲锋衣</Plan><Finish>,0,0.9048,0.8537,0.8000,0.7436,0.9123,0.8611,0.9157,['收藏'],['搜索'],0,['淘宝'],['淘宝'],1,0.9104
YOYO，帮我查一下淘宝商城收藏夹里的戴森吹风机。,<Plan>#收藏#在$淘宝$中查看收藏夹的戴森吹风机</Plan><Finish>,<Plan>#搜索#在$淘宝$中查看收藏夹里的戴森吹风机</Plan><Finish>,0,0.9302,0.8810,0.8293,0.7750,0.9492,0.8919,0.9412,['收藏'],['搜索'],0,['淘宝'],['淘宝'],1,0.9105
在淘宝网里搜索我关注的店铺中有没有卖北面冲锋衣的。,<Plan>#收藏#在$淘宝$中搜索我关注的店铺是否有卖北面冲锋衣</Plan><Finish>,<Plan>#搜索#在$淘宝$中搜索关注的店铺是否有北面冲锋衣</Plan><Finish>,0,0.9565,0.8889,0.8182,0.7442,0.9412,0.8675,0.9362,['收藏'],['搜索'],0,['淘宝'],['淘宝'],1,0.9108
帮我查一下淘宝商城里关注的店铺中冬季加厚羽绒服女款有没有上新。,<Plan>#收藏#在$淘宝$中查看关注的店铺中冬季加厚羽绒服女款有没有上新</Plan><Finish>,<Plan>#搜索#在$淘宝$中查看关注店铺上新冬季加厚羽绒服女款</Plan><Finish>,0,0.9583,0.8511,0.7391,0.6667,0.9067,0.7912,0.8713,['收藏'],['搜索'],0,['淘宝'],['淘宝'],1,1.1338
淘宝关注的店铺在哪里查看？,<Plan>#收藏#在$淘宝$中查看关注的店铺</Plan><Finish>,<Plan>#签到#在$淘宝$中查看关注的店铺</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9231,0.9091,0.9474,['收藏'],['签到'],0,['淘宝'],['淘宝'],1,0.7711
帮我打开淘宝网，看看我关注的店铺。。,<Plan>#收藏#在$淘宝$中查看关注的店铺</Plan><Finish>,<Plan>#签到#在$淘宝$中查看关注的店铺</Plan><Finish>,0,0.9474,0.9189,0.8889,0.8571,0.9231,0.9091,0.9474,['收藏'],['签到'],0,['淘宝'],['淘宝'],1,0.8126
淘宝网里怎么查看我特别关注的店铺？,<Plan>#收藏#在$淘宝$中查看特别关注的店铺</Plan><Finish>,<Plan>#签到#在$淘宝$中查看特别关注的店铺</Plan><Finish>,0,0.9500,0.9231,0.8947,0.8649,0.9286,0.9143,0.9500,['收藏'],['签到'],0,['淘宝'],['淘宝'],1,0.8391
打开淘宝商城，进入我的特别关注店铺列表。,<Plan>#收藏#在$淘宝$中查看我的特别关注店铺列表</Plan><Finish>,<Plan>#签到#在$天猫$中进入我的特别关注店铺列表</Plan><Finish>,0,0.8605,0.7857,0.7073,0.6500,0.8065,0.7632,0.8605,['收藏'],['签到'],0,['淘宝'],['天猫'],0,0.9189
在淘宝网里怎么查看我关注的店铺开播了没有？,<Plan>#收藏#在$淘宝$中查看关注的店铺直播</Plan><Finish>,<Plan>#签到#在$淘宝$中查看关注的店铺直播</Plan><Finish>,0,0.9500,0.9231,0.8947,0.8649,0.9286,0.9143,0.9500,['收藏'],['签到'],0,['淘宝'],['淘宝'],1,0.8134
