query,plan,ground_truth,pred_tool_1,pred_score_1,pred_tool_2,pred_score_2,pred_tool_3,pred_score_3,pred_tool_4,pred_score_4,pred_tool_5,pred_score_5,pred_tool_6,pred_score_6,pred_tool_7,pred_score_7,pred_tool_8,pred_score_8,pred_tool_9,pred_score_9,pred_tool_10,pred_score_10
yoyo可以麻烦帮我在抖音的商城打开科比的冠军签名球衣看看嘛,在抖音中的商城打开科比的冠军签名球衣,"open_goods_page(app, search_info_slot, page_type)","open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.9716840822206572,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.9693340766868996,"open_goods_page(app, search_info_slot, page_type)",0.9614579606056213,"add_into_favorite_stores(app, search_info_slot)",0.9361684513347795,"add_into_favorite_goods(app, search_info_slot)",0.9312314695309676,"open_customer_service(app, order_slot, store_slot)",0.9311167492732799,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8972488289612807,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8939478462086577,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8936738395377323,"open_special_page(app, page_type)",0.8876678351990965
yoyo啊，我想看看那个灵犀剑极轻大物的评论，就是抖音的商城里的那个，你帮我打开呗,在抖音中的商城打开灵犀剑极轻大物的评论,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999928474426,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.8755053151900222,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8458504090942343,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8419781505299427,"open_customer_service(app, order_slot, store_slot)",0.8230681639850848,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8157594111153791,"add_into_favorite_stores(app, search_info_slot)",0.8122744289447621,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7974423729862157,"open_orders_bought(app, order_status, filter_detail_slot)",0.7957956020682581,"open_order_tracking_number(app, search_info_slot)",0.7876556097350564
喂，yoyo，抖音的商城里的雅诗兰黛小棕瓶，它的规格信息有几种容量来着？,在抖音中的商城打开雅诗兰黛小棕瓶的规格,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9968218731880187,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.9596010145200965,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9234239834197071,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7967376742491015,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7894164962443249,"add_into_favorite_stores(app, search_info_slot)",0.7589047121891094,"open_logistics_receive(app, filter_type)",0.0916931943265584,"open_orders_bought(app, order_status, filter_detail_slot)",0.09059208655134075,"open_special_page(app, page_type)",0.08906505756706036,"open_customer_service(app, order_slot, store_slot)",0.08813830260821309
yoyo，抖音的商城里小米14的参数，你帮我找出来，我得跟别的手机比一比配置,在抖音中的商城打开小米14的参数,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9999999928474426,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8333614947995516,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8319902153209808,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8195423301404394,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7943057689380848,"open_customer_service(app, order_slot, store_slot)",0.7879111021536624,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7773998758834006,"add_into_favorite_goods(app, search_info_slot)",0.7732742710505722,"add_into_favorite_stores(app, search_info_slot)",0.7712321028018884,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7666655296853672
帮我打开抖音的商城里周大福传承系列的手镯，它的详情，我想看看具体的款式和介绍,在抖音中的商城打开周大福传承系列手镯的详情,"open_goods_page(app, search_info_slot, page_type)","open_goods_page(app, search_info_slot, page_type)",0.9854275512695312,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.91498366310159,"add_into_favorite_stores(app, search_info_slot)",0.8963163837696008,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8908304455479952,"open_customer_service(app, order_slot, store_slot)",0.8647156208533084,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8615442331975378,"open_favorite_goods(app, filter_type, filter_detail_slot, order_type)",0.8611988680563141,"add_into_favorite_goods(app, search_info_slot)",0.8595083637629746,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.8575951240103843,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.8311676654529774
yoyo，抖音的商城里的华为P60，送到上海大概要几天啊，你帮我查查。,在抖音中的商城查看华为P60送达上海的时间,"search_delivery_time(app, search_info_slot, address_slot)","search_delivery_time(app, search_info_slot, address_slot)",0.9999999928474426,"open_logistics_receive(app, filter_type)",0.7912068109955811,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.755833527794977,"open_orders_bought(app, order_status, filter_detail_slot)",0.7207052801982087,"open_logistics_send(app, filter_type)",0.7195055631898326,"call_order_courier(app, search_info_slot)",0.7139003859821147,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7081487725883141,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.7056684416592882,"open_order_tracking_number(app, search_info_slot)",0.6970460366309221,open_search_history(app),0.06889314082212734
嘿，yoyo，把抖音的商城里的苹果iPhone15给我加到购物车去。,在抖音中的商城把苹果iPhone15加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_cart_content(app, search_info_slot)",0.845472010429523,"open_cart_content(app, filter_type, filter_detail_slot)",0.8328566527286017,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8009435018436762,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8000975816151144,"open_goods_page(app, search_info_slot, page_type)",0.7966783163282539,"add_into_favorite_goods(app, search_info_slot)",0.7882174872350409,"add_into_favorite_stores(app, search_info_slot)",0.785716431381214,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.7855560174985212,"open_customer_service(app, order_slot, store_slot)",0.7774714298435677
yoyo，抖音的商城里128GB的iPhone15Pro，你给我放进购物车啊。,在抖音中的商城把128GB的iPhone15Pro加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_cart_content(app, search_info_slot)",0.8504339253267562,"open_cart_content(app, filter_type, filter_detail_slot)",0.8459181010925869,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.821477665323963,"open_goods_page(app, search_info_slot, page_type)",0.8210393499897662,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8183684236790583,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8166787184064302,"add_into_favorite_goods(app, search_info_slot)",0.8070597852198671,"open_customer_service(app, order_slot, store_slot)",0.8068275009177344,"add_into_favorite_stores(app, search_info_slot)",0.8036899418639777
抖音的商城里的百草味坚果礼盒，你帮我放2件到购物车。,在抖音中的商城把2件的百草味坚果礼盒加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"search_cart_content(app, search_info_slot)",0.8753393089136398,"open_cart_content(app, filter_type, filter_detail_slot)",0.8518092453682522,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.8379665750453376,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8240617073361788,"add_into_favorite_goods(app, search_info_slot)",0.8235620463816713,"add_into_favorite_stores(app, search_info_slot)",0.8201860041427252,"open_goods_page(app, search_info_slot, page_type)",0.8181217026280109,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.8099591023709223,"open_customer_service(app, order_slot, store_slot)",0.8051067744277136
yoyo，你在抖音的商城里给我加进购物车，就上次送到北京市朝阳区的完美日记的口红,在抖音中的商城把送至北京市朝阳区的完美日记口红加入购物车,"add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)","add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)",0.9999999928474426,"order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)",0.8953962670408194,"add_into_favorite_stores(app, search_info_slot)",0.7706596376711536,"search_cart_content(app, search_info_slot)",0.7704797632166687,"search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)",0.7697141549828805,"search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)",0.7526824001851953,"open_stores_page(app, store_name_slot, search_info_slot, category_slot)",0.7525600535606229,"search_delivery_time(app, search_info_slot, address_slot)",0.7498250157654824,"open_customer_service(app, order_slot, store_slot)",0.7468486199375671,"rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)",0.7328063325052856
